ENTIDAD,RANKING
1,206
2,409
3,178
4,173
5,261
6,182
7,309
8,443
9,235
10,323
11,342
12,115
13,170
14,151
15,145
16,257
17,268
18,190
19,421
20,264
21,286
22,140
23,184
24,226
25,247
26,309
27,388
28,236
29,142
30,309
31,349
32,168
