ENTIDAD,CL_VEHI,TIPO_VEH,ESTRUCTU,TT_VEHI,EST_TTVE
"32",2,4,2450,26,
"32",2,5,2450,4,
"06",1,4,2450,,2
"06",1,5,2450,,2
"06",1,9,2450,2064,
"06",2,1,2450,,2
"06",2,2,2450,,2
"06",2,3,2450,,2
"06",2,4,2450,,2
"06",2,5,2450,,2
"06",2,9,2450,1002,
"07",1,1,2450,552,
"07",1,2,2450,546,
"07",1,3,2450,34,
"07",1,4,2450,404,
"07",1,5,2450,213,
"07",2,1,2450,169,
"07",2,2,2450,88,
"07",2,3,2450,1,
"07",2,4,2450,24,
"07",2,5,2450,37,
"08",1,1,2450,4000,
"08",1,2,2450,2099,
"08",1,3,2450,77,
"08",1,4,2450,230,
"08",1,5,2450,7057,
"08",2,1,2450,2408,
"08",2,2,2450,807,
"08",2,3,2450,45,
"08",2,4,2450,102,
"08",2,5,2450,4720,
"09",1,1,2450,14741,
"09",1,2,2450,1834,
"09",1,3,2450,221,
"09",1,4,2450,1701,
"09",1,5,2450,18,
"09",2,1,2450,5822,
"09",2,2,2450,519,
"09",2,3,2450,104,
"09",2,4,2450,271,
"09",2,5,2450,0,
"10",1,1,2450,2261,
"22",1,3,2450,65,
"22",1,4,2450,171,
"22",1,5,2450,1479,
"22",2,1,2450,1274,
"22",2,2,2450,740,
"22",2,3,2450,504,
"22",2,4,2450,75,
"22",2,5,2450,27,
"23",1,1,2450,955,
"23",1,2,2450,212,
"23",1,3,2450,0,
"23",1,4,2450,790,
"23",1,5,2450,0,
"23",2,1,2450,258,
"23",2,2,2450,48,
"23",2,3,2450,0,
"23",2,4,2450,59,
"23",2,5,2450,0,
"24",1,1,2450,650,
"24",1,2,2450,361,
"24",1,3,2450,80,
"24",1,4,2450,115,
"24",1,5,2450,22,
"24",2,1,2450,653,
"24",2,2,2450,355,
"24",2,3,2450,86,
"24",2,4,2450,67,
"24",2,5,2450,38,
"25",1,1,2450,3154,
"25",1,2,2450,3188,
"25",1,3,2450,89,
"25",1,4,2450,2099,
"25",1,5,2450,312,
"25",2,1,2450,1319,
"25",2,2,2450,1080,
"25",2,3,2450,32,
"25",2,4,2450,460,
"25",2,5,2450,139,
"26",1,1,2450,1830,
"26",1,2,2450,408,
"26",1,3,2450,21,
"26",1,4,2450,321,
"26",1,5,2450,1831,
"26",2,1,2450,859,
"26",2,2,2450,197,
"26",2,3,2450,8,
"26",2,4,2450,68,
"26",2,5,2450,597,
"27",1,1,2450,594,
"27",1,2,2450,241,
"27",1,3,2450,42,
"27",1,4,2450,286,
"27",1,5,2450,120,
"15",1,5,2450,3594,
"15",2,1,2450,,2
"15",2,2,2450,,2
"15",2,3,2450,,2
"15",2,4,2450,,2
"15",2,5,2450,,2
"15",2,9,2450,11261,
"16",1,1,2450,6852,
"16",1,2,2450,,2
"16",1,3,2450,,2
"16",1,4,2450,1422,
"16",1,5,2450,,2
"16",2,1,2450,1322,
"16",2,2,2450,,2
"16",2,3,2450,,2
"16",2,4,2450,133,
"16",2,5,2450,,2
"17",1,1,2450,2806,
"17",1,2,2450,684,
"17",1,3,2450,596,
"17",1,4,2450,509,
"17",1,5,2450,3,
"17",2,1,2450,,2
"17",2,2,2450,,2
"17",2,3,2450,,2
"17",2,4,2450,,2
"17",2,5,2450,1165,
"18",1,1,2450,411,
"18",1,2,2450,348,
"18",1,3,2450,0,
"18",1,4,2450,387,
"18",1,5,2450,12,
"18",2,1,2450,,2
"18",2,2,2450,,2
"18",2,3,2450,,2
"18",2,4,2450,,2
"18",2,5,2450,,2
"18",2,9,2450,583,
"19",1,1,2450,6373,
"19",1,2,2450,2101,
"19",1,3,2450,500,
"19",1,4,2450,0,
"19",1,5,2450,2172,
"19",2,1,2450,6377,
"19",2,2,2450,1304,
"19",2,3,2450,320,
"19",2,4,2450,0,
"19",2,5,2450,1703,
"20",1,1,2450,564,
"20",1,2,2450,486,
"20",1,3,2450,9,
"20",1,4,2450,,2
"10",1,2,2450,1217,
"10",1,3,2450,0,
"10",1,4,2450,288,
"10",1,5,2450,0,
"10",2,1,2450,842,
"10",2,2,2450,460,
"10",2,3,2450,0,
"10",2,4,2450,104,
"10",2,5,2450,0,
"11",1,1,2450,4780,
"11",1,2,2450,,2
"11",1,3,2450,311,
"11",1,4,2450,2084,
"11",1,5,2450,0,
"11",2,1,2450,3089,
"11",2,2,2450,,2
"11",2,3,2450,247,
"11",2,4,2450,1224,
"11",2,5,2450,0,
"12",1,1,2450,3466,
"12",1,2,2450,242,
"12",1,3,2450,953,
"12",1,4,2450,712,
"12",1,5,2450,61,
"12",2,1,2450,1334,
"12",2,2,2450,489,
"12",2,3,2450,26,
"12",2,4,2450,53,
"12",2,5,2450,73,
"13",1,1,2450,2128,
"13",1,2,2450,549,
"13",1,3,2450,109,
"13",1,4,2450,191,
"13",1,5,2450,280,
"13",2,1,2450,2213,
