ENTIDAD,CL_VEHI,tipo_veh,estructu,TT_VEHI,est_ttve
21,2,1,20904600,745,
21,2,2,20904600,664,
21,2,3,20904600,410,
21,2,4,20904600,86,
21,2,5,20904600,354,
22,1,1,20904600,2108,
22,1,2,20904600,1333,
22,1,3,20904600,224,
22,1,4,20904600,371,
22,1,5,20904600,314,
22,2,1,20904600,1397,
22,2,2,20904600,569,
22,2,3,20904600,426,
22,2,4,20904600,100,
22,2,5,20904600,132,
23,1,1,20904600,128,
23,1,2,20904600,1,
23,1,3,20904600,1,
23,1,4,20904600,26,
23,1,5,20904600,0,
23,2,1,20904600,71,
23,2,2,20904600,1,
23,2,3,20904600,1,
23,2,4,20904600,0,
23,2,5,20904600,0,
24,1,1,20904600,189,
24,1,2,20904600,259,
24,1,3,20904600,34,
24,1,4,20904600,307,
24,1,5,20904600,69,
24,2,1,20904600,278,
24,2,2,20904600,194,
24,2,3,20904600,35,
24,2,4,20904600,52,
24,2,5,20904600,27,
25,1,1,20904600,1624,
25,1,2,20904600,1576,
25,1,3,20904600,29,
25,1,4,20904600,1081,
25,1,5,20904600,161,
25,2,1,20904600,748,
25,2,2,20904600,596,
25,2,3,20904600,17,
25,2,4,20904600,263,
25,2,5,20904600,80,
26,1,1,20904600,1968,
26,1,2,20904600,966,
26,1,3,20904600,43,
26,1,4,20904600,660,
26,1,5,20904600,890,
26,2,1,20904600,,2
26,2,2,20904600,,2
26,2,3,20904600,,2
26,2,4,20904600,,2
26,2,5,20904600,,2
27,1,1,20904600,635,
27,1,2,20904600,356,
27,1,3,20904600,57,
27,1,4,20904600,513,
27,1,5,20904600,589,
27,2,1,20904600,251,
27,2,2,20904600,81,
27,2,3,20904600,28,
27,2,4,20904600,45,
27,2,5,20904600,183,
28,1,1,20904600,,2
28,1,2,20904600,,2
28,1,3,20904600,,2
28,1,4,20904600,,2
28,1,5,20904600,,2
28,1,9,20904600,6660,
28,2,1,20904600,,2
28,2,2,20904600,,2
28,2,3,20904600,,2
28,2,4,20904600,,2
28,2,5,20904600,,2
28,2,9,20904600,2597,
29,1,1,20904600,554,
29,1,2,20904600,440,
29,1,3,20904600,19,
29,1,4,20904600,127,
29,1,5,20904600,119,
29,2,1,20904600,102,
29,2,2,20904600,75,
29,2,3,20904600,1,
29,2,4,20904600,9,
29,2,5,20904600,59,
30,1,1,20904600,,2
30,1,2,20904600,,2
30,1,3,20904600,,2
30,1,4,20904600,,2
30,1,5,20904600,,2
30,1,9,20904600,6144,
30,2,1,20904600,,2
30,2,2,20904600,,2
30,2,3,20904600,,2
30,2,4,20904600,,2
30,2,5,20904600,,2
31,1,1,20904600,98,
31,1,2,20904600,14,
31,1,3,20904600,2,
31,1,4,20904600,171,
31,1,5,20904600,3,
31,2,1,20904600,71,
31,2,2,20904600,5,
31,2,3,20904600,1,
31,2,4,20904600,39,
31,2,5,20904600,0,
32,1,1,20904600,710,
32,1,2,20904600,821,
32,1,3,20904600,27,
32,1,4,20904600,392,
32,1,5,20904600,43,
32,2,1,20904600,376,
32,2,2,20904600,410,
32,2,3,20904600,18,
32,2,4,20904600,76,
32,2,5,20904600,10,
