entidad,re_snn1
"01",1
"02",9
"03",1
"04",1
"05",2
"06",1
"07",2
"08",9
"09",9
"10",1
"11",9
"12",1
"13",1
"14",1
"15",1
"16",9
"17",1
"18",2
"19",9
"20",9
"21",9
"22",1
"23",1
"24",9
"25",9
"26",9
"27",9
"28",2
"29",2
"30",9
"31",1
"32",9
