entidad,gdoestue,cafsextt,cafsex1,cafsex2,cafsex3,cafsex4,cafsex5,cafsex6,cafsex7,cafsex8,cafsex9,cafsex10,cafsex11,cafsex12,cafsex13,cafsex14
"06",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"06",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"06",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"06",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"06",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"06",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"06",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"06",9,"","","","","","","","","","","","","","",""
"07",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"07",4,"2","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"07",5,"8","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"07",6,"67","34","25","0","0","0","0","0","0","0","0","3","5","0","0"
"07",7,"55","30","23","0","0","0","0","0","0","0","0","0","0","2","0"
"07",8,"5","3","2","0","0","0","0","0","0","0","0","0","0","0","0"
"07",9,"","","","","","","","","","","","","","",""
"08",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",2,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"08",3,"2","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"08",4,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"08",5,"17","0","0","0","0","0","0","0","0","0","0","2","15","0","0"
"08",6,"197","85","97","1","0","0","0","0","0","0","0","6","7","1","0"
"08",7,"6","2","4","0","0","0","0","0","0","0","0","0","0","0","0"
"08",8,"1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"08",9,"","","","","","","","","","","","","","",""
"09",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"09",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"09",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"09",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"09",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"09",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"09",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"09",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"09",9,"","","","","","","","","","","","","","",""
"10",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",3,"1","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"10",4,"4","0","0","0","0","0","0","0","0","0","0","2","2","0","0"
"10",5,"6","0","0","0","0","0","0","0","0","0","0","0","6","0","0"
"10",6,"61","33","11","5","3","0","0","0","0","0","1","4","4","0","0"
"10",7,"17","7","10","0","0","0","0","0","0","0","0","0","0","0","0"
"10",8,"4","3","0","0","0","0","0","0","0","0","0","0","1","0","0"
"10",9,"","","","","","","","","","","","","","",""
"11",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"11",9,"","","","","","","","","","","","","","",""
"12",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",6,"97","49","44","0","0","0","0","0","0","0","0","4","0","0","0"
"12",7,"5","3","2","0","0","0","0","0","0","0","0","0","0","0","0"
"12",8,"1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"12",9,"","","","","","","","","","","","","","",""
"13",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
