entidad,ran_ingr,sexostt,sexos1,sexos2
"14",99,"","",""
"15",1,"0","0","0"
"15",2,"0","0","0"
"15",3,"131","94","37"
"15",4,"467","270","197"
"15",5,"139","64","75"
"15",6,"180","71","109"
"15",7,"28","17","11"
"15",8,"59","25","34"
"15",9,"10","6","4"
"15",10,"2","2","0"
"15",11,"0","0","0"
"15",12,"0","0","0"
"15",13,"0","0","0"
"15",14,"0","0","0"
"15",15,"7","6","1"
"15",16,"15","12","3"
"15",99,"","",""
"16",1,"0","0","0"
"16",2,"12","4","8"
"16",3,"11","2","9"
"16",4,"215","97","118"
"16",5,"65","40","25"
"16",6,"16","10","6"
"16",7,"19","12","7"
"16",8,"11","8","3"
"16",9,"0","0","0"
"16",10,"14","7","7"
"16",11,"1","0","1"
"16",12,"1","0","1"
"16",13,"2","2","0"
"16",14,"0","0","0"
"16",15,"0","0","0"
"16",16,"13","10","3"
"16",99,"","",""
"17",1,"0","0","0"
"17",2,"0","0","0"
"17",3,"244","138","106"
"17",4,"51","18","33"
"17",5,"8","5","3"
"17",6,"31","9","22"
"17",7,"3","3","0"
"17",8,"6","3","3"
"17",9,"2","1","1"
"17",10,"4","2","2"
"17",11,"1","1","0"
"17",12,"0","0","0"
"17",13,"0","0","0"
"17",14,"0","0","0"
"17",15,"0","0","0"
"17",16,"0","0","0"
"17",99,"","",""
"18",1,"0","0","0"
"18",2,"0","0","0"
"18",3,"19","11","8"
"18",4,"44","10","34"
"18",5,"43","20","23"
"18",6,"31","20","11"
"18",7,"6","3","3"
"18",8,"10","8","2"
"18",9,"9","7","2"
"18",10,"5","2","3"
"18",11,"1","1","0"
"18",12,"0","0","0"
"18",13,"0","0","0"
"18",14,"0","0","0"
"18",15,"1","1","0"
"18",16,"1","1","0"
"18",99,"","",""
"19",1,"0","0","0"
"19",2,"0","0","0"
"19",3,"435","211","224"
"19",4,"278","125","153"
"19",5,"92","33","59"
"19",6,"201","126","75"
"19",7,"82","48","34"
"19",8,"8","5","3"
"19",9,"162","59","103"
"19",10,"5","0","5"
"19",11,"36","22","14"
"19",12,"0","0","0"
"19",13,"12","6","6"
"19",14,"0","0","0"
"19",15,"9","7","2"
"19",16,"18","13","5"
"19",99,"","",""
"20",1,"0","0","0"
"20",2,"0","0","0"
"20",3,"213","104","109"
"20",4,"390","175","215"
"20",5,"167","86","81"
"20",6,"35","14","21"
"20",7,"8","6","2"
"20",8,"7","6","1"
"20",9,"5","2","3"
"20",10,"0","0","0"
"20",11,"2","2","0"
"20",12,"8","5","3"
"20",13,"0","0","0"
"20",14,"0","0","0"
"20",15,"8","5","3"
"20",16,"7","5","2"
"20",99,"","",""
"21",1,"0","0","0"
"21",2,"33","9","24"
