entidad,rangedae,cafsextt,cafsex1,cafsex2,cafsex3,cafsex4,cafsex5,cafsex6,cafsex7,cafsex8,cafsex9,cafsex10,cafsex11,cafsex12,cafsex13,cafsex14,cafsexnh,cafsexnm
"07",5,"31","9","15","0","0","0","0","0","0","0","0","0","7","0","0","",""
"07",6,"23","13","9","0","0","0","0","0","0","0","0","0","1","0","0","",""
"07",7,"6","4","0","0","0","0","0","0","0","0","0","1","1","0","0","",""
"07",8,"9","6","3","0","0","0","0","0","0","0","0","0","0","0","0","",""
"07",9,"5","4","1","0","0","0","0","0","0","0","0","0","0","0","0","",""
"07",99,"","","","","","","","","","","","","","","","",""
"08",1,"2","NSS","NSS","NSS","0","0","0","0","0","0","0","NSS","NSS","NSS","0","1","1"
"08",2,"16","NSS","NSS","NSS","0","0","0","0","0","0","0","NSS","NSS","NSS","0","7","9"
"08",3,"50","NSS","NSS","NSS","0","0","0","0","0","0","0","NSS","NSS","NSS","0","18","32"
"08",4,"40","NSS","NSS","NSS","0","0","0","0","0","0","0","NSS","NSS","NSS","0","20","20"
"08",5,"37","NSS","NSS","NSS","0","0","0","0","0","0","0","NSS","NSS","NSS","0","7","30"
"08",6,"30","NSS","NSS","NSS","0","0","0","0","0","0","0","NSS","NSS","NSS","0","12","18"
"08",7,"19","NSS","NSS","NSS","0","0","0","0","0","0","0","NSS","NSS","NSS","0","12","7"
"08",8,"8","NSS","NSS","NSS","0","0","0","0","0","0","0","NSS","NSS","NSS","0","3","5"
"08",9,"23","NSS","NSS","NSS","0","0","0","0","0","0","0","NSS","NSS","NSS","0","20","3"
"08",99,"","","","","","","","","","","","","","","","",""
"09",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"09",99,"","","","","","","","","","","","","","","","",""
"10",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"10",2,"6","2","2","0","0","0","0","0","0","0","0","0","2","0","0","",""
"10",3,"13","4","5","0","0","0","0","0","0","0","0","2","2","0","0","",""
"10",4,"9","2","3","1","1","0","0","0","0","0","0","2","0","0","0","",""
"10",5,"9","5","3","0","0","0","0","0","0","0","0","0","1","0","0","",""
"10",6,"19","14","2","1","0","0","0","0","0","0","1","1","0","0","0","",""
"10",7,"10","6","2","1","1","0","0","0","0","0","0","0","0","0","0","",""
"10",8,"15","5","3","1","0","0","0","0","0","0","0","0","6","0","0","",""
"10",9,"12","5","1","1","1","0","0","0","0","0","0","1","3","0","0","",""
"10",99,"","","","","","","","","","","","","","","","",""
"11",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"11",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"11",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"11",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"11",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"11",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"11",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"11",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"11",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"11",99,"","","","","","","","","","","","","","","","",""
"12",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"12",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"12",3,"7","5","0","0","0","0","0","0","0","0","0","2","0","0","0","",""
"12",4,"35","12","23","0","0","0","0","0","0","0","0","0","0","0","0","",""
"12",5,"37","20","15","0","0","0","0","0","0","0","0","1","0","1","0","",""
"12",6,"13","10","3","0","0","0","0","0","0","0","0","0","0","0","0","",""
"12",7,"7","3","4","0","0","0","0","0","0","0","0","0","0","0","0","",""
"12",8,"3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","",""
"12",9,"1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","",""
"12",99,"","","","","","","","","","","","","","","","",""
"13",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"13",99,"","","","","","","","","","","","","","","","",""
"14",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"14",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"14",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"14",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"14",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"14",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"14",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"14",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"14",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"14",99,"","","","","","","","","","","","","","","","",""
"15",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"15",99,"","","","","","","","","","","","","","","","",""
"16",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"16",99,"","","","","","","","","","","","","","","","",""
"17",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",7,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",8,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",9,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"17",99,"","","","","","","","","","","","","","","","",""
"18",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"18",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"18",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"18",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
"18",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","",""
