entidad,fun_comi,totalca1,no_aplic
"25",6,"NA","1"
"25",7,"NA","1"
"25",8,"NA","1"
"25",9,"NA","1"
"25",99,"",""
"26",1,"1",""
"26",2,"1",""
"26",3,"1",""
"26",4,"1",""
"26",5,"NA","1"
"26",6,"NA","1"
"26",7,"NA","1"
"26",8,"NA","1"
"26",9,"NA","1"
"26",99,"",""
"27",1,"NA","1"
"27",2,"NA","1"
"27",3,"NA","1"
"27",4,"NA","1"
"27",5,"NA","1"
"27",6,"NA","1"
"27",7,"NA","1"
"27",8,"NA","1"
"27",9,"NA","1"
"27",99,"",""
"28",1,"1",""
"28",2,"NA","1"
"28",3,"1",""
"28",4,"NA","1"
"28",5,"NA","1"
"28",6,"NA","1"
"28",7,"NA","1"
"28",8,"1",""
"28",9,"1",""
"28",99,"",""
"29",1,"1",""
"29",2,"1",""
"29",3,"1",""
"29",4,"NA","1"
"29",5,"NA","1"
"29",6,"NA","1"
"29",7,"NA","1"
"29",8,"NA","1"
"29",9,"1",""
"29",99,"",""
"30",1,"NA","1"
"30",2,"1",""
"30",3,"1",""
"30",4,"NA","1"
"30",5,"NA","1"
"30",6,"NA","1"
"30",7,"NA","1"
"30",8,"NA","1"
"30",9,"1",""
"30",99,"",""
"31",1,"1",""
"31",2,"1",""
"31",3,"1",""
"31",4,"1",""
"31",5,"NA","1"
"31",6,"NA","1"
"31",7,"NA","1"
"31",8,"NA","1"
"31",9,"2",""
"31",99,"",""
"32",1,"NA","NA"
"32",2,"NA","NA"
"32",3,"NA","NA"
"32",4,"NA","NA"
"32",5,"NA","NA"
"32",6,"NA","NA"
"32",7,"NA","NA"
"32",8,"NA","NA"
"32",9,"NA","NA"
"32",99,"",""
