entidad,ocupacio,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"21",6,"20","14","0","","6","0",""
"21",7,"34","33","1","","0","0",""
"21",8,"8","7","0","","1","0",""
"21",9,"87","79","4","","3","1",""
"21",10,"128","117","10","","1","0",""
"21",11,"252","225","23","4","0","0",""
"22",1,"3","3","0","","0","NSS",""
"22",2,"4","3","1","","0","NSS",""
"22",3,"3","3","0","","0","NSS",""
"22",4,"17","11","2","","4","NSS",""
"22",5,"25","23","1","","1","NSS",""
"22",6,"5","1","0","","4","NSS",""
"22",7,"9","8","0","","1","NSS",""
"22",8,"12","12","0","","0","NSS",""
"22",9,"70","63","4","","3","NSS",""
"22",10,"20","17","2","","1","NSS",""
"22",11,"56","45","5","","6","NSS",""
"23",1,"0","0","0","","0","0",""
"23",2,"0","0","0","","0","0",""
"23",3,"1","1","0","","0","0",""
"23",4,"11","1","0","","9","1",""
"23",5,"10","7","0","","3","0",""
"23",6,"5","0","0","","5","0",""
"23",7,"4","0","0","","4","0",""
"23",8,"11","0","0","","11","0",""
"23",9,"27","6","0","","19","2",""
"23",10,"7","0","3","","4","0",""
"23",11,"42","11","0","","31","0",""
"24",1,"9","8","1","","NSS","0",""
"24",2,"25","25","NSS","","NSS","0",""
"24",3,"7","6","1","","NSS","0",""
"24",4,"170","150","16","","4","0",""
"24",5,"77","75","1","","1","0",""
"24",6,"107","105","NSS","","2","0",""
"24",7,"18","17","NSS","","1","0",""
"24",8,"60","56","3","","1","0",""
"24",9,"146","135","9","","2","0",""
"24",10,"75","68","4","","2","1",""
"24",11,"220","194","21","","5","0",""
"25",1,"2","1","1","","NSS","NSS",""
"25",2,"5","5","0","","NSS","NSS",""
"25",3,"1","1","0","","NSS","NSS",""
"25",4,"16","13","3","","NSS","NSS",""
"25",5,"4","4","0","","NSS","NSS",""
"25",6,"197","186","11","","NSS","NSS",""
"25",7,"18","18","0","","NSS","NSS",""
"25",8,"12","12","0","","NSS","NSS",""
"25",9,"75","73","2","","NSS","NSS",""
"25",10,"NSS","0","0","","NSS","NSS",""
"25",11,"1702","271","29","1394","3","NSS","5"
"26",1,"3","1","0","","2","0",""
"26",2,"20","14","2","","4","0",""
"26",3,"9","7","1","","1","0",""
"26",4,"304","286","8","","9","1",""
"26",5,"535","506","12","","15","2",""
"26",6,"210","181","4","","25","0",""
"26",7,"20","18","0","","2","0",""
"26",8,"35","31","1","","3","0",""
"26",9,"360","230","13","","113","4",""
"26",10,"202","149","22","","27","4",""
"26",11,"217","188","13","","13","3",""
"27",1,"6","5","0","","0","1",""
"27",2,"6","5","1","","0","0",""
"27",3,"7","7","0","","0","0",""
"27",4,"39","38","1","","0","0",""
"27",5,"10","10","0","","0","0",""
"27",6,"49","43","0","","2","4",""
"27",7,"7","7","0","","0","0",""
"27",8,"22","22","0","","0","0",""
"27",9,"30","27","2","","1","0",""
"27",10,"16","13","2","","0","1",""
"27",11,"106","82","4","2","15","3",""
"28",1,"0","0","0","","0","0",""
"28",2,"1","1","0","","0","0",""
"28",3,"31","31","0","","0","0",""
"28",4,"21","20","1","","0","0",""
"28",5,"9","9","0","","0","0",""
"28",6,"17","17","0","","0","0",""
"28",7,"64","63","1","","0","0",""
"28",8,"5","5","0","","0","0",""
"28",9,"0","0","0","","0","0",""
"28",10,"6","5","1","","0","0",""
"28",11,"1488","34","5","1449","0","0",""
"29",1,"4","4","0","","0","0",""
"29",2,"14","12","2","","0","0",""
"29",3,"4","4","0","","0","0",""
"29",4,"67","60","7","","0","0",""
"29",5,"22","21","1","","0","0",""
"29",6,"70","69","1","","0","0",""
"29",7,"50","44","6","","0","0",""
"29",8,"12","12","0","","0","0",""
"29",9,"136","121","15","","0","0",""
"29",10,"101","73","28","","0","0",""
"29",11,"116","82","11","23","0","0",""
"30",1,"0","0","0","","0","0",""
"30",2,"8","8","0","","0","0",""
"30",3,"3","2","1","","0","0",""
"30",4,"23","12","6","","4","1",""
"30",5,"6","4","1","","1","0",""
"30",6,"32","21","0","","11","0",""
"30",7,"8","8","0","","0","0",""
"30",8,"8","5","0","","3","0",""
"30",9,"13","7","0","","6","0",""
"30",10,"16","9","3","","3","1",""
"30",11,"112","86","9","10","6","1",""
"31",1,"3","0","0","","3","0",""
"31",2,"3","0","0","","3","0",""
"31",3,"0","0","0","","0","0",""
"31",4,"14","1","0","","11","2",""
"31",5,"4","0","0","","4","0",""
"31",6,"6","0","0","","6","0",""
"31",7,"8","0","0","","8","0",""
"31",8,"12","1","0","","11","0",""
"31",9,"55","1","0","","52","2",""
"31",10,"10","0","0","","8","2",""
"31",11,"64","2","0","","58","4",""
"32",1,"2","0","0","","2","0",""
"32",2,"9","5","0","","2","2",""
"32",3,"1","0","0","","1","0",""
"32",4,"26","12","4","","10","0",""
"32",5,"10","1","1","","8","0",""
"32",6,"89","60","4","","25","0",""
"32",7,"0","0","0","","0","0",""
"32",8,"21","16","1","","4","0",""
"32",9,"125","101","11","","13","0",""
"32",10,"16","3","2","","7","4",""
"32",11,"271","141","36","58","34","2",""
