entidad,gdoestad,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"30",2,"11","0","0","10","1",""
"30",3,"18","0","0","18","0",""
"30",4,"6","0","0","5","1",""
"30",5,"0","0","0","0","0",""
"30",6,"11","0","0","11","0",""
"31",1,"0","0","0","0","0",""
"31",2,"2","0","0","1","1",""
"31",3,"8","0","0","7","1",""
"31",4,"6","0","0","6","0",""
"31",5,"0","0","0","0","0",""
"31",6,"5","0","0","5","0",""
"32",1,"1","0","0","1","NSS",""
"32",2,"5","0","0","5","NSS",""
"32",3,"9","0","0","9","NSS",""
"32",4,"3","0","0","3","NSS",""
"32",5,"NSS","0","0","0","NSS",""
"32",6,"2","0","0","1","1",""
