entidad,sistn_op,eqcomptt,eqcomp1,eqcomp2,no_aplic
"10",6,"4","4","0",""
"10",7,"NA","NA","NA","1"
"10",8,"NA","NA","NA","1"
"10",9,"NA","NA","NA","1"
"10",10,"NA","NA","NA","1"
"10",11,"NA","NA","NA","1"
"10",12,"NA","NA","NA","1"
"10",13,"NA","NA","NA","1"
"10",14,"NA","NA","NA","1"
"10",15,"NA","NA","NA","1"
"10",99,"NA","NA","NA","1"
"11",1,"NA","NA","NA","NA"
"11",2,"NA","NA","NA","NA"
"11",3,"NA","NA","NA","NA"
"11",4,"NA","NA","NA","NA"
"11",5,"NA","NA","NA","NA"
"11",6,"NA","NA","NA","NA"
"11",7,"NA","NA","NA","NA"
"11",8,"NA","NA","NA","NA"
"11",9,"NA","NA","NA","NA"
"11",10,"NA","NA","NA","NA"
"11",11,"NA","NA","NA","NA"
"11",12,"NA","NA","NA","NA"
"11",13,"NA","NA","NA","NA"
"11",14,"NA","NA","NA","NA"
"11",15,"NA","NA","NA","NA"
"11",99,"NA","NA","NA","NA"
"12",1,"NA","NA","NA","1"
"12",2,"60","60","0",""
"12",3,"NA","NA","NA","1"
"12",4,"NA","NA","NA","1"
"12",5,"20","0","20",""
"12",6,"NA","NA","NA","1"
"12",7,"NA","NA","NA","1"
"12",8,"NA","NA","NA","1"
"12",9,"NA","NA","NA","1"
"12",10,"NA","NA","NA","1"
"12",11,"NA","NA","NA","1"
"12",12,"NA","NA","NA","1"
"12",13,"NA","NA","NA","1"
"12",14,"NA","NA","NA","1"
"12",15,"NA","NA","NA","1"
"12",99,"NA","NA","NA","1"
"13",1,"NA","NA","NA","NA"
"13",2,"NA","NA","NA","NA"
"13",3,"NA","NA","NA","NA"
"13",4,"NA","NA","NA","NA"
"13",5,"NA","NA","NA","NA"
"13",6,"NA","NA","NA","NA"
"13",7,"NA","NA","NA","NA"
"13",8,"NA","NA","NA","NA"
"13",9,"NA","NA","NA","NA"
"13",10,"NA","NA","NA","NA"
"13",11,"NA","NA","NA","NA"
"13",12,"NA","NA","NA","NA"
"13",13,"NA","NA","NA","NA"
"13",14,"NA","NA","NA","NA"
"13",15,"NA","NA","NA","NA"
"13",99,"NA","NA","NA","NA"
"14",1,"NA","NA","NA","NA"
"14",2,"NA","NA","NA","NA"
"14",3,"NA","NA","NA","NA"
"14",4,"NA","NA","NA","NA"
"14",5,"NA","NA","NA","NA"
"14",6,"NA","NA","NA","NA"
"14",7,"NA","NA","NA","NA"
"14",8,"NA","NA","NA","NA"
"14",9,"NA","NA","NA","NA"
"14",10,"NA","NA","NA","NA"
"14",11,"NA","NA","NA","NA"
"14",12,"NA","NA","NA","NA"
"14",13,"NA","NA","NA","NA"
"14",14,"NA","NA","NA","NA"
"14",15,"NA","NA","NA","NA"
"14",99,"NA","NA","NA","NA"
"15",1,"NA","NA","NA","NA"
"15",2,"NA","NA","NA","NA"
"15",3,"NA","NA","NA","NA"
"15",4,"NA","NA","NA","NA"
"15",5,"NA","NA","NA","NA"
"15",6,"NA","NA","NA","NA"
"15",7,"NA","NA","NA","NA"
"15",8,"NA","NA","NA","NA"
"15",9,"NA","NA","NA","NA"
"15",10,"NA","NA","NA","NA"
"15",11,"NA","NA","NA","NA"
"15",12,"NA","NA","NA","NA"
"15",13,"NA","NA","NA","NA"
