entidad,delitos,cecccd1,cecccd2,cecccd3,cecccd4,cecccd5,cecccd6,cecccd7,cecccd8,cecccd9,cecccd10,cecccd11,cecccd12,cecccd13,cecccd14,cecccd15,cecccd16,cecccd17,cecccd18,cecccd19,cecccd20,cecccd21,cecccd22,cecccd23,cecccd24,cecccd25,cecccd26,cecccd27,cecccd28,cecccd29,cecccd30,cecccd31,cecccd32,cecccd33,cecccd34,cecccd35,cecccd36,cecccd37,cecccd38,cecccd39,cecccd40,cecccd41,cecccd42,cecccd43,cecccd44,cecccd45,cecccd46,cecccd47,cecccd48,cecccd49,cecccd50,cecccd51,cecccd52,cecccd53,cecccd54,cecccd55,cecccd56,cecccd57,cecccd58
"02",90900,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"02",91000,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"02",91100,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"02",91200,"0","NSS","1","NSS","","","NSS","NSS","NSS","NSS","1","","1","NSS","0","NSS","0","NSS","","","1","NSS","0","NSS","","","NSS","NSS","NSS","NSS","1","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1",""
"02",91300,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"02",91400,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"02",91500,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"02",91600,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"02",91900,"0","NSS","2","NSS","","","NSS","NSS","NSS","NSS","2","","NSS","NSS","NSS","NSS","NSS","NSS","2","","2","NSS","0","NSS","","","NSS","NSS","NSS","NSS","2","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","2","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","2",""
"02",999999,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03",10100,"7","NSS","9","NSS","11","1","NSS","NSS","NSS","NSS","27","1","26","1","1","0","0","0","","","12","1","15","0","","","8","NSS","3","NSS","16","1","5","NSS","NSS","NSS","NSS","NSS","9","NSS","NSS","NSS","13","1","2","NSS","2","NSS","2","NSS","5","NSS","2","NSS","NSS","NSS","14","1"
"03",10200,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",10300,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",10400,"4","NSS","15","NSS","17","1","NSS","NSS","NSS","NSS","36","1","35","1","NSS","0","NSS","0","1","","21","0","15","1","","","13","NSS","1","NSS","22","1","11","NSS","NSS","NSS","NSS","NSS","7","NSS","NSS","NSS","18","1","NSS","NSS","6","NSS","5","NSS","8","NSS","1","NSS","NSS","NSS","16","1"
"03",10900,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20100,"1","0","0","0","","","NSS","0","NSS","0","1","","0","0","1","0","0","0","","","1","0","0","0","","","1","0","0","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","1","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","1",""
"03",20200,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20300,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20400,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20500,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20600,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20601,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20602,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20603,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20604,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20609,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",20699,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03",20900,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",30100,"4","NSS","NSS","NSS","2","","NSS","NSS","NSS","NSS","6","","6","NSS","0","NSS","0","NSS","","","6","NSS","0","NSS","","","NSS","NSS","NSS","NSS","6","","NSS","NSS","1","NSS","2","NSS","NSS","NSS","NSS","NSS","3","","NSS","NSS","NSS","NSS","2","NSS","NSS","NSS","1","NSS","NSS","NSS","3",""
"03",30200,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",30300,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",30400,"1","NSS","1","NSS","1","","NSS","NSS","NSS","NSS","3","","3","NSS","0","NSS","0","NSS","","","3","NSS","0","NSS","","","1","NSS","NSS","NSS","2","","0","NSS","0","NSS","3","NSS","0","NSS","0","NSS","","","NSS","NSS","NSS","NSS","2","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1",""
"03",30500,"2","0","NSS","0","2","","NSS","0","NSS","0","4","","4","0","0","0","0","0","","","4","0","0","0","","","NSS","0","1","0","3","","NSS","0","NSS","0","1","0","NSS","0","NSS","0","3","","NSS","0","NSS","0","NSS","0","1","0","1","0","NSS","0","2",""
"03",30600,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",30700,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",30900,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",40100,"12","1","57","1","78","","NSS","NSS","NSS","NSS","147","2","146","2","NSS","0","NSS","0","1","","144","2","1","0","2","","28","1","18","1","101","","40","1","5","NSS","34","NSS","NSS","NSS","NSS","NSS","68","1","7","NSS","3","NSS","6","NSS","9","NSS","15","1","NSS","NSS","107","1"
