entidad,gdo_estu,stpjsxtt,stpjsx1,stpjsx2,stpjsx4,stpjsx5
"18",3,"689","401","38","236","14"
"18",4,"320","199","22","86","13"
"18",5,"0","0","0","0","0"
"18",6,"116","90","21","5","0"
"18",7,"3","2","1","0","0"
"18",8,"8","6","2","0","0"
"18",9,"1106","772","139","182","13"
"19",1,"98","14","3","76","5"
"19",2,"1116","211","19","796","90"
"19",3,"3454","616","60","2536","242"
"19",4,"502","197","27","232","46"
"19",5,"0","0","0","0","0"
"19",6,"1060","43","12","883","122"
"19",7,"71","2","1","60","8"
"19",8,"0","0","0","0","0"
"19",9,"1408","215","7","1023","163"
"20",1,"8","7","1","NSS","NSS"
"20",2,"155","140","15","NSS","NSS"
"20",3,"146","124","22","NSS","NSS"
"20",4,"94","77","17","NSS","NSS"
"20",5,"NSS","0","0","NSS","NSS"
"20",6,"50","41","9","NSS","NSS"
"20",7,"2","2","0","NSS","NSS"
"20",8,"NSS","0","0","NSS","NSS"
"20",9,"3427","730","180","2240","277"
"21",1,"96","18","2","72","4"
"21",2,"630","290","22","297","21"
"21",3,"536","416","33","81","6"
"21",4,"299","236","26","32","5"
"21",5,"0","0","0","0","0"
"21",6,"108","87","21","0","0"
"21",7,"15","7","0","8","0"
"21",8,"3","3","0","0","0"
"21",9,"4135","993","253","2562","327"
"22",1,"22","7","0","12","3"
"22",2,"405","127","11","246","21"
"22",3,"287","192","34","57","4"
"22",4,"172","134","16","19","3"
"22",5,"0","0","0","0","0"
"22",6,"48","39","8","1","0"
"22",7,"4","2","2","0","0"
"22",8,"0","0","0","0","0"
"22",9,"530","160","42","304","24"
"23",1,"24","7","0","17","0"
"23",2,"442","88","12","325","17"
"23",3,"294","158","12","114","10"
"23",4,"124","71","15","34","4"
"23",5,"0","0","0","0","0"
"23",6,"39","26","13","0","0"
"23",7,"2","2","0","0","0"
"23",8,"0","0","0","0","0"
"23",9,"366","153","27","174","12"
"24",1,"157","139","18","NSS","NSS"
"24",2,"363","325","38","NSS","NSS"
"24",3,"393","358","35","NSS","NSS"
"24",4,"227","207","20","NSS","NSS"
"24",5,"34","28","6","NSS","NSS"
"24",6,"34","31","3","NSS","NSS"
"24",7,"1","NSS","1","NSS","NSS"
"24",8,"NSS","NSS","NSS","NSS","NSS"
"24",9,"544","96","2","421","25"
"25",1,"NSS","NSS","NSS","0","NSS"
"25",2,"23","NSS","NSS","23","NSS"
"25",3,"111","NSS","NSS","104","7"
"25",4,"NSS","NSS","NSS","0","NSS"
"25",5,"NSS","NSS","NSS","0","NSS"
"25",6,"NSS","NSS","NSS","0","NSS"
