entidad,rangedad,sexostt,sexos1,sexos2,sexosne
"18",7,"10","10","NSS",""
"18",8,"7","5","2",""
"18",9,"9","9","NSS",""
"18",10,"141","135","6",""
"19",1,"517","465","52",""
"19",2,"316","278","38",""
"19",3,"279","254","25",""
"19",4,"233","212","21",""
"19",5,"164","141","23",""
"19",6,"91","77","14",""
"19",7,"53","48","5",""
"19",8,"27","26","1",""
"19",9,"19","16","3",""
"19",10,"0","0","0",""
"20",1,"NSS","NSS","NSS",""
"20",2,"NSS","NSS","NSS",""
"20",3,"NSS","NSS","NSS",""
"20",4,"NSS","NSS","NSS",""
"20",5,"NSS","NSS","NSS",""
"20",6,"NSS","NSS","NSS",""
"20",7,"NSS","NSS","NSS",""
"20",8,"NSS","NSS","NSS",""
"20",9,"NSS","NSS","NSS",""
"20",10,"365","NSS","NSS","365"
"21",1,"166","156","10",""
"21",2,"141","135","6",""
"21",3,"117","109","8",""
"21",4,"66","63","3",""
"21",5,"46","45","1",""
"21",6,"27","25","2",""
"21",7,"21","19","2",""
"21",8,"7","6","1",""
"21",9,"10","9","1",""
"21",10,"0","0","0",""
"22",1,"NSS","NSS","NSS",""
"22",2,"NSS","NSS","NSS",""
"22",3,"NSS","NSS","NSS",""
"22",4,"NSS","NSS","NSS",""
"22",5,"NSS","NSS","NSS",""
"22",6,"NSS","NSS","NSS",""
"22",7,"NSS","NSS","NSS",""
"22",8,"NSS","NSS","NSS",""
"22",9,"NSS","NSS","NSS",""
"22",10,"314","283","31",""
"23",1,"31","31","0",""
"23",2,"94","92","2",""
"23",3,"42","42","0",""
"23",4,"46","46","0",""
"23",5,"15","15","0",""
"23",6,"16","16","0",""
"23",7,"12","11","1",""
"23",8,"5","5","0",""
"23",9,"1","1","0",""
"23",10,"5","5","0",""
"24",1,"30","29","1",""
"24",2,"20","19","1",""
"24",3,"16","16","NSS",""
"24",4,"13","12","1",""
"24",5,"8","8","NSS",""
"24",6,"3","3","NSS",""
"24",7,"2","2","NSS",""
"24",8,"1","1","NSS",""
"24",9,"NSS","NSS","NSS",""
"24",10,"79","76","3",""
"25",1,"199","191","8",""
"25",2,"135","129","6",""
"25",3,"124","109","15",""
"25",4,"110","101","9",""
"25",5,"104","96","8",""
"25",6,"56","54","2",""
"25",7,"38","35","3",""
"25",8,"19","17","2",""
"25",9,"26","26","0",""
"25",10,"32","29","3",""
"26",1,"NSS","NSS","NSS",""
"26",2,"NSS","NSS","NSS",""
"26",3,"NSS","NSS","NSS",""
"26",4,"NSS","NSS","NSS",""
"26",5,"NSS","NSS","NSS",""
"26",6,"NSS","NSS","NSS",""
"26",7,"NSS","NSS","NSS",""
"26",8,"NSS","NSS","NSS",""
"26",9,"NSS","NSS","NSS",""
"26",10,"NSS","NSS","NSS",""
"27",1,"14","14","0",""
"27",2,"20","20","0",""
"27",3,"33","28","5",""
"27",4,"33","30","3",""
"27",5,"11","9","2",""
"27",6,"4","4","0",""
"27",7,"3","3","0",""
"27",8,"2","1","1",""
"27",9,"0","0","0",""
"27",10,"0","0","0",""
"28",1,"NSS","NSS","NSS",""
"28",2,"NSS","NSS","NSS",""
"28",3,"NSS","NSS","NSS",""
"28",4,"NSS","NSS","NSS",""
"28",5,"NSS","NSS","NSS",""
"28",6,"NSS","NSS","NSS",""
"28",7,"NSS","NSS","NSS",""
"28",8,"NSS","NSS","NSS",""
"28",9,"NSS","NSS","NSS",""
"28",10,"NSS","NSS","NSS",""
"29",1,"NSS","NSS","NSS",""
"29",2,"NSS","NSS","NSS",""
"29",3,"NSS","NSS","NSS",""
"29",4,"NSS","NSS","NSS",""
"29",5,"NSS","NSS","NSS",""
"29",6,"NSS","NSS","NSS",""
