entidad,con_estu,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"01",1,"NSS","NSS","NSS","0","0",""
"01",2,"NSS","NSS","NSS","0","0",""
"01",3,"32","29","3","0","0",""
"02",1,"39","35","4","0","0",""
"02",2,"89","83","6","0","0",""
"02",3,"20","18","2","0","0",""
"03",1,"NSS","NSS","NSS","0","0",""
"03",2,"NSS","NSS","NSS","0","0",""
"03",3,"NSS","NSS","NSS","0","0",""
"04",1,"0","0","0","0","0",""
"04",2,"0","0","0","0","0",""
"04",3,"0","0","0","0","0",""
"05",1,"6","5","NSS","1","0",""
"05",2,"2","1","NSS","1","0",""
"05",3,"11","10","1","0","0",""
"07",1,"8","0","0","7","1",""
"07",2,"16","0","0","15","1",""
"07",3,"1","0","0","0","0","1"
"08",1,"NSS","0","0","NSS","NSS",""
"08",2,"NSS","0","0","NSS","NSS",""
"08",3,"191","0","0","182","9",""
"09",1,"NSS","NSS","NSS","NSS","NSS",""
"09",2,"NSS","NSS","NSS","NSS","NSS",""
"09",3,"541","506","29","5","1",""
"10",1,"23","0","0","23","0",""
"10",2,"52","0","0","50","2",""
"10",3,"4","0","0","4","0",""
"12",1,"2","0","0","2","NSS",""
"12",2,"NSS","0","0","NSS","NSS",""
"12",3,"3","0","0","2","1",""
"13",1,"NSS","NSS","0","0","0",""
"13",2,"3","1","2","0","0",""
"13",3,"8","8","0","0","0",""
"14",1,"43","37","6","0","0",""
"14",2,"131","123","8","0","0",""
"14",3,"8","8","0","0","0",""
"15",1,"NSS","NSS","NSS","0","0",""
"15",2,"NSS","NSS","NSS","0","0",""
"15",3,"17","16","1","0","0",""
"16",1,"NSS","NSS","0","0","0",""
"16",2,"NSS","NSS","0","0","0",""
"16",3,"2","2","0","0","0",""
"17",1,"NSS","0","0","NSS","NSS",""
"17",2,"8","0","0","7","1",""
"17",3,"4","0","0","3","1",""
"18",1,"3","3","NSS","0","0",""
"18",2,"6","6","NSS","0","0",""
"18",3,"23","22","1","0","0",""
"19",1,"NSS","0","0","NSS","NSS",""
"19",2,"NSS","0","0","NSS","NSS",""
"19",3,"42","0","0","30","1","11"
"20",1,"3","0","0","3","0",""
"20",2,"3","0","0","3","0",""
"20",3,"7","0","0","7","0",""
"21",1,"15","15","0","0","0",""
"21",2,"21","21","0","0","0",""
"21",3,"6","6","0","0","0",""
"22",1,"4","0","0","4","0",""
"22",2,"4","0","0","4","0",""
"22",3,"0","0","0","0","0",""
"23",1,"1","0","0","NSS","1",""
"23",2,"NSS","0","0","NSS","NSS",""
"23",3,"7","0","0","6","1",""
"24",1,"0","0","0","0","0",""
"24",2,"0","0","0","0","0",""
"24",3,"0","0","0","0","0",""
"25",1,"NSS","0","0","NSS","NSS",""
"25",2,"NSS","0","0","NSS","NSS",""
"25",3,"39","0","0","NSS","NSS","39"
"26",1,"124","116","8","0","0",""
"26",2,"284","268","16","0","0",""
"26",3,"28","26","2","0","0",""
"27",1,"NSS","0","0","NSS","NSS",""
"27",2,"NSS","0","0","NSS","NSS",""
"27",3,"42","0","0","41","1",""
"28",1,"NSS","NSS","NSS","0","0",""
"28",2,"NSS","NSS","NSS","0","0",""
"28",3,"NSS","NSS","NSS","0","0",""
"29",1,"15","15","0","0","0",""
"29",2,"8","8","0","0","0",""
"29",3,"0","0","0","0","0",""
"30",1,"6","0","0","6","NSS",""
"30",2,"14","0","0","13","1",""
"30",3,"27","0","0","26","1",""
"31",1,"9","0","0","8","1",""
"31",2,"NSS","0","0","NSS","NSS",""
"31",3,"12","0","0","11","1",""
"32",1,"4","0","0","4","NSS",""
"32",2,"14","0","0","14","NSS",""
"32",3,"2","0","0","1","1",""
