entidad,re_snn1
"01",1
"02",9
"03",9
"04",1
"05",9
"06",9
"07",9
"08",9
"09",9
"10",1
"11",1
"12",1
"13",1
"14",1
"15",1
"16",9
"17",1
"18",1
"19",1
"20",9
"21",9
"22",1
"23",1
"24",1
"25",1
"26",9
"27",1
"28",1
"29",9
"30",9
"31",1
"32",1
