entidad,org_mate,totalca1,no_aplic
"09",22,"5",""
"09",23,"2",""
"09",24,"NA","1"
"09",25,"NA","1"
"09",26,"14",""
"09",27,"NA","1"
"09",28,"0",""
"09",99,"",""
"10",1,"NA","1"
"10",2,"NA","1"
"10",3,"2",""
"10",4,"5",""
"10",5,"6",""
"10",6,"4",""
"10",7,"8",""
"10",8,"4",""
"10",9,"NA","1"
"10",10,"NA","1"
"10",11,"NA","1"
"10",12,"12",""
"10",13,"NA","1"
"10",14,"NA","1"
"10",15,"NA","1"
"10",16,"6",""
"10",17,"1",""
"10",18,"4",""
"10",19,"4",""
"10",20,"NA","1"
"10",21,"1",""
"10",22,"NA","1"
"10",23,"NA","1"
"10",24,"1",""
"10",25,"NA","1"
"10",26,"NA","1"
"10",27,"NA","1"
"10",28,"NA","1"
"10",99,"",""
"11",1,"24",""
"11",2,"2",""
"11",3,"46",""
"11",4,"54",""
"11",5,"24",""
"11",6,"11",""
"11",7,"15",""
"11",8,"3",""
"11",9,"6",""
"11",10,"NA","1"
"11",11,"NA","1"
"11",12,"NA","1"
"11",13,"NA","1"
"11",14,"10",""
"11",15,"NA","1"
"11",16,"NA","1"
"11",17,"NA","1"
"11",18,"10",""
"11",19,"10",""
"11",20,"NA","1"
"11",21,"NA","1"
"11",22,"NA","1"
"11",23,"2",""
"11",24,"NA","1"
"11",25,"NA","1"
"11",26,"NA","1"
"11",27,"NA","1"
"11",28,"10",""
"11",99,"",""
"12",1,"2",""
"12",2,"2",""
"12",3,"80",""
"12",4,"19",""
"12",5,"24",""
"12",6,"NA","1"
"12",7,"8",""
"12",8,"NA","1"
"12",9,"1",""
"12",10,"NA","1"
"12",11,"NA","1"
"12",12,"7",""
"12",13,"8",""
"12",14,"NA","1"
"12",15,"NA","1"
"12",16,"5",""
"12",17,"NA","1"
"12",18,"1",""
"12",19,"NA","1"
"12",20,"4",""
"12",21,"7",""
"12",22,"1",""
"12",23,"2",""
"12",24,"NA","1"
"12",25,"1",""
"12",26,"NA","1"
"12",27,"NA","1"
"12",28,"NA","1"
"12",99,"",""
"13",1,"NA","1"
"13",2,"NA","1"
"13",3,"NA","1"
"13",4,"4",""
"13",5,"14",""
"13",6,"17",""
"13",7,"3",""
"13",8,"2",""
"13",9,"2",""
"13",10,"NA","1"
"13",11,"NA","1"
"13",12,"8",""
"13",13,"NA","1"
"13",14,"3",""
"13",15,"NA","1"
"13",16,"NA","1"
"13",17,"16",""
"13",18,"NA","1"
"13",19,"2",""
"13",20,"NA","1"
"13",21,"NA","1"
"13",22,"NA","1"
