entidad,rangedad,sexostt,sexos1,sexos2,sexosne
"17",6,"138","134","4",""
"17",7,"65","63","2",""
"17",8,"69","69","0",""
"17",9,"9","8","1",""
"17",10,"0","0","0",""
"18",1,"NSS","NSS","NSS",""
"18",2,"NSS","NSS","NSS",""
"18",3,"NSS","NSS","NSS",""
"18",4,"NSS","NSS","NSS",""
"18",5,"NSS","NSS","NSS",""
"18",6,"NSS","NSS","NSS",""
"18",7,"NSS","NSS","NSS",""
"18",8,"NSS","NSS","NSS",""
"18",9,"NSS","NSS","NSS",""
"18",10,"NSS","NSS","NSS",""
"19",1,"2250","2125","125",""
"19",2,"1461","1371","90",""
"19",3,"1280","1189","91",""
"19",4,"951","886","65",""
"19",5,"952","880","72",""
"19",6,"495","437","58",""
"19",7,"241","214","27",""
"19",8,"117","108","9",""
"19",9,"88","75","13",""
"19",10,"1005","921","84",""
"20",1,"NSS","NSS","NSS",""
"20",2,"NSS","NSS","NSS",""
"20",3,"NSS","NSS","NSS",""
"20",4,"NSS","NSS","NSS",""
"20",5,"NSS","NSS","NSS",""
"20",6,"NSS","NSS","NSS",""
"20",7,"NSS","NSS","NSS",""
"20",8,"NSS","NSS","NSS",""
"20",9,"NSS","NSS","NSS",""
"20",10,"NSS","NSS","NSS",""
"21",1,"NSS","NSS","NSS",""
"21",2,"NSS","NSS","NSS",""
"21",3,"NSS","NSS","NSS",""
"21",4,"NSS","NSS","NSS",""
"21",5,"NSS","NSS","NSS",""
"21",6,"NSS","NSS","NSS",""
"21",7,"NSS","NSS","NSS",""
"21",8,"NSS","NSS","NSS",""
"21",9,"NSS","NSS","NSS",""
"21",10,"NSS","NSS","NSS",""
"22",1,"84","74","10",""
"22",2,"58","55","3",""
"22",3,"42","39","3",""
"22",4,"51","48","3",""
"22",5,"33","31","2",""
"22",6,"23","19","4",""
"22",7,"19","18","1",""
"22",8,"3","2","1",""
"22",9,"13","10","3",""
"22",10,"236","216","20",""
"23",1,"NSS","NSS","NSS",""
"23",2,"NSS","NSS","NSS",""
"23",3,"NSS","NSS","NSS",""
"23",4,"NSS","NSS","NSS",""
"23",5,"NSS","NSS","NSS",""
"23",6,"NSS","NSS","NSS",""
"23",7,"NSS","NSS","NSS",""
"23",8,"NSS","NSS","NSS",""
"23",9,"NSS","NSS","NSS",""
"23",10,"NSS","NSS","NSS",""
"24",1,"NSS","NSS","NSS",""
"24",2,"NSS","NSS","NSS",""
"24",3,"NSS","NSS","NSS",""
"24",4,"NSS","NSS","NSS",""
"24",5,"NSS","NSS","NSS",""
"24",6,"NSS","NSS","NSS",""
"24",7,"NSS","NSS","NSS",""
"24",8,"NSS","NSS","NSS",""
