entidad,delselec,impeda1,impeda2,impeda3,impeda4,impeda5,impeda6,impeda7,impeda8,impeda9,impeda10,impeda11,impeda12,impeda13,impeda14,impeda15,impeda16,impeda17,impeda18,impeda19,impeda20
"05",10101,"15","1","4","0","3","0","1","0","3","1","0","0","3","0","1","0","0","0","25","1"
"05",10102,"4","0","1","1","1","0","3","0","2","0","0","0","1","0","0","0","0","0","6","1"
"05",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",60299,"","","","","","","","","","","","","","","","","","","",""
"05",999999,"","","","","","","","","","","","","","","","","","","",""
"06",10101,"NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0"
"06",10102,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60299,"","","","","","","","","","","","","","","","","","","",""
"06",999999,"","","","","","","","","","","","","","","","","","","",""
"07",10101,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",10102,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60200,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60201,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60202,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60203,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60209,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60299,"","","","","","","","","","","","","","","","","","","",""
"07",999999,"","","","","","","","","","","","","","","","","","","",""
