entidad,tip_mate,sijusatt,sijusa1,sijusa2,sijusa3,sijusa4,sijusa5,sijusa6,no_aplic
"17",6,"NA","NA","NA","NA","NA","NA","NA","1"
"17",7,"NA","NA","NA","NA","NA","NA","NA","1"
"18",1,"20","20","0","0","0","0","0",""
"18",2,"20","20","0","0","0","0","0",""
"18",3,"21","20","1","0","0","0","0",""
"18",4,"20","20","0","0","0","0","0",""
"18",5,"1","0","1","0","0","0","0",""
"18",6,"NA","NA","NA","NA","NA","NA","NA","1"
"18",7,"NA","NA","NA","NA","NA","NA","NA","1"
"19",1,"10","0","0","0","0","10","0",""
"19",2,"7","0","0","0","0","7","0",""
"19",3,"10","0","0","0","0","10","0",""
"19",4,"10","0","0","0","0","10","0",""
"19",5,"NA","NA","NA","NA","NA","NA","NA","1"
"19",6,"NA","NA","NA","NA","NA","NA","NA","1"
"19",7,"NA","NA","NA","NA","NA","NA","NA","1"
"20",1,"31","31","0","0","0","0","0",""
"20",2,"31","31","0","0","0","0","0",""
"20",3,"31","31","0","0","0","0","0",""
"20",4,"NA","NA","NA","NA","NA","NA","NA","1"
"20",5,"NA","NA","NA","NA","NA","NA","NA","1"
"20",6,"NA","NA","NA","NA","NA","NA","NA","1"
"20",7,"NA","NA","NA","NA","NA","NA","NA","1"
"21",1,"16","0","0","0","0","16","0",""
"21",2,"16","0","0","0","0","16","0",""
"21",3,"16","0","0","0","0","16","0",""
"21",4,"16","0","0","0","0","16","0",""
"21",5,"NA","NA","NA","NA","NA","NA","NA","1"
"21",6,"NA","NA","NA","NA","NA","NA","NA","1"
"21",7,"NA","NA","NA","NA","NA","NA","NA","1"
"22",1,"4","4","0","0","0","0","0",""
"22",2,"4","4","0","0","0","0","0",""
"22",3,"4","4","0","0","0","0","0",""
"22",4,"4","4","0","0","0","0","0",""
"22",5,"NA","NA","NA","NA","NA","NA","NA","1"
"22",6,"NA","NA","NA","NA","NA","NA","NA","1"
"22",7,"NA","NA","NA","NA","NA","NA","NA","1"
"23",1,"5","5","0","0","0","0","0",""
"23",2,"NA","NA","NA","NA","NA","NA","NA","1"
"23",3,"NA","NA","NA","NA","NA","NA","NA","1"
"23",4,"NA","NA","NA","NA","NA","NA","NA","1"
"23",5,"NA","NA","NA","NA","NA","NA","NA","1"
"23",6,"NA","NA","NA","NA","NA","NA","NA","1"
"23",7,"1","0","1","0","0","0","0",""
"24",1,"10","9","1","0","0","0","0",""
"24",2,"10","9","1","0","0","0","0",""
"24",3,"10","9","1","0","0","0","0",""
"24",4,"10","9","1","0","0","0","0",""
"24",5,"10","9","1","0","0","0","0",""
"24",6,"NA","NA","NA","NA","NA","NA","NA","1"
"24",7,"NA","NA","NA","NA","NA","NA","NA","1"
"25",1,"14","14","0","0","0","0","0",""
"25",2,"14","14","0","0","0","0","0",""
"25",3,"15","14","1","0","0","0","0",""
"25",4,"14","14","0","0","0","0","0",""
"25",5,"1","0","1","0","0","0","0",""
"25",6,"1","0","1","0","0","0","0",""
"25",7,"NA","NA","NA","NA","NA","NA","NA","1"
"26",1,"8","0","0","0","0","6","2",""
"26",2,"8","0","0","0","0","6","2",""
"26",3,"8","0","0","0","0","6","2",""
"26",4,"8","0","0","0","0","6","2",""
"26",5,"NA","NA","NA","NA","NA","NA","NA","1"
"26",6,"NA","NA","NA","NA","NA","NA","NA","1"
"26",7,"NA","NA","NA","NA","NA","NA","NA","1"
"27",1,"5","5","0","0","0","0","0",""
"27",2,"5","5","0","0","0","0","0",""
"27",3,"NA","NA","NA","NA","NA","NA","NA","1"
"27",4,"NA","NA","NA","NA","NA","NA","NA","1"
"27",5,"NA","NA","NA","NA","NA","NA","NA","1"
"27",6,"NA","NA","NA","NA","NA","NA","NA","1"
"27",7,"NA","NA","NA","NA","NA","NA","NA","1"
"28",1,"17","9","8","0","0","0","0",""
"28",2,"0","0","0","0","0","0","0",""
"28",3,"0","0","0","0","0","0","0",""
"28",4,"0","0","0","0","0","0","0",""
"28",5,"0","0","0","0","0","0","0",""
"28",6,"NA","NA","NA","NA","NA","NA","NA","1"
"28",7,"NA","NA","NA","NA","NA","NA","NA","1"
"29",1,"4","3","1","0","0","0","0",""
"29",2,"1","0","1","0","0","0","0",""
"29",3,"4","3","1","0","0","0","0",""
"29",4,"4","3","1","0","0","0","0",""
"29",5,"1","0","1","0","0","0","0",""
"29",6,"NA","NA","NA","NA","NA","NA","NA","1"
"29",7,"NA","NA","NA","NA","NA","NA","NA","1"
"30",1,"NA","NA","NA","NA","NA","NA","NA","1"
"30",2,"6","6","0","0","0","0","0",""
"30",3,"NA","NA","NA","NA","NA","NA","NA","1"
"30",4,"NA","NA","NA","NA","NA","NA","NA","1"
"30",5,"NA","NA","NA","NA","NA","NA","NA","1"
"30",6,"NA","NA","NA","NA","NA","NA","NA","1"
"30",7,"NA","NA","NA","NA","NA","NA","NA","1"
"31",1,"9","0","0","0","0","9","0",""
"31",2,"1","0","0","0","0","0","1",""
"31",3,"9","0","0","0","0","9","0",""
"31",4,"10","0","0","0","0","9","1",""
"31",5,"NA","NA","NA","NA","NA","NA","NA","1"
"31",6,"NA","NA","NA","NA","NA","NA","NA","1"
"31",7,"NA","NA","NA","NA","NA","NA","NA","1"
"32",1,"22","22","0","0","0","0","0",""
"32",2,"22","22","0","0","0","0","0",""
"32",3,"22","22","0","0","0","0","0",""
"32",4,"22","22","0","0","0","0","0",""
"32",5,"NA","NA","NA","NA","NA","NA","NA","1"
"32",6,"NA","NA","NA","NA","NA","NA","NA","1"
"32",7,"NA","NA","NA","NA","NA","NA","NA","1"
