entidad,edadmeno,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5
"25",5,"NSS","0","0","NSS","NSS"
"25",6,"NSS","0","0","NSS","NSS"
"25",7,"NSS","0","0","NSS","NSS"
"26",1,"12","11","1","0","0"
"26",2,"36","30","6","0","0"
"26",3,"59","49","10","0","0"
"26",4,"68","60","8","0","0"
"26",5,"94","91","3","0","0"
"26",6,"134","128","6","0","0"
"26",7,"16","16","0","0","0"
"27",1,"0","0","0","0","0"
"27",2,"0","0","0","0","0"
"27",3,"2","0","0","1","1"
"27",4,"6","0","0","6","0"
"27",5,"12","0","0","11","1"
"27",6,"19","0","0","18","1"
"27",7,"13","0","0","13","0"
"28",1,"0","0","0","0","0"
"28",2,"0","0","0","0","0"
"28",3,"6","6","0","0","0"
"28",4,"15","12","3","0","0"
"28",5,"23","19","4","0","0"
"28",6,"49","43","6","0","0"
"28",7,"269","234","35","0","0"
"29",1,"1","1","0","0","0"
"29",2,"4","2","2","0","0"
"29",3,"8","5","3","0","0"
"29",4,"14","12","2","0","0"
"29",5,"12","8","4","0","0"
"29",6,"10","9","1","0","0"
"29",7,"6","5","1","0","0"
"30",1,"1","0","0","1","0"
"30",2,"4","0","0","4","0"
"30",3,"8","0","0","7","1"
"30",4,"6","0","0","6","0"
"30",5,"20","0","0","20","0"
"30",6,"43","0","0","39","4"
"30",7,"9","0","0","9","0"
"31",1,"2","0","0","2","0"
"31",2,"4","0","0","4","0"
"31",3,"7","0","0","7","0"
"31",4,"13","0","0","12","1"
"31",5,"28","0","0","27","1"
"31",6,"46","0","0","46","0"
"31",7,"0","0","0","0","0"
"32",1,"1","0","0","1","0"
"32",2,"3","0","0","3","0"
"32",3,"15","0","0","15","0"
"32",4,"30","0","0","26","4"
"32",5,"27","0","0","26","1"
"32",6,"55","0","0","53","2"
"32",7,"0","0","0","0","0"
