entidad,ran_ingr,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12
"01",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",3,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",4,"363","0","0","0","0","0","0","79","269","3","12","0","0"
"01",5,"23","0","0","8","10","0","0","3","0","0","0","1","1"
"01",6,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",7,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",9,"108","19","61","0","0","9","14","0","0","0","0","3","2"
"01",10,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",11,"1","0","0","0","0","0","0","0","0","0","0","1","0"
"01",12,"1","0","0","0","0","0","0","0","0","0","0","0","1"
"01",13,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",14,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",15,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",16,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"01",99,"","","","","","","","","","","","",""
"02",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"02",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"02",3,"254","0","0","0","0","0","0","0","0","92","162","0","0"
"02",4,"58","0","0","0","0","0","0","0","0","23","35","0","0"
"02",5,"82","0","0","0","0","0","0","0","0","22","60","0","0"
"02",6,"286","0","0","0","0","0","0","0","0","73","213","0","0"
"02",7,"428","0","0","65","124","18","37","0","0","32","152","0","0"
"02",8,"234","55","159","0","0","0","0","0","0","2","18","0","0"
"02",9,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"02",10,"7","0","0","0","0","0","0","0","0","4","3","0","0"
"02",11,"7","0","0","0","0","0","0","2","5","0","0","0","0"
"02",12,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"02",13,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"02",14,"2","0","0","0","0","0","0","2","0","0","0","0","0"
"02",15,"1","0","0","0","0","0","0","0","1","0","0","0","0"
"02",16,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"02",99,"","","","","","","","","","","","",""
"03",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",3,"172","0","0","0","0","0","0","49","96","12","14","0","1"
"03",4,"9","0","0","0","0","0","0","0","1","1","6","0","1"
"03",5,"214","0","0","18","25","0","0","33","98","22","16","0","2"
"03",6,"68","0","0","1","0","9","18","6","16","6","9","1","2"
"03",7,"53","21","28","0","0","0","0","1","0","2","1","0","0"
"03",8,"17","0","0","0","0","4","12","0","0","1","0","0","0"
"03",9,"9","0","0","0","0","0","0","0","0","3","5","0","1"
"03",10,"1","0","0","0","0","0","0","0","0","0","1","0","0"
"03",11,"3","0","0","0","0","0","0","0","0","3","0","0","0"
"03",12,"1","0","0","0","0","0","0","0","0","1","0","0","0"
"03",13,"2","0","0","0","0","0","0","0","0","1","1","0","0"
"03",14,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",15,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"03",16,"0","0","0","0","0","0","0","0","0","0","0","0","0"
