entidad,delitos,delregtt,delreg1,delreg2
"24",70206,"NA","NA","NA"
"24",70209,"NA","NA","NA"
"24",70299,"","",""
"24",70300,"0","0","0"
"24",70400,"0","0","0"
"24",70500,"NA","NA","NA"
"24",70600,"NA","NA","NA"
"24",70900,"0","0","0"
"24",80100,"0","0","0"
"24",80101,"0","0","0"
"24",80102,"0","0","0"
"24",80103,"0","0","0"
"24",80104,"0","0","0"
"24",80105,"0","0","0"
"24",80106,"0","0","0"
"24",80107,"0","0","0"
"24",80109,"0","0","0"
"24",80199,"","",""
"24",80200,"0","0","0"
"24",80201,"NA","NA","NA"
"24",80209,"0","0","0"
"24",80299,"","",""
"24",80300,"0","0","0"
"24",80400,"0","0","0"
"24",80900,"0","0","0"
"24",90100,"0","0","0"
"24",90200,"0","0","0"
"24",90300,"0","0","0"
"24",90400,"0","0","0"
"24",90500,"0","0","0"
"24",90501,"0","0","0"
"24",90502,"0","0","0"
"24",90503,"0","0","0"
"24",90509,"0","0","0"
"24",90599,"","",""
"24",90600,"0","0","0"
"24",90700,"NA","NA","NA"
"24",90701,"NA","NA","NA"
"24",90709,"NA","NA","NA"
"24",90799,"","",""
"24",90800,"NA","NA","NA"
"24",90900,"0","0","0"
"24",91000,"0","0","0"
"24",91100,"0","0","0"
"24",91200,"1","1","0"
"24",91300,"0","0","0"
"24",91400,"0","0","0"
"24",91500,"0","0","0"
"24",91600,"0","0","0"
"24",91900,"40","40","0"
"24",999999,"","",""
"25",10100,"28","26","2"
"25",10200,"8","7","1"
"25",10300,"0","0","0"
"25",10400,"113","113","0"
"25",10900,"2","2","0"
"25",20100,"6","6","0"
"25",20200,"0","0","0"
"25",20300,"2","2","0"
"25",20400,"0","0","0"
"25",20500,"0","0","0"
"25",20600,"2","2","0"
"25",20601,"0","0","0"
"25",20602,"0","0","0"
"25",20603,"0","0","0"
"25",20604,"2","2","0"
"25",20609,"0","0","0"
"25",20699,"","",""
"25",20900,"0","0","0"
"25",30100,"35","35","0"
"25",30200,"0","0","0"
"25",30300,"0","0","0"
"25",30400,"7","4","3"
"25",30500,"6","6","0"
"25",30600,"3","3","0"
"25",30700,"0","0","0"
"25",30900,"0","0","0"
"25",40100,"178","172","6"
"25",40101,"1","1","0"
"25",40102,"20","18","2"
"25",40103,"48","46","2"
"25",40104,"0","0","0"
"25",40105,"4","4","0"
"25",40106,"0","0","0"
"25",40107,"0","0","0"
"25",40108,"0","0","0"
"25",40109,"0","0","0"
"25",40110,"0","0","0"
"25",40111,"0","0","0"
"25",40112,"1","1","0"
"25",40113,"42","41","1"
"25",40114,"1","1","0"
"25",40115,"0","0","0"
"25",40116,"0","0","0"
"25",40119,"61","60","1"
"25",40199,"","",""
"25",40200,"0","0","0"
"25",40300,"1","1","0"
"25",40400,"1","1","0"
"25",40500,"2","2","0"
"25",40501,"0","0","0"
"25",40509,"2","2","0"
"25",40599,"","",""
"25",40600,"27","27","0"
"25",40700,"0","0","0"
"25",40900,"0","0","0"
"25",50100,"299","299","0"
"25",50200,"7","7","0"
"25",50900,"0","0","0"
"25",60100,"0","0","0"
"25",60101,"0","0","0"
"25",60102,"0","0","0"
"25",60103,"0","0","0"
"25",60104,"0","0","0"
"25",60105,"0","0","0"
"25",60106,"0","0","0"
"25",60109,"0","0","0"
"25",60199,"","",""
"25",60200,"0","0","0"
"25",60201,"0","0","0"
"25",60202,"0","0","0"
"25",60203,"0","0","0"
"25",60209,"0","0","0"
"25",60299,"","",""
"25",60300,"0","0","0"
"25",60400,"0","0","0"
"25",60900,"3","3","0"
"25",70100,"148","148","0"
"25",70101,"97","97","0"
"25",70102,"46","46","0"
"25",70103,"2","2","0"
"25",70104,"2","2","0"
"25",70109,"1","1","0"
"25",70199,"","",""
"25",70200,"0","0","0"
"25",70201,"0","0","0"
"25",70202,"0","0","0"
"25",70203,"0","0","0"
"25",70204,"0","0","0"
"25",70205,"0","0","0"
"25",70206,"0","0","0"
"25",70209,"0","0","0"
"25",70299,"","",""
"25",70300,"1","1","0"
"25",70400,"0","0","0"
"25",70500,"0","0","0"
"25",70600,"0","0","0"
"25",70900,"0","0","0"
"25",80100,"0","0","0"
"25",80101,"0","0","0"
"25",80102,"0","0","0"
"25",80103,"0","0","0"
"25",80104,"0","0","0"
"25",80105,"0","0","0"
"25",80106,"0","0","0"
"25",80107,"0","0","0"
"25",80109,"0","0","0"
"25",80199,"","",""
"25",80200,"2","2","0"
"25",80201,"0","0","0"
"25",80209,"2","2","0"
"25",80299,"","",""
"25",80300,"0","0","0"
"25",80400,"0","0","0"
"25",80900,"0","0","0"
"25",90100,"5","5","0"
"25",90200,"2","2","0"
"25",90300,"2","2","0"
"25",90400,"0","0","0"
"25",90500,"0","0","0"
"25",90501,"0","0","0"
"25",90502,"0","0","0"
"25",90503,"0","0","0"
"25",90509,"0","0","0"
"25",90599,"","",""
"25",90600,"0","0","0"
"25",90700,"0","0","0"
"25",90701,"0","0","0"
"25",90709,"0","0","0"
"25",90799,"","",""
"25",90800,"0","0","0"
"25",90900,"0","0","0"
"25",91000,"0","0","0"
"25",91100,"0","0","0"
"25",91200,"0","0","0"
"25",91300,"0","0","0"
"25",91400,"0","0","0"
"25",91500,"0","0","0"
"25",91600,"0","0","0"
"25",91900,"1","1","0"
"25",999999,"","",""
"26",10100,"NSS","NSS","NSS"
"26",10200,"NSS","NSS","NSS"
"26",10300,"NSS","NSS","NSS"
"26",10400,"NSS","NSS","NSS"
"26",10900,"NSS","NSS","NSS"
"26",20100,"NSS","NSS","NSS"
"26",20200,"NSS","NSS","NSS"
"26",20300,"NSS","NSS","NSS"
"26",20400,"NSS","NSS","NSS"
"26",20500,"NSS","NSS","NSS"
"26",20600,"NSS","NSS","NSS"
"26",20601,"NSS","NSS","NSS"
"26",20602,"NSS","NSS","NSS"
"26",20603,"NSS","NSS","NSS"
"26",20604,"NSS","NSS","NSS"
"26",20609,"NSS","NSS","NSS"
"26",20699,"","",""
"26",20900,"NSS","NSS","NSS"
"26",30100,"NSS","NSS","NSS"
"26",30200,"NA","NA","NA"
"26",30300,"NSS","NSS","NSS"
"26",30400,"NSS","NSS","NSS"
"26",30500,"NSS","NSS","NSS"
"26",30600,"NSS","NSS","NSS"
"26",30700,"NSS","NSS","NSS"
"26",30900,"NSS","NSS","NSS"
"26",40100,"NSS","NSS","NSS"
"26",40101,"NSS","NSS","NSS"
"26",40102,"NSS","NSS","NSS"
"26",40103,"NSS","NSS","NSS"
"26",40104,"NSS","NSS","NSS"
"26",40105,"NSS","NSS","NSS"
"26",40106,"NSS","NSS","NSS"
"26",40107,"NSS","NSS","NSS"
"26",40108,"NSS","NSS","NSS"
"26",40109,"NSS","NSS","NSS"
"26",40110,"NSS","NSS","NSS"
"26",40111,"NSS","NSS","NSS"
"26",40112,"NSS","NSS","NSS"
"26",40113,"NSS","NSS","NSS"
"26",40114,"NSS","NSS","NSS"
"26",40115,"NSS","NSS","NSS"
"26",40116,"NA","NA","NA"
"26",40119,"NSS","NSS","NSS"
"26",40199,"","",""
"26",40200,"NSS","NSS","NSS"
"26",40300,"NSS","NSS","NSS"
"26",40400,"NSS","NSS","NSS"
"26",40500,"NSS","NSS","NSS"
"26",40501,"NSS","NSS","NSS"
"26",40509,"NSS","NSS","NSS"
"26",40599,"","",""
"26",40600,"NSS","NSS","NSS"
"26",40700,"NSS","NSS","NSS"
"26",40900,"NSS","NSS","NSS"
"26",50100,"NSS","NSS","NSS"
"26",50200,"NSS","NSS","NSS"
"26",50900,"NSS","NSS","NSS"
"26",60100,"NSS","NSS","NSS"
"26",60101,"NSS","NSS","NSS"
"26",60102,"NSS","NSS","NSS"
"26",60103,"NSS","NSS","NSS"
"26",60104,"NSS","NSS","NSS"
"26",60105,"NA","NA","NA"
"26",60106,"NA","NA","NA"
"26",60109,"NSS","NSS","NSS"
"26",60199,"","",""
"26",60200,"NSS","NSS","NSS"
"26",60201,"NSS","NSS","NSS"
"26",60202,"NSS","NSS","NSS"
"26",60203,"NSS","NSS","NSS"
"26",60209,"NSS","NSS","NSS"
"26",60299,"","",""
"26",60300,"NA","NA","NA"
"26",60400,"NA","NA","NA"
"26",60900,"NSS","NSS","NSS"
"26",70100,"NSS","NSS","NSS"
"26",70101,"NSS","NSS","NSS"
"26",70102,"NSS","NSS","NSS"
"26",70103,"NSS","NSS","NSS"
"26",70104,"NSS","NSS","NSS"
"26",70109,"NSS","NSS","NSS"
"26",70199,"","",""
"26",70200,"NSS","NSS","NSS"
"26",70201,"NSS","NSS","NSS"
"26",70202,"NSS","NSS","NSS"
"26",70203,"NSS","NSS","NSS"
"26",70204,"NSS","NSS","NSS"
"26",70205,"NSS","NSS","NSS"
"26",70206,"NSS","NSS","NSS"
"26",70209,"NSS","NSS","NSS"
"26",70299,"","",""
"26",70300,"NSS","NSS","NSS"
"26",70400,"NSS","NSS","NSS"
"26",70500,"NSS","NSS","NSS"
"26",70600,"NSS","NSS","NSS"
"26",70900,"NSS","NSS","NSS"
"26",80100,"NSS","NSS","NSS"
"26",80101,"NSS","NSS","NSS"
"26",80102,"NSS","NSS","NSS"
"26",80103,"NSS","NSS","NSS"
"26",80104,"NSS","NSS","NSS"
"26",80105,"NSS","NSS","NSS"
"26",80106,"NSS","NSS","NSS"
"26",80107,"NSS","NSS","NSS"
"26",80109,"NSS","NSS","NSS"
"26",80199,"","",""
"26",80200,"NSS","NSS","NSS"
"26",80201,"NSS","NSS","NSS"
"26",80209,"NSS","NSS","NSS"
"26",80299,"","",""
"26",80300,"NA","NA","NA"
"26",80400,"NSS","NSS","NSS"
"26",80900,"NSS","NSS","NSS"
"26",90100,"NSS","NSS","NSS"
"26",90200,"NSS","NSS","NSS"
"26",90300,"NSS","NSS","NSS"
"26",90400,"NSS","NSS","NSS"
"26",90500,"NSS","NSS","NSS"
"26",90501,"NSS","NSS","NSS"
"26",90502,"NSS","NSS","NSS"
"26",90503,"NSS","NSS","NSS"
"26",90509,"NSS","NSS","NSS"
"26",90599,"","",""
"26",90600,"NSS","NSS","NSS"
"26",90700,"NSS","NSS","NSS"
"26",90701,"NSS","NSS","NSS"
"26",90709,"NSS","NSS","NSS"
"26",90799,"","",""
"26",90800,"NSS","NSS","NSS"
"26",90900,"NA","NA","NA"
"01",10100,"NSS","NSS","NSS"
"01",10200,"NSS","NSS","NSS"
"01",10300,"NSS","NSS","NSS"
"01",10400,"NSS","NSS","NSS"
"01",10900,"NSS","NSS","NSS"
"01",20100,"NSS","NSS","NSS"
"01",20200,"NSS","NSS","NSS"
"01",20300,"NSS","NSS","NSS"
"01",20400,"NSS","NSS","NSS"
"01",20500,"NSS","NSS","NSS"
"01",20600,"NSS","NSS","NSS"
"01",20601,"NSS","NSS","NSS"
"01",20602,"NSS","NSS","NSS"
"01",20603,"NSS","NSS","NSS"
"01",20604,"NSS","NSS","NSS"
"01",20609,"NSS","NSS","NSS"
"01",20699,"","",""
"01",20900,"NSS","NSS","NSS"
"01",30100,"NSS","NSS","NSS"
"01",30200,"NSS","NSS","NSS"
"01",30300,"NSS","NSS","NSS"
"01",30400,"NSS","NSS","NSS"
"01",30500,"NSS","NSS","NSS"
"01",30600,"NSS","NSS","NSS"
"01",30700,"NSS","NSS","NSS"
"01",30900,"NSS","NSS","NSS"
"01",40100,"NSS","NSS","NSS"
"01",40101,"NSS","NSS","NSS"
"01",40102,"NSS","NSS","NSS"
"01",40103,"NSS","NSS","NSS"
"01",40104,"NSS","NSS","NSS"
"01",40105,"NSS","NSS","NSS"
"01",40106,"NSS","NSS","NSS"
"01",40107,"NSS","NSS","NSS"
"01",40108,"NSS","NSS","NSS"
"01",40109,"NSS","NSS","NSS"
"01",40110,"NSS","NSS","NSS"
"01",40111,"NSS","NSS","NSS"
"01",40112,"NSS","NSS","NSS"
"01",40113,"NSS","NSS","NSS"
"01",40114,"NSS","NSS","NSS"
"01",40115,"NSS","NSS","NSS"
"01",40116,"NSS","NSS","NSS"
"01",40119,"NSS","NSS","NSS"
"01",40199,"","",""
"01",40200,"NA","NA","NA"
"01",40300,"NSS","NSS","NSS"
"01",40400,"NSS","NSS","NSS"
"01",40500,"NSS","NSS","NSS"
"01",40501,"NSS","NSS","NSS"
"01",40509,"NSS","NSS","NSS"
"01",40599,"","",""
"01",40600,"NSS","NSS","NSS"
"01",40700,"NSS","NSS","NSS"
"01",40900,"NSS","NSS","NSS"
"01",50100,"NSS","NSS","NSS"
"01",50200,"NSS","NSS","NSS"
"01",50900,"NSS","NSS","NSS"
"01",60100,"NSS","NSS","NSS"
"01",60101,"NSS","NSS","NSS"
"01",60102,"NSS","NSS","NSS"
"01",60103,"NSS","NSS","NSS"
"01",60104,"NSS","NSS","NSS"
"01",60105,"NSS","NSS","NSS"
"01",60106,"NSS","NSS","NSS"
"01",60109,"NSS","NSS","NSS"
"01",60199,"","",""
"01",60200,"NSS","NSS","NSS"
"01",60201,"NSS","NSS","NSS"
"01",60202,"NSS","NSS","NSS"
"01",60203,"NSS","NSS","NSS"
"01",60209,"NSS","NSS","NSS"
"01",60299,"","",""
"01",60300,"NSS","NSS","NSS"
"01",60400,"NSS","NSS","NSS"
"01",60900,"NSS","NSS","NSS"
"01",70100,"NSS","NSS","NSS"
"01",70101,"NSS","NSS","NSS"
"01",70102,"NSS","NSS","NSS"
"01",70103,"NSS","NSS","NSS"
"01",70104,"NSS","NSS","NSS"
"01",70109,"NSS","NSS","NSS"
"01",70199,"","",""
"01",70200,"NA","NA","NA"
"01",70201,"NA","NA","NA"
"01",70202,"NA","NA","NA"
"01",70203,"NA","NA","NA"
"01",70204,"NA","NA","NA"
"01",70205,"NA","NA","NA"
"01",70206,"NA","NA","NA"
"01",70209,"NA","NA","NA"
"01",70299,"","",""
"01",70300,"NSS","NSS","NSS"
"01",70400,"NSS","NSS","NSS"
"01",70500,"NA","NA","NA"
"01",70600,"NA","NA","NA"
"01",70900,"NSS","NSS","NSS"
"01",80100,"NSS","NSS","NSS"
"01",80101,"NSS","NSS","NSS"
"01",80102,"NSS","NSS","NSS"
"01",80103,"NSS","NSS","NSS"
"01",80104,"NSS","NSS","NSS"
"01",80105,"NSS","NSS","NSS"
"01",80106,"NSS","NSS","NSS"
"01",80107,"NSS","NSS","NSS"
"01",80109,"NSS","NSS","NSS"
"01",80199,"","",""
"01",80200,"NSS","NSS","NSS"
"01",80201,"NSS","NSS","NSS"
"01",80209,"NSS","NSS","NSS"
"01",80299,"","",""
"01",80300,"NSS","NSS","NSS"
"01",80400,"NSS","NSS","NSS"
"01",80900,"NSS","NSS","NSS"
"01",90100,"NSS","NSS","NSS"
"01",90200,"NSS","NSS","NSS"
"01",90300,"NSS","NSS","NSS"
"01",90400,"NSS","NSS","NSS"
"01",90500,"NSS","NSS","NSS"
"01",90501,"NSS","NSS","NSS"
"01",90502,"NSS","NSS","NSS"
"01",90503,"NSS","NSS","NSS"
"01",90509,"NSS","NSS","NSS"
"01",90599,"","",""
"01",90600,"NSS","NSS","NSS"
"01",90700,"NSS","NSS","NSS"
"01",90701,"NSS","NSS","NSS"
"01",90709,"NSS","NSS","NSS"
"01",90799,"","",""
"01",90800,"NSS","NSS","NSS"
"01",90900,"NSS","NSS","NSS"
"01",91000,"NSS","NSS","NSS"
"01",91100,"NSS","NSS","NSS"
"01",91200,"NSS","NSS","NSS"
"01",91300,"NSS","NSS","NSS"
