entidad,delitos,caupintt,caupin1,caupin2,caupin3,caupin4,caupin5,caupin6
"14",70101,"51","35","1","2","11","NSS","2"
"14",70102,"28","22","2","2","2","0",""
"14",70103,"4","3","1","","NSS","NSS",""
"14",70104,"NSS","NSS","NSS","","NSS","NSS",""
"14",70109,"1","1","0","","NSS","NSS",""
"14",70199,"770","544","1","187","34","1","3"
"14",70200,"0","0","0","","0","0",""
"14",70201,"0","0","0","","0","0",""
"14",70202,"0","0","0","","0","0",""
"14",70203,"0","0","0","","0","0",""
"14",70204,"0","0","0","","0","0",""
"14",70205,"0","0","0","","0","0",""
"14",70206,"0","0","0","","0","0",""
"14",70209,"0","0","0","","0","0",""
"14",70299,"","","","","","",""
"14",70300,"1","NSS","NSS","1","0","0",""
"14",70400,"15","4","NSS","2","8","NSS","1"
"14",70500,"0","0","0","","0","0",""
"14",70600,"0","0","0","","0","0",""
"14",70900,"12","10","NSS","2","0","0",""
"14",80100,"33","23","1","5","3","NSS","1"
"14",80101,"19","14","NSS","2","2","NSS","1"
"14",80102,"0","0","0","","0","0",""
"14",80103,"0","0","0","","0","0",""
"14",80104,"0","0","0","","0","0",""
"14",80105,"0","0","0","","0","0",""
"14",80106,"0","0","0","","0","0",""
"14",80107,"0","0","0","","0","0",""
"14",80109,"14","9","1","3","1","0",""
"14",80199,"","","","","","",""
"14",80200,"0","0","0","","0","0",""
"14",80201,"0","0","0","","0","0",""
"14",80209,"0","0","0","","0","0",""
"14",80299,"","","","","","",""
"14",80300,"0","0","0","","0","0",""
"14",80400,"2","1","0","","1","0",""
"14",80900,"47","35","NSS","11","NSS","NSS","1"
"14",90100,"111","83","NSS","25","1","1","1"
"14",90200,"24","14","NSS","8","2","0",""
"14",90300,"35","20","NSS","15","0","0",""
"14",90400,"76","57","1","18","0","0",""
"14",90500,"3","1","0","","2","0",""
"14",90501,"NSS","NSS","0","","NSS","0",""
"14",90502,"NSS","NSS","0","","NSS","0",""
"14",90503,"NSS","NSS","0","","NSS","0",""
"14",90509,"NSS","NSS","0","","NSS","0",""
"14",90599,"3","1","","","2","",""
"14",90600,"0","0","0","","0","0",""
"14",90700,"0","0","0","","0","0",""
"14",90701,"0","0","0","","0","0",""
"14",90709,"0","0","0","","0","0",""
"14",90799,"","","","","","",""
"14",90800,"0","0","0","","0","0",""
"14",90900,"0","0","0","","0","0",""
"14",91000,"0","0","0","","0","0",""
"14",91100,"0","0","0","","0","0",""
"14",91200,"4","4","0","","0","0",""
"14",91300,"0","0","0","","0","0",""
"14",91400,"0","0","0","","0","0",""
"14",91500,"0","0","0","","0","0",""
"14",91600,"0","0","0","","0","0",""
"14",91900,"87","63","NSS","13","11","0",""
"14",999999,"","","","","","",""
"15",10100,"822","NSS","NSS","152","543","32","95"
"15",10200,"48","0","0","","37","3","8"
"15",10300,"1","0","0","","1","0",""
"15",10400,"1265","NSS","NSS","173","1057","1","34"
"15",10900,"14","NSS","NSS","9","4","1",""
"15",20100,"17","NSS","NSS","17","0","0",""
"15",20200,"1","0","0","","1","0",""
"15",20300,"2","NSS","NSS","2","0","0",""
"15",20400,"1","NSS","NSS","1","0","0",""
"15",20500,"0","0","0","","0","0",""
"15",20600,"197","NSS","NSS","18","154","1","24"
"15",20601,"NSS","NSS","NSS","","NSS","NSS",""
"15",20602,"NSS","NSS","NSS","","NSS","NSS",""
"15",20603,"NSS","NSS","NSS","","NSS","NSS",""
"15",20604,"NSS","NSS","NSS","","NSS","NSS",""
"15",20609,"1","NSS","NSS","","1","0",""
"15",20699,"196","","","18","153","1","24"
"15",20900,"1","NSS","NSS","1","0","0",""
"15",30100,"232","0","0","","228","NSS","4"
"15",30200,"4","0","0","","4","0",""
"15",30300,"2","0","0","","2","0",""
"15",30400,"90","NSS","NSS","90","0","0",""
"15",30500,"0","0","0","","0","0",""
"15",30600,"13","NSS","NSS","8","5","0",""
"15",30700,"1","NSS","NSS","1","0","0",""
"15",30900,"21","NSS","NSS","16","5","0",""
"15",40100,"4926","NSS","NSS","427","4238","53","208"
"15",40101,"NSS","NSS","NSS","","NSS","NSS",""
"15",40102,"NSS","NSS","NSS","","NSS","NSS",""
"15",40103,"67","NSS","NSS","","61","4","2"
"15",40104,"NSS","NSS","NSS","","NSS","NSS",""
"15",40105,"NSS","NSS","NSS","","NSS","NSS",""
"15",40106,"NSS","NSS","NSS","","NSS","NSS",""
"15",40107,"NSS","NSS","NSS","","NSS","NSS",""
"15",40108,"NSS","NSS","NSS","","NSS","NSS",""
"15",40109,"NSS","NSS","NSS","","NSS","NSS",""
"15",40110,"NSS","NSS","NSS","","NSS","NSS",""
"15",40111,"NSS","NSS","NSS","","NSS","NSS",""
"15",40112,"NSS","NSS","NSS","","NSS","NSS",""
"15",40113,"NSS","NSS","NSS","","NSS","NSS",""
"15",40114,"24","NSS","NSS","3","19","NSS","2"
"15",40115,"NSS","NSS","NSS","","NSS","NSS",""
"15",40116,"NSS","NSS","NSS","","NSS","NSS",""
"15",40119,"NSS","NSS","NSS","","NSS","NSS",""
"15",40199,"4835","","","424","4158","49","204"
"15",40200,"0","0","0","","0","0",""
"15",40300,"315","NSS","NSS","89","215","NSS","11"
"15",40400,"88","NSS","NSS","7","79","NSS","2"
"15",40500,"251","NSS","NSS","6","235","1","9"
"15",40501,"NSS","NSS","NSS","","NSS","NSS",""
"15",40509,"NSS","NSS","NSS","","NSS","NSS",""
"15",40599,"251","","","6","235","1","9"
"15",40600,"271","NSS","NSS","62","205","NSS","4"
"15",40700,"183","NSS","NSS","35","142","NSS","6"
"15",40900,"0","0","0","","0","0",""
"15",50100,"0","0","0","","0","0",""
"15",50200,"340","NSS","NSS","40","293","NSS","7"
"15",50900,"9","NSS","NSS","8","1","0",""
"15",60100,"8","NSS","NSS","8","0","0",""
"15",60101,"4","NSS","NSS","4","0","0",""
"15",60102,"0","0","0","","0","0",""
"15",60103,"0","0","0","","0","0",""
"15",60104,"4","NSS","NSS","4","0","0",""
"15",60105,"0","0","0","","0","0",""
"15",60106,"0","0","0","","0","0",""
"15",60109,"0","0","0","","0","0",""
"15",60199,"","","","","","",""
"15",60200,"50","0","0","","46","NSS","4"
"15",60201,"31","0","0","","29","NSS","2"
"15",60202,"NSS","0","0","","NSS","NSS",""
"15",60203,"NSS","0","0","","NSS","NSS",""
"15",60209,"NSS","0","0","","NSS","NSS",""
"15",60299,"19","","","","17","","2"
"15",60300,"0","0","0","","0","0",""
"15",60400,"1","0","0","","1","0",""
"15",60900,"0","0","0","","0","0",""
"15",70100,"NSS","NSS","NSS","","NSS","NSS",""
"15",70101,"NSS","NSS","NSS","","NSS","NSS",""
"15",70102,"NSS","NSS","NSS","","NSS","NSS",""
"15",70103,"NSS","NSS","NSS","","NSS","NSS",""
"15",70104,"NSS","NSS","NSS","","NSS","NSS",""
"15",70109,"NSS","NSS","NSS","","NSS","NSS",""
"15",70199,"","","","","","",""
"15",70200,"0","0","0","","0","0",""
"15",70201,"0","0","0","","0","0",""
"15",70202,"0","0","0","","0","0",""
"15",70203,"0","0","0","","0","0",""
"15",70204,"0","0","0","","0","0",""
"15",70205,"0","0","0","","0","0",""
"15",70206,"0","0","0","","0","0",""
"15",70209,"0","0","0","","0","0",""
"15",70299,"","","","","","",""
"15",70300,"0","0","0","","0","0",""
"15",70400,"70","NSS","NSS","70","0","0",""
"15",70500,"0","0","0","","0","0",""
"15",70600,"0","0","0","","0","0",""
"15",70900,"0","0","0","","0","0",""
"15",80100,"170","NSS","NSS","71","86","NSS","13"
"15",80101,"124","NSS","NSS","25","86","NSS","13"
"15",80102,"0","0","0","","0","0",""
"15",80103,"0","0","0","","0","0",""
"15",80104,"0","0","0","","0","0",""
"15",80105,"0","0","0","","0","0",""
"15",80106,"0","0","0","","0","0",""
"15",80107,"0","0","0","","0","0",""
"15",80109,"46","NSS","NSS","46","0","0",""
"15",80199,"","","","","","",""
"15",80200,"0","0","0","","0","0",""
"15",80201,"0","0","0","","0","0",""
"15",80209,"0","0","0","","0","0",""
"15",80299,"","","","","","",""
"15",80300,"0","0","0","","0","0",""
"15",80400,"1","NSS","NSS","1","0","0",""
"15",80900,"52","NSS","NSS","48","4","0",""
