entidad,delisele,pedesitt,pedesi1,pedesi2,pedesi3,pedesi4,pedesi5,pedesi6,pedesi7,pedesi8,pedesi9
"03",20601,"0","0","0","0","0","0","0","0","0","0"
"03",20602,"0","0","0","0","0","0","0","0","0","0"
"03",20603,"0","0","0","0","0","0","0","0","0","0"
"03",20604,"0","0","0","0","0","0","0","0","0","0"
"03",20609,"0","0","0","0","0","0","0","0","0","0"
"03",91400,"0","0","0","0","0","0","0","0","0","0"
"03",999999,"","","","","","","","","",""
"04",10100,"0","0","0","0","0","0","0","0","0","0"
"04",10400,"0","0","0","0","0","0","0","0","0","0"
"04",20100,"0","0","0","0","0","0","0","0","0","0"
"04",20500,"0","0","0","0","0","0","0","0","0","0"
"04",20600,"0","0","0","0","0","0","0","0","0","0"
"04",20601,"0","0","0","0","0","0","0","0","0","0"
"04",20602,"0","0","0","0","0","0","0","0","0","0"
"04",20603,"0","0","0","0","0","0","0","0","0","0"
"04",20604,"0","0","0","0","0","0","0","0","0","0"
"04",20609,"0","0","0","0","0","0","0","0","0","0"
"04",91400,"0","0","0","0","0","0","0","0","0","0"
"04",999999,"","","","","","","","","",""
"05",10100,"0","0","0","0","0","0","0","0","0","0"
"05",10400,"0","0","0","0","0","0","0","0","0","0"
"05",20100,"0","0","0","0","0","0","0","0","0","0"
"05",20500,"0","0","0","0","0","0","0","0","0","0"
"05",20600,"0","0","0","0","0","0","0","0","0","0"
"05",20601,"0","0","0","0","0","0","0","0","0","0"
"05",20602,"0","0","0","0","0","0","0","0","0","0"
"05",20603,"0","0","0","0","0","0","0","0","0","0"
"05",20604,"0","0","0","0","0","0","0","0","0","0"
"05",20609,"0","0","0","0","0","0","0","0","0","0"
"05",91400,"0","0","0","0","0","0","0","0","0","0"
"05",999999,"","","","","","","","","",""
"06",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",20500,"0","0","0","0","0","0","0","0","0","0"
"06",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"06",91400,"0","0","0","0","0","0","0","0","0","0"
"06",999999,"","","","","","","","","",""
"07",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",20500,"0","0","0","0","0","0","0","0","0","0"
"07",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",20601,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",20603,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",91400,"0","0","0","0","0","0","0","0","0","0"
"07",999999,"","","","","","","","","",""
"08",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20500,"0","0","0","0","0","0","0","0","0","0"
"08",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20601,"0","0","0","0","0","0","0","0","0","0"
"08",20602,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20603,"0","0","0","0","0","0","0","0","0","0"
"08",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",91400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"08",999999,"","","","","","","","","",""
"09",10100,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",10400,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",20100,"NSS","NSS","NSS","0","NSS","NSS","0","NSS","NSS","0"
"09",20500,"0","0","0","0","0","0","0","0","0","0"
"09",20600,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",20601,"0","0","0","0","0","0","0","0","0","0"
"09",20602,"0","0","0","0","0","0","0","0","0","0"
"09",20603,"NSS","NSS","0","0","NSS","0","0","NSS","0","0"
"09",20604,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",20609,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"09",91400,"NSS","NSS","NSS","0","NSS","NSS","0","NSS","NSS","0"
"09",999999,"","","","","","","","","",""
"10",10100,"0","0","0","0","0","0","0","0","0","0"
"10",10400,"0","0","0","0","0","0","0","0","0","0"
"10",20100,"0","0","0","0","0","0","0","0","0","0"
"10",20500,"0","0","0","0","0","0","0","0","0","0"
"10",20600,"0","0","0","0","0","0","0","0","0","0"
"10",20601,"0","0","0","0","0","0","0","0","0","0"
"10",20602,"0","0","0","0","0","0","0","0","0","0"
"10",20603,"0","0","0","0","0","0","0","0","0","0"
"10",20604,"0","0","0","0","0","0","0","0","0","0"
