entidad,particip,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"24",10,"111","111","0","","0","0",""
"25",1,"NSS","NSS","NSS","","NSS","NSS",""
"25",2,"NSS","NSS","NSS","","NSS","NSS",""
"25",3,"NSS","NSS","NSS","","NSS","NSS",""
"25",4,"NSS","NSS","NSS","","NSS","NSS",""
"25",5,"NSS","NSS","NSS","","NSS","NSS",""
"25",6,"NSS","NSS","NSS","","NSS","NSS",""
"25",7,"NSS","NSS","NSS","","NSS","NSS",""
"25",8,"NSS","NSS","NSS","","NSS","NSS",""
"25",9,"NSS","NSS","NSS","","NSS","NSS",""
"25",10,"1099","348","26","717","3","NSS","5"
"26",1,"218","207","10","","1","0",""
"26",2,"1263","1031","53","","166","13",""
"26",3,"41","15","2","","23","1",""
"26",4,"79","59","1","","19","0",""
"26",5,"0","0","0","","0","0",""
"26",6,"0","0","0","","0","0",""
"26",7,"1","1","0","","0","0",""
"26",8,"0","0","0","","0","0",""
"26",9,"0","0","0","","0","0",""
"26",10,"193","185","3","","5","0",""
"27",1,"80","77","2","","NSS","1",""
"27",2,"102","89","2","","4","7",""
"27",3,"4","3","1","","NSS","0",""
"27",4,"8","7","1","","NSS","0",""
"27",5,"NSS","0","0","","NSS","0",""
"27",6,"5","4","1","","NSS","0",""
"27",7,"NSS","0","0","","NSS","0",""
"27",8,"1","1","0","","NSS","0",""
"27",9,"1","1","0","","NSS","0",""
"27",10,"55","41","1","2","11","0",""
"28",1,"NSS","NSS","NSS","","0","0",""
"28",2,"NSS","NSS","NSS","","0","0",""
"28",3,"NSS","NSS","NSS","","0","0",""
"28",4,"NSS","NSS","NSS","","0","0",""
"28",5,"NSS","NSS","NSS","","0","0",""
"28",6,"NSS","NSS","NSS","","0","0",""
"28",7,"NSS","NSS","NSS","","0","0",""
"28",8,"NSS","NSS","NSS","","0","0",""
"28",9,"NSS","NSS","NSS","","0","0",""
"28",10,"1288","155","6","1127","0","0",""
"29",1,"78","70","8","","0","0",""
"29",2,"215","190","25","","0","0",""
"29",3,"29","21","8","","0","0",""
"29",4,"0","0","0","","0","0",""
"29",5,"0","0","0","","0","0",""
"29",6,"0","0","0","","0","0",""
"29",7,"0","0","0","","0","0",""
"29",8,"0","0","0","","0","0",""
"29",9,"0","0","0","","0","0",""
"29",10,"38","18","3","17","0","0",""
"30",1,"12","9","1","","1","1",""
"30",2,"124","89","9","","24","2",""
"30",3,"11","4","0","","7","0",""
"30",4,"9","9","0","","0","0",""
"30",5,"0","0","0","","0","0",""
"30",6,"0","0","0","","0","0",""
"30",7,"0","0","0","","0","0",""
"30",8,"0","0","0","","0","0",""
"30",9,"2","1","1","","0","0",""
"30",10,"25","14","1","10","0","0",""
"31",1,"1","0","0","","1","0",""
"31",2,"120","5","0","","109","6",""
"31",3,"48","0","0","","44","4",""
"31",4,"0","0","0","","0","0",""
"31",5,"0","0","0","","0","0",""
"31",6,"0","0","0","","0","0",""
"31",7,"0","0","0","","0","0",""
"31",8,"0","0","0","","0","0",""
"31",9,"0","0","0","","0","0",""
"31",10,"5","0","0","","5","0",""
"32",1,"21","17","2","","2","NSS",""
"32",2,"194","120","17","","57","NSS",""
"32",3,"72","28","5","","32","7",""
"32",4,"2","2","0","","0","NSS",""
"32",5,"NSS","0","0","","0","NSS",""
"32",6,"3","2","1","","0","NSS",""
"32",7,"NSS","0","0","","0","NSS",""
"32",8,"NSS","0","0","","0","NSS",""
"32",9,"NSS","0","0","","0","NSS",""
"32",10,"250","154","32","58","5","1",""
