entidad,gdoestad,avinhmtt,avinhm1,avinhm2,avinhm4,avinhm5
"26",3,"348","263","26","49","10"
"26",4,"80","57","17","6","0"
"26",5,"2","2","0","0","0"
"26",6,"702","440","13","222","27"
"27",1,"116","0","0","101","15"
"27",2,"43","0","0","42","1"
"27",3,"96","0","0","87","9"
"27",4,"52","0","0","51","1"
"27",5,"4","0","0","4","NSS"
"27",6,"243","0","0","229","14"
"28",1,"10","7","3","0","0"
"28",2,"16","5","0","8","3"
"28",3,"67","14","2","21","30"
"28",4,"46","3","0","37","6"
"28",5,"706","674","32","0","0"
"28",6,"379","68","14","212","85"
"29",1,"NSS","NSS","NSS","NSS","0"
"29",2,"NSS","NSS","NSS","NSS","0"
"29",3,"NSS","NSS","NSS","NSS","0"
"29",4,"NSS","NSS","NSS","NSS","0"
"29",5,"NSS","NSS","NSS","NSS","0"
"29",6,"59","34","10","15","0"
"30",1,"NSS","NSS","0","NSS","NSS"
"30",2,"12","NSS","0","11","1"
"30",3,"5","NSS","1","3","1"
"30",4,"3","NSS","0","3","NSS"
"30",5,"NSS","NSS","0","NSS","NSS"
"30",6,"118","2","0","95","21"
"31",1,"NSS","0","0","NSS","NSS"
"31",2,"NSS","0","0","NSS","NSS"
"31",3,"NSS","0","0","NSS","NSS"
"31",4,"NSS","0","0","NSS","NSS"
"31",5,"NSS","0","0","NSS","NSS"
"31",6,"727","0","0","608","119"
"32",1,"0","0","0","0","0"
"32",2,"84","0","0","79","5"
"32",3,"78","0","0","70","8"
"32",4,"11","0","0","8","3"
"32",5,"0","0","0","0","0"
"32",6,"201","0","0","165","36"
