entidad,mater_ja,seguimtt,seguim1,seguim2,seguim3,seguim4,seguim5,seguim6,seguim7,seguimne,no_aplic
"13",2,"231","0","0","231","0","0","0","0","",""
"13",3,"1189","0","0","1189","0","0","0","0","",""
"13",4,"41","0","0","41","0","0","0","0","",""
"13",5,"0","0","0","0","0","0","0","0","",""
"13",6,"408","0","0","408","0","0","0","0","",""
"13",7,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"13",8,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"14",1,"1266","0","0","1266","0","0","0","0","",""
"14",2,"132","0","0","132","0","0","0","0","",""
"14",3,"1440","0","0","1440","0","0","0","0","",""
"14",4,"5460","0","0","5460","0","0","0","0","",""
"14",5,"0","0","0","0","0","0","0","0","",""
"14",6,"0","0","0","0","0","0","0","0","",""
"14",7,"0","0","0","0","0","0","0","0","",""
"14",8,"87","0","0","87","0","0","0","0","",""
"15",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"15",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"15",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"15",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"15",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"15",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"15",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"15",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"16",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"16",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"16",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"16",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"16",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"16",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"16",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"16",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"17",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"17",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"17",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"17",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"17",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"17",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"17",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"17",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"18",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"18",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"18",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"18",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"18",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"18",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"18",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"18",8,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"19",1,"0","0","0","0","0","0","0","0","",""
"19",2,"0","0","0","0","0","0","0","0","",""
"19",3,"0","0","0","0","0","0","0","0","",""
"19",4,"244","0","0","244","0","0","0","0","",""
"19",5,"0","0","0","0","0","0","0","0","",""
"19",6,"NA","NA","NA","NA","NA","NA","NA","NA","","1"
"19",7,"0","0","0","0","0","0","0","0","",""
"19",8,"0","0","0","0","0","0","0","0","",""
"20",1,"59","0","0","59","0","0","0","0","",""
"20",2,"31","0","0","31","0","0","0","0","",""
"20",3,"238","0","0","238","0","0","0","0","",""
"20",4,"102","0","0","102","0","0","0","0","",""
"20",5,"7","0","0","7","0","0","0","0","",""
"20",6,"0","0","0","0","0","0","0","0","",""
"20",7,"0","0","0","0","0","0","0","0","",""
"20",8,"11","0","0","11","0","0","0","0","",""
"21",1,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"21",2,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"21",3,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"21",4,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"21",5,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"21",6,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
"21",7,"NA","NA","NA","NA","NA","NA","NA","NA","","NA"
