entidad,tieprisi,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"08",11,"NSS","NSS","NSS","","NSS","NSS",""
"08",12,"NSS","NSS","NSS","","NSS","NSS",""
"08",13,"NSS","NSS","NSS","","NSS","NSS",""
"08",14,"NSS","NSS","NSS","","NSS","NSS",""
"08",15,"NSS","NSS","NSS","","NSS","NSS",""
"08",16,"NSS","NSS","NSS","","NSS","NSS",""
"08",99,"2287","","","","2099","114","74"
"09",1,"241","192","49","","0","0",""
"09",2,"536","454","76","","5","1",""
"09",3,"415","369","28","","18","0",""
"09",4,"1300","1153","103","","37","7",""
"09",5,"802","491","100","","203","8",""
"09",6,"1854","1725","107","","20","2",""
"09",7,"1272","1192","72","","7","1",""
"09",8,"195","178","17","","0","0",""
"09",9,"76","65","11","","0","0",""
"09",10,"136","124","12","","0","0",""
"09",11,"81","72","9","","0","0",""
"09",12,"34","25","9","","0","0",""
"09",13,"58","57","1","","0","0",""
"09",14,"18","15","3","","0","0",""
"09",15,"15","12","3","","0","0",""
"09",16,"241","217","24","","0","0",""
"09",99,"","","","","","",""
"10",1,"9","4","1","","3","1",""
"10",2,"24","16","1","","6","1",""
"10",3,"61","38","4","","16","3",""
"10",4,"151","44","2","","97","8",""
"10",5,"128","50","6","","68","4",""
"10",6,"24","13","0","","10","1",""
"10",7,"35","22","1","","12","0",""
"10",8,"13","7","2","","4","0",""
"10",9,"7","5","0","","2","0",""
"10",10,"7","6","0","","1","0",""
"10",11,"19","15","0","","3","1",""
"10",12,"3","1","0","","2","0",""
"10",13,"0","0","0","","0","0",""
"10",14,"0","0","0","","0","0",""
"10",15,"0","0","0","","0","0",""
"10",16,"0","0","0","","0","0",""
"10",99,"29","4","1","5","17","1","1"
"12",1,"11","9","2","","0","0",""
"12",2,"62","57","5","","0","0",""
"12",3,"49","41","7","","1","0",""
"12",4,"22","19","1","","2","0",""
"12",5,"20","19","1","","0","0",""
"12",6,"15","14","0","","1","0",""
"12",7,"18","12","0","","5","1",""
"12",8,"14","9","0","","4","1",""
"12",9,"3","2","0","","1","0",""
"12",10,"1","1","0","","0","0",""
"12",11,"17","9","1","","7","0",""
"12",12,"3","2","0","","1","0",""
"12",13,"0","0","0","","0","0",""
"12",14,"0","0","0","","0","0",""
"12",15,"0","0","0","","0","0",""
"12",16,"0","0","0","","0","0",""
"12",99,"12","6","1","5","","",""
"13",1,"36","31","4","","1","0",""
"13",2,"114","98","14","","1","1",""
"13",3,"179","144","29","","2","4",""
"13",4,"117","97","14","","6","0",""
"13",5,"116","100","8","","6","2",""
