entidad,sisoemtt,sisoem1,sisoem2
"01","282","282","0"
"02","199","199","0"
"03","26","26","0"
"04","27","0","27"
"05","109","69","40"
"07","33","0","33"
"08","740","0","740"
"09","620","478","142"
"10","168","2","166"
"12","82","0","82"
"13","95","87","8"
"14","191","191","0"
"15","441","365","76"
"16","77","60","17"
"17","167","0","167"
"18","179","179","0"
"19","637","0","637"
"20","78","0","78"
"21","150","137","13"
"22","127","0","127"
"23","21","0","21"
"24","8","5","3"
"25","NSS","0","NSS"
"26","338","338","0"
"27","43","0","43"
"28","279","279","0"
"29","38","38","0"
"30","87","0","87"
"31","78","0","78"
"32","99","0","99"
