entidad,nacional,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"08",4,"0","NA","NA","0","0"
"08",5,"0","NA","NA","0","0"
"08",6,"1","NA","NA","1","0"
"08",7,"1","NA","NA","1","0"
"08",8,"0","NA","NA","0","0"
"08",9,"0","NA","NA","0","0"
"08",10,"1","NA","NA","1","0"
"08",11,"1","NA","NA","1","0"
"08",12,"0","NA","NA","0","0"
"08",13,"2","NA","NA","1","1"
"08",14,"1","NA","NA","0","1"
"08",15,"3","NA","NA","3","0"
"08",16,"3","NA","NA","3","0"
"08",17,"4","NA","NA","3","1"
"08",18,"2","NA","NA","2","0"
"08",19,"0","NA","NA","0","0"
"08",20,"1","NA","NA","0","1"
"09",1,"104297","17884","5401","58879","22133"
"09",2,"8","2","0","4","2"
"09",3,"4","0","0","4","0"
"09",4,"0","0","0","0","0"
"09",5,"0","0","0","0","0"
"09",6,"9","1","0","4","4"
"09",7,"3","0","0","2","1"
"09",8,"1","0","0","1","0"
"09",9,"0","0","0","0","0"
"09",10,"2","0","0","2","0"
"09",11,"9","1","0","6","2"
"09",12,"4","0","1","2","1"
"09",13,"53","13","4","27","9"
"09",14,"39","5","0","20","14"
"09",15,"10","1","0","6","3"
"09",16,"32","3","1","24","4"
"09",17,"21","5","0","13","3"
"09",18,"17","4","0","11","2"
"09",19,"0","0","0","0","0"
"09",20,"992","145","33","666","148"
"10",1,"21753","NSS","NSS","17437","4316"
"10",2,"0","0","0","0","0"
"10",3,"1","0","0","1","0"
"10",4,"0","0","0","0","0"
"10",5,"0","0","0","0","0"
"10",6,"0","0","0","0","0"
"10",7,"0","0","0","0","0"
"10",8,"0","0","0","0","0"
"10",9,"0","0","0","0","0"
"10",10,"0","0","0","0","0"
"10",11,"0","0","0","0","0"
"10",12,"0","0","0","0","0"
"10",13,"0","0","0","0","0"
"10",14,"0","0","0","0","0"
"10",15,"0","0","0","0","0"
"10",16,"0","0","0","0","0"
"10",17,"0","0","0","0","0"
"10",18,"0","0","0","0","0"
"10",19,"0","0","0","0","0"
"10",20,"0","0","0","0","0"
"11",1,"19043","317","42","15770","2914"
"11",2,"11","3","NSS","6","2"
"11",3,"NSS","NSS","NSS","NSS","NSS"
"11",4,"1","NSS","NSS","1","NSS"
"11",5,"NSS","NSS","NSS","NSS","NSS"
"11",6,"NSS","NSS","NSS","NSS","NSS"
"11",7,"13","NSS","NSS","10","3"
"11",8,"6","NSS","NSS","5","1"
"11",9,"NSS","NSS","NSS","NSS","NSS"
"11",10,"3","NSS","NSS","3","NSS"
"11",11,"1","NSS","NSS","1","NSS"
"11",12,"1","NSS","NSS","NSS","1"
"11",13,"6","NSS","NSS","6","NSS"
"11",14,"7","NSS","NSS","4","3"
"11",15,"NSS","NSS","NSS","NSS","NSS"
"11",16,"47","NSS","NSS","41","6"
"11",17,"13","NSS","NSS","11","2"
"11",18,"23","NSS","NSS","17","6"
"11",19,"NSS","NSS","NSS","NSS","NSS"
"11",20,"39808","11471","1270","22918","4149"
"12",1,"8796","1785","594","4656","1761"
"12",2,"2","1","0","0","1"
"12",3,"1","0","0","1","0"
"12",4,"0","0","0","0","0"
"12",5,"0","0","0","0","0"
"12",6,"0","0","0","0","0"
"12",7,"0","0","0","0","0"
"12",8,"0","0","0","0","0"
"12",9,"0","0","0","0","0"
"12",10,"0","0","0","0","0"
"12",11,"0","0","0","0","0"
"12",12,"0","0","0","0","0"
"12",13,"0","0","0","0","0"
"12",14,"0","0","0","0","0"
"12",15,"0","0","0","0","0"
"12",16,"0","0","0","0","0"
"12",17,"0","0","0","0","0"
"12",18,"0","0","0","0","0"
"12",19,"0","0","0","0","0"
"12",20,"964","321","100","383","160"
"13",1,"5390","25","16","4448","901"
"13",2,"0","0","0","0","0"
"13",3,"0","0","0","0","0"
"13",4,"0","0","0","0","0"
"13",5,"0","0","0","0","0"
"13",6,"0","0","0","0","0"
"13",7,"1","0","0","1","0"
"13",8,"0","0","0","0","0"
"13",9,"0","0","0","0","0"
"13",10,"0","0","0","0","0"
"13",11,"0","0","0","0","0"
"13",12,"0","0","0","0","0"
"13",13,"13","0","0","11","2"
"13",14,"4","0","0","2","2"
"13",15,"2","0","0","1","1"
"13",16,"1","0","0","1","0"
"13",17,"0","0","0","0","0"
"13",18,"2","0","0","2","0"
"13",19,"0","0","0","0","0"
"13",20,"7250","907","209","4107","2027"
"14",1,"NSS","NSS","NSS","NSS","NSS"
"14",2,"NSS","NSS","NSS","NSS","NSS"
"14",3,"NSS","NSS","NSS","NSS","NSS"
"14",4,"NSS","NSS","NSS","NSS","NSS"
"14",5,"NSS","NSS","NSS","NSS","NSS"
"14",6,"NSS","NSS","NSS","NSS","NSS"
"14",7,"NSS","NSS","NSS","NSS","NSS"
"14",8,"NSS","NSS","NSS","NSS","NSS"
"14",9,"NSS","NSS","NSS","NSS","NSS"
"14",10,"NSS","NSS","NSS","NSS","NSS"
"14",11,"NSS","NSS","NSS","NSS","NSS"
"14",12,"NSS","NSS","NSS","NSS","NSS"
"14",13,"NSS","NSS","NSS","NSS","NSS"
"14",14,"NSS","NSS","NSS","NSS","NSS"
"14",15,"NSS","NSS","NSS","NSS","NSS"
"14",16,"NSS","NSS","NSS","NSS","NSS"
"14",17,"NSS","NSS","NSS","NSS","NSS"
"14",18,"NSS","NSS","NSS","NSS","NSS"
"14",19,"NSS","NSS","NSS","NSS","NSS"
"14",20,"2163","602","853","200","508"
"15",1,"220707","NA","NA","143106","77601"
"15",2,"5","NA","NA","3","2"
"15",3,"0","NA","NA","0","0"
"15",4,"1","NA","NA","1","0"
"15",5,"0","NA","NA","0","0"
"15",6,"1","NA","NA","1","0"
"15",7,"3","NA","NA","2","1"
"15",8,"0","NA","NA","0","0"
"15",9,"0","NA","NA","0","0"
"15",10,"1","NA","NA","1","0"
"15",11,"0","NA","NA","0","0"
"15",12,"0","NA","NA","0","0"
"15",13,"32","NA","NA","22","10"
"15",14,"10","NA","NA","8","2"
"15",15,"0","NA","NA","0","0"
"15",16,"0","NA","NA","0","0"
"15",17,"0","NA","NA","0","0"
"15",18,"0","NA","NA","0","0"
"15",19,"0","NA","NA","0","0"
"15",20,"0","NA","NA","0","0"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS","NSS","NSS"
"16",8,"NSS","NSS","NSS","NSS","NSS"
"16",9,"NSS","NSS","NSS","NSS","NSS"
