entidad,coansele,aicotett,aicote1,aicote2,aicote4,aicote5
"14",2,"38","4","13","1","25"
"14",3,"10","1","0","0","10"
"14",4,"35","1","7","0","28"
"14",5,"0","0","0","0","0"
"14",6,"0","0","0","0","0"
"14",7,"0","0","0","0","0"
"14",8,"0","0","0","0","0"
"14",9,"0","0","0","0","0"
"14",10,"0","0","0","0","0"
"14",11,"44","5","16","1","28"
"14",12,"0","0","0","0","0"
"14",13,"0","0","0","0","0"
"14",14,"0","0","0","0","0"
"14",15,"4","1","1","0","3"
"15",1,"28","0","19","0","9"
"15",2,"40","0","24","0","16"
"15",3,"47","0","32","0","15"
"15",4,"44","0","37","0","7"
"15",5,"0","0","0","0","0"
"15",6,"2","0","2","0","0"
"15",7,"0","0","0","0","0"
"15",8,"31","0","15","0","16"
"15",9,"0","0","0","0","0"
"15",10,"1","0","1","0","0"
"15",11,"20","0","11","0","9"
"15",12,"4","0","2","0","2"
"15",13,"0","0","0","0","0"
"15",14,"4","0","1","0","3"
"15",15,"40","0","26","0","14"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS","NSS","NSS"
"16",8,"NSS","NSS","NSS","NSS","NSS"
"16",9,"NSS","NSS","NSS","NSS","NSS"
"16",10,"NSS","NSS","NSS","NSS","NSS"
"16",11,"NSS","NSS","NSS","NSS","NSS"
"16",12,"NSS","NSS","NSS","NSS","NSS"
"16",13,"NSS","NSS","NSS","NSS","NSS"
"16",14,"NSS","NSS","NSS","NSS","NSS"
"16",15,"NSS","NSS","NSS","NSS","NSS"
"17",1,"2","1","0","0","2"
"17",2,"NSS","0","0","0","NSS"
"17",3,"1","0","0","0","1"
"17",4,"NSS","0","0","0","NSS"
"17",5,"NSS","0","0","0","NSS"
"17",6,"NSS","0","0","0","NSS"
"17",7,"NSS","0","0","0","NSS"
"17",8,"NSS","0","0","0","NSS"
"17",9,"NSS","0","0","0","NSS"
"17",10,"NSS","0","0","0","NSS"
"17",11,"NSS","0","0","0","NSS"
"17",12,"NSS","0","0","0","NSS"
"17",13,"NSS","0","0","0","NSS"
"17",14,"NSS","0","0","0","NSS"
"17",15,"NSS","0","0","0","NSS"
"18",1,"0","0","0","0","0"
"18",2,"3","0","3","0","0"
"18",3,"0","0","0","0","0"
"18",4,"0","0","0","0","0"
"18",5,"0","0","0","0","0"
"18",6,"0","0","0","0","0"
"18",7,"0","0","0","0","0"
"18",8,"0","0","0","0","0"
"18",9,"0","0","0","0","0"
"18",10,"0","0","0","0","0"
"18",11,"0","0","0","0","0"
"18",12,"0","0","0","0","0"
"18",13,"0","0","0","0","0"
"18",14,"0","0","0","0","0"
"18",15,"1","0","1","0","0"
"19",1,"12","0","0","0","12"
"19",2,"5","0","0","0","5"
"19",3,"0","0","0","0","0"
"19",4,"63","0","0","0","63"
"19",5,"0","0","0","0","0"
"19",6,"0","0","0","0","0"
"19",7,"0","0","0","0","0"
"19",8,"0","0","0","0","0"
"19",9,"0","0","0","0","0"
"19",10,"0","0","0","0","0"
"19",11,"69","0","0","0","69"
"19",12,"0","0","0","0","0"
"19",13,"0","0","0","0","0"
"19",14,"0","0","0","0","0"
"19",15,"1","0","0","0","1"
