entidad,nacional,avinhmtt,avinhm1,avinhm2,avinhm4,avinhm5
"09",11,"NSS","NSS","NSS","NSS","NSS"
"09",12,"NSS","NSS","NSS","NSS","NSS"
"09",13,"NSS","NSS","NSS","NSS","NSS"
"09",14,"NSS","NSS","NSS","NSS","NSS"
"09",15,"NSS","NSS","NSS","NSS","NSS"
"09",16,"NSS","NSS","NSS","NSS","NSS"
"09",17,"NSS","NSS","NSS","NSS","NSS"
"09",18,"NSS","NSS","NSS","NSS","NSS"
"09",19,"NSS","NSS","NSS","NSS","NSS"
"09",20,"11658","2260","1151","5318","2929"
"10",1,"819","0","0","568","251"
"10",2,"0","0","0","0","0"
"10",3,"0","0","0","0","0"
"10",4,"0","0","0","0","0"
"10",5,"0","0","0","0","0"
"10",6,"0","0","0","0","0"
"10",7,"0","0","0","0","0"
"10",8,"0","0","0","0","0"
"10",9,"0","0","0","0","0"
"10",10,"0","0","0","0","0"
"10",11,"0","0","0","0","0"
"10",12,"0","0","0","0","0"
"10",13,"0","0","0","0","0"
"10",14,"0","0","0","0","0"
"10",15,"0","0","0","0","0"
"10",16,"0","0","0","0","0"
"10",17,"0","0","0","0","0"
"10",18,"0","0","0","0","0"
"10",19,"0","0","0","0","0"
"10",20,"0","0","0","0","0"
"11",1,"2747","1261","187","1116","183"
"11",2,"4","3","0","1","0"
"11",3,"NSS","NSS","NSS","NSS","NSS"
"11",4,"NSS","NSS","NSS","NSS","NSS"
"11",5,"NSS","NSS","NSS","NSS","NSS"
"11",6,"NSS","NSS","NSS","NSS","NSS"
"11",7,"NSS","NSS","NSS","NSS","NSS"
"11",8,"NSS","NSS","NSS","NSS","NSS"
"11",9,"NSS","NSS","NSS","NSS","NSS"
"11",10,"NSS","NSS","NSS","NSS","NSS"
"11",11,"NSS","NSS","NSS","NSS","NSS"
"11",12,"NSS","NSS","NSS","NSS","NSS"
"11",13,"NSS","NSS","NSS","NSS","NSS"
"11",14,"NSS","NSS","NSS","NSS","NSS"
"11",15,"NSS","NSS","NSS","NSS","NSS"
"11",16,"NSS","NSS","NSS","NSS","NSS"
"11",17,"NSS","NSS","NSS","NSS","NSS"
"11",18,"NSS","NSS","NSS","NSS","NSS"
"11",19,"NSS","NSS","NSS","NSS","NSS"
"11",20,"103","52","9","37","5"
"12",1,"336","0","0","288","48"
"12",2,"0","0","0","0","0"
"12",3,"0","0","0","0","0"
"12",4,"0","0","0","0","0"
"12",5,"0","0","0","0","0"
"12",6,"0","0","0","0","0"
"12",7,"0","0","0","0","0"
"12",8,"0","0","0","0","0"
"12",9,"0","0","0","0","0"
"12",10,"0","0","0","0","0"
"12",11,"0","0","0","0","0"
"12",12,"0","0","0","0","0"
"12",13,"0","0","0","0","0"
"12",14,"0","0","0","0","0"
"12",15,"0","0","0","0","0"
"12",16,"0","0","0","0","0"
"12",17,"0","0","0","0","0"
"12",18,"0","0","0","0","0"
"12",19,"0","0","0","0","0"
"12",20,"0","0","0","0","0"
"13",1,"672","447","89","126","10"
"13",2,"0","0","0","0","0"
"13",3,"0","0","0","0","0"
"13",4,"0","0","0","0","0"
"13",5,"0","0","0","0","0"
"13",6,"0","0","0","0","0"
"13",7,"0","0","0","0","0"
"13",8,"0","0","0","0","0"
"13",9,"0","0","0","0","0"
"13",10,"0","0","0","0","0"
"13",11,"0","0","0","0","0"
"13",12,"0","0","0","0","0"
"13",13,"0","0","0","0","0"
"13",14,"0","0","0","0","0"
"13",15,"0","0","0","0","0"
"13",16,"0","0","0","0","0"
"13",17,"0","0","0","0","0"
"13",18,"0","0","0","0","0"
"13",19,"0","0","0","0","0"
"13",20,"0","0","0","0","0"
"14",1,"1146","451","119","442","134"
"14",2,"1","0","0","0","1"
"14",3,"0","0","0","0","0"
"14",4,"0","0","0","0","0"
"14",5,"0","0","0","0","0"
"14",6,"0","0","0","0","0"
"14",7,"1","0","0","1","0"
"14",8,"0","0","0","0","0"
"14",9,"0","0","0","0","0"
"14",10,"0","0","0","0","0"
"14",11,"0","0","0","0","0"
"14",12,"0","0","0","0","0"
"14",13,"0","0","0","0","0"
"14",14,"0","0","0","0","0"
"14",15,"0","0","0","0","0"
"14",16,"1","0","0","1","0"
"14",17,"0","0","0","0","0"
"14",18,"0","0","0","0","0"
"14",19,"0","0","0","0","0"
"14",20,"0","0","0","0","0"
"15",1,"2694","999","478","1027","190"
"15",2,"0","0","0","0","0"
"15",3,"0","0","0","0","0"
"15",4,"0","0","0","0","0"
"15",5,"0","0","0","0","0"
"15",6,"0","0","0","0","0"
"15",7,"0","0","0","0","0"
"15",8,"0","0","0","0","0"
"15",9,"0","0","0","0","0"
"15",10,"0","0","0","0","0"
"15",11,"0","0","0","0","0"
"15",12,"0","0","0","0","0"
"15",13,"0","0","0","0","0"
"15",14,"0","0","0","0","0"
"15",15,"0","0","0","0","0"
"15",16,"0","0","0","0","0"
"15",17,"0","0","0","0","0"
"15",18,"0","0","0","0","0"
"15",19,"0","0","0","0","0"
"15",20,"0","0","0","0","0"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS","NSS","NSS"
"16",8,"NSS","NSS","NSS","NSS","NSS"
"16",9,"NSS","NSS","NSS","NSS","NSS"
"16",10,"NSS","NSS","NSS","NSS","NSS"
"16",11,"NSS","NSS","NSS","NSS","NSS"
"16",12,"NSS","NSS","NSS","NSS","NSS"
