entidad,modalcur,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12,no_reali
"12",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"12",3,"9","1","1","0","0","0","1","0","0","3","3","0","0",""
"12",4,"187","26","30","7","12","10","20","10","8","14","50","0","0",""
"12",5,"12","3","3","0","0","0","0","1","0","2","3","0","0",""
"12",6,"63","8","12","3","3","3","1","14","10","3","6","0","0",""
"13",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"13",2,"6","0","0","0","0","0","0","0","1","2","3","0","0",""
"13",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"13",4,"60","4","7","5","13","4","5","6","8","5","3","0","0",""
"13",5,"200","10","18","12","22","15","34","0","0","31","58","0","0",""
"13",6,"116","5","9","6","12","12","24","0","0","15","33","0","0",""
"14",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"14",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"14",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"14",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"14",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"14",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"15",1,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","NSS","NSS","NSS","0","0",""
"15",2,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","NSS","NSS","NSS","0","0",""
"15",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"15",4,"184","32","25","0","0","5","9","46","63","3","1","0","0",""
"15",5,"446","32","113","0","0","74","19","95","103","3","7","0","0",""
"15",6,"NSS","NSS","NSS","0","0","NSS","NSS","NSS","NSS","NSS","NSS","0","0",""
"16",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"16",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"16",3,"17","1","5","0","4","0","1","2","4","0","0","0","0",""
"16",4,"166","20","30","3","11","3","8","72","18","1","0","0","0",""
"16",5,"27","3","7","0","2","1","0","0","12","2","0","0","0",""
"16",6,"62","14","16","0","3","2","1","10","14","2","0","0","0",""
"17",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"17",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"17",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"17",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"17",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"17",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"18",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"18",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"18",3,"18","2","2","0","0","4","6","0","2","1","1","0","0",""
"18",4,"57","5","6","2","2","7","8","5","8","6","8","0","0",""
"18",5,"56","5","6","5","7","7","8","4","5","3","6","0","0",""
"18",6,"51","5","6","3","5","6","8","4","6","3","5","0","0",""
"19",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"19",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"19",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"19",4,"2100","327","342","102","68","0","0","326","460","187","288","0","0",""
"19",5,"88","12","8","15","15","0","0","13","13","4","8","0","0",""
"19",6,"888","221","215","10","8","0","0","80","117","97","140","0","0",""
"20",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"20",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"20",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"20",4,"73","3","2","0","1","2","4","0","0","27","34","0","0",""
"20",5,"47","2","3","0","1","5","18","0","0","6","12","0","0",""
"20",6,"68","17","26","1","0","1","0","0","0","11","12","0","0",""
"21",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"21",2,"3","1","0","0","0","0","0","1","1","0","0","0","0",""
"21",3,"3","1","0","0","0","0","0","1","1","0","0","0","0",""
"21",4,"466","23","42","18","15","21","32","80","167","28","40","0","0",""
"21",5,"49","1","2","2","1","0","10","6","8","13","6","0","0",""
"21",6,"3","0","0","0","0","0","3","0","0","0","0","0","0",""
"22",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"22",2,"11","1","0","0","0","0","1","1","8","0","0","0","0",""
"22",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"22",4,"355","6","22","14","14","12","43","62","144","8","30","0","0",""
"22",5,"97","3","7","2","4","0","11","19","47","1","3","0","0",""
"22",6,"45","2","2","3","1","1","6","6","23","0","1","0","0",""
"23",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"23",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"23",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"23",4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"23",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"23",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"24",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"24",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"24",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"24",4,"54","0","0","0","0","19","30","0","0","3","2","0","0",""
"24",5,"44","0","0","0","0","15","29","0","0","0","0","0","0",""
"24",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"25",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"25",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"25",3,"41","9","5","0","3","3","3","2","3","0","13","0","0",""
"25",4,"424","53","66","22","27","31","18","69","91","8","39","0","0",""
"25",5,"162","1","3","24","10","1","2","17","13","42","49","0","0",""
"25",6,"1057","55","127","66","138","39","68","96","193","79","196","0","0",""
"26",1,"0","0","0","0","0","0","0","0","0","0","0","0","0",""
"26",2,"38","15","21","0","0","0","0","0","0","2","0","0","0",""
"26",3,"0","0","0","0","0","0","0","0","0","0","0","0","0",""
"26",4,"311","9","12","23","49","8","12","0","0","90","108","0","0",""
"26",5,"124","7","8","2","0","11","13","0","0","51","32","0","0",""
"26",6,"70","3","8","2","0","1","0","0","0","15","41","0","0",""
"27",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"27",2,"26","0","0","1","0","0","0","10","14","1","0","0","0",""
"27",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"27",4,"43","0","0","0","0","6","19","1","16","1","0","0","0",""
"27",5,"21","1","0","0","0","6","0","7","0","7","0","0","0",""
"27",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"28",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"28",2,"4","0","0","0","0","0","0","0","0","3","1","0","0",""
"28",3,"179","11","9","10","4","14","19","21","39","23","29","0","0",""
"28",4,"548","54","40","11","4","29","43","57","95","106","109","0","0",""
"28",5,"84","4","3","0","0","10","19","11","8","15","14","0","0",""
"28",6,"1","0","0","0","0","0","0","0","0","1","0","0","0",""
"29",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"29",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"29",3,"19","1","2","0","3","2","10","0","1","0","0","0","0",""
"29",4,"70","10","14","7","14","0","4","7","10","2","2","0","0",""
"29",5,"115","16","24","9","8","12","30","4","8","2","2","0","0",""
"29",6,"48","10","20","0","0","5","7","0","2","2","2","0","0",""
"30",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"30",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"30",3,"127","5","7","2","2","10","17","3","10","26","45","0","0",""
"30",4,"250","16","20","6","6","31","50","10","12","35","64","0","0",""
"30",5,"34","2","7","0","1","2","6","1","1","4","10","0","0",""
"30",6,"614","16","33","9","8","30","48","19","36","133","282","0","0",""
"31",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"31",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"31",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"31",4,"121","9","17","0","0","10","16","23","46","0","0","0","0",""
"31",5,"80","1","7","2","1","1","1","20","40","2","5","0","0",""
"31",6,"175","14","29","0","2","11","32","22","52","4","9","0","0",""
"32",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"32",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"32",3,"183","59","69","0","0","24","31","0","0","0","0","0","0",""
"32",4,"245","60","102","0","0","39","44","0","0","0","0","0","0",""
"32",5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"32",6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
