entidad,delitos,apcicttt,apcict1,apcict2,apcict4,apcict5
"20",10300,"17","1","0","16","0"
"20",10400,"4765","1139","0","3626","0"
"20",10900,"253","0","49","0","204"
"20",20100,"170","22","0","148","0"
"20",20200,"0","0","0","0","0"
"20",20300,"0","0","0","0","0"
"20",20400,"0","0","0","0","0"
"20",20500,"0","0","0","0","0"
"20",20600,"30","5","0","25","0"
"20",20601,"0","0","0","0","0"
"20",20602,"30","5","0","25","0"
"20",20603,"0","0","0","0","0"
"20",20604,"0","0","0","0","0"
"20",20609,"0","0","0","0","0"
"20",20699,"","","","",""
"20",20900,"0","0","0","0","0"
"20",30100,"384","113","0","271","0"
"20",30200,"44","14","0","30","0"
"20",30300,"26","9","0","17","0"
"20",30400,"455","91","0","364","0"
"20",30500,"58","13","0","45","0"
"20",30600,"0","0","0","0","0"
"20",30700,"1","0","0","1","0"
"20",30900,"120","29","0","91","0"
"20",40100,"10824","2683","0","8141","0"
"20",40101,"0","0","0","0","0"
"20",40102,"1272","323","0","949","0"
"20",40103,"3229","716","0","2513","0"
"20",40104,"161","72","0","89","0"
"20",40105,"1343","569","0","774","0"
"20",40106,"153","24","0","129","0"
"20",40107,"0","0","0","0","0"
"20",40108,"171","6","0","165","0"
"20",40109,"56","13","0","43","0"
"20",40110,"115","43","0","72","0"
"20",40111,"148","16","0","132","0"
"20",40112,"34","2","0","32","0"
"20",40113,"828","110","0","718","0"
"20",40114,"231","21","0","210","0"
"20",40115,"123","35","0","88","0"
"20",40116,"0","0","0","0","0"
"20",40119,"2960","733","0","2227","0"
"20",40199,"","","","",""
"20",40200,"0","0","0","0","0"
"20",40300,"1116","504","0","612","0"
"20",40400,"300","87","0","213","0"
"20",40500,"57","14","0","43","0"
"20",40501,"57","14","0","43","0"
"20",40509,"0","0","0","0","0"
"20",40599,"","","","",""
"20",40600,"2364","532","0","1832","0"
"20",40700,"503","106","0","397","0"
"20",40900,"2136","298","0","1838","0"
"20",50100,"3678","864","0","2814","0"
"20",50200,"92","33","0","59","0"
"20",50900,"168","0","30","3","135"
"20",60100,"13","4","0","9","0"
"20",60101,"13","4","0","9","0"
"20",60102,"0","0","0","0","0"
"20",60103,"0","0","0","0","0"
"20",60104,"0","0","0","0","0"
"20",60105,"0","0","0","0","0"
"20",60106,"0","0","0","0","0"
"20",60109,"0","0","0","0","0"
"20",60199,"","","","",""
"20",60200,"26","22","0","4","0"
"20",60201,"26","22","0","4","0"
"20",60202,"0","0","0","0","0"
"20",60203,"0","0","0","0","0"
"20",60209,"0","0","0","0","0"
"20",60299,"","","","",""
"20",60300,"0","0","0","0","0"
"20",60400,"0","0","0","0","0"
"20",60900,"131","32","0","99","0"
"20",70100,"232","97","0","135","0"
"20",70101,"186","78","0","108","0"
"20",70102,"31","13","0","18","0"
"20",70103,"13","5","0","8","0"
"20",70104,"2","1","0","1","0"
"20",70109,"0","0","0","0","0"
"20",70199,"","","","",""
"20",70200,"0","0","0","0","0"
"20",70201,"0","0","0","0","0"
"20",70202,"0","0","0","0","0"
"20",70203,"0","0","0","0","0"
"20",70204,"0","0","0","0","0"
"20",70205,"0","0","0","0","0"
"20",70206,"0","0","0","0","0"
"20",70209,"0","0","0","0","0"
"20",70299,"","","","",""
"20",70300,"1","1","0","0","0"
"20",70400,"0","0","0","0","0"
"20",70500,"0","0","0","0","0"
"20",70600,"0","0","0","0","0"
"20",70900,"0","0","0","0","0"
"20",80100,"252","45","0","207","0"
"20",80101,"252","45","0","207","0"
"20",80102,"0","0","0","0","0"
"20",80103,"0","0","0","0","0"
"20",80104,"0","0","0","0","0"
"20",80105,"0","0","0","0","0"
"20",80106,"0","0","0","0","0"
"20",80107,"0","0","0","0","0"
"20",80109,"0","0","0","0","0"
"20",80199,"","","","",""
"20",80200,"0","0","0","0","0"
"20",80201,"0","0","0","0","0"
"20",80209,"0","0","0","0","0"
"20",80299,"","","","",""
"20",80300,"0","0","0","0","0"
"20",80400,"31","1","0","30","0"
"20",80900,"0","0","0","0","0"
"20",90100,"1200","291","0","909","0"
"20",90200,"269","117","0","152","0"
"20",90300,"25","9","0","16","0"
"20",90400,"203","70","0","133","0"
"20",90500,"0","0","0","0","0"
"20",90501,"0","0","0","0","0"
"20",90502,"0","0","0","0","0"
"20",90503,"0","0","0","0","0"
"20",90509,"0","0","0","0","0"
"20",90599,"","","","",""
"20",90600,"0","0","0","0","0"
"20",90700,"0","0","0","0","0"
"20",90701,"0","0","0","0","0"
"20",90709,"0","0","0","0","0"
"20",90799,"","","","",""
"20",90800,"0","0","0","0","0"
"20",90900,"0","0","0","0","0"
"20",91000,"0","0","0","0","0"
"20",91100,"103","43","0","60","0"
"20",91200,"0","0","0","0","0"
"20",91300,"0","0","0","0","0"
"20",91400,"0","0","0","0","0"
"20",91500,"0","0","0","0","0"
"20",91600,"0","0","0","0","0"
"20",91900,"2451","771","0","1680","0"
"20",999999,"","","","",""
"21",10100,"1235","324","6","891","14"
"21",10200,"0","0","0","0","0"
"21",10300,"13","5","0","8","0"
"21",10400,"5476","3082","1","2390","3"
"21",10900,"57","26","0","31","0"
"21",20100,"284","122","3","153","6"
"21",20200,"0","0","0","0","0"
"21",20300,"442","200","0","242","0"
"21",20400,"1","1","0","0","0"
"21",20500,"6","2","0","4","0"
"21",20600,"34","6","0","26","2"
"21",20601,"34","6","0","26","2"
"21",20602,"0","0","0","0","0"
"21",20603,"0","0","0","0","0"
"21",20604,"0","0","0","0","0"
"21",20609,"0","0","0","0","0"
"21",20699,"","","","",""
"21",20900,"22","1","3","11","7"
"21",30100,"0","0","0","0","0"
"21",30200,"94","35","0","59","0"
"21",30300,"24","14","0","10","0"
"21",30400,"588","144","12","393","39"
"21",30500,"112","19","0","93","0"
"21",30600,"131","48","0","83","0"
"21",30700,"0","0","0","0","0"
"21",30900,"425","165","0","259","1"
"21",40100,"22129","8166","298","13525","140"
"21",40101,"0","0","0","0","0"
"21",40102,"2126","821","16","1277","12"
"21",40103,"4808","1131","224","3401","52"
"21",40104,"300","191","3","105","1"
"21",40105,"1252","542","25","674","11"
"21",40106,"9","7","0","2","0"
"21",40107,"0","0","0","0","0"
"21",40108,"803","156","1","645","1"
"21",40109,"149","59","1","89","0"
"21",40110,"209","116","0","93","0"
"21",40111,"670","304","4","353","9"
"21",40112,"5","3","0","2","0"
"21",40113,"2096","723","8","1352","13"
"21",40114,"232","18","0","210","4"
"21",40115,"57","16","0","41","0"
"21",40116,"2","1","0","1","0"
"21",40119,"9411","4078","16","5280","37"
"21",40199,"","","","",""
"21",40200,"0","0","0","0","0"
"21",40300,"2863","1637","5","1215","6"
"21",40400,"694","423","1","270","0"
"21",40500,"171","53","11","69","38"
"21",40501,"171","53","11","69","38"
"21",40509,"0","0","0","0","0"
"21",40599,"","","","",""
"21",40600,"2228","1438","0","790","0"
"21",40700,"857","457","3","396","1"
"21",40900,"0","0","0","0","0"
"21",50100,"5586","2052","0","3534","0"
"21",50200,"15","0","0","15","0"
"21",50900,"33","5","0","28","0"
"21",60100,"93","34","0","59","0"
"21",60101,"32","13","0","19","0"
"21",60102,"0","0","0","0","0"
"21",60103,"10","2","0","8","0"
"21",60104,"0","0","0","0","0"
"21",60105,"0","0","0","0","0"
"21",60106,"0","0","0","0","0"
"21",60109,"51","19","0","32","0"
"21",60199,"","","","",""
"21",60200,"18","7","0","11","0"
"21",60201,"13","5","0","8","0"
"21",60202,"2","0","0","2","0"
"21",60203,"0","0","0","0","0"
"21",60209,"3","2","0","1","0"
"21",60299,"","","","",""
"21",60300,"0","0","0","0","0"
"21",60400,"12","1","0","11","0"
"21",60900,"34","17","0","17","0"
"21",70100,"518","352","0","166","0"
"21",70101,"373","222","0","151","0"
"21",70102,"0","0","0","0","0"
"21",70103,"47","36","0","11","0"
"21",70104,"98","94","0","4","0"
"21",70109,"0","0","0","0","0"
"21",70199,"","","","",""
"21",70200,"0","0","0","0","0"
"21",70201,"0","0","0","0","0"
"21",70202,"0","0","0","0","0"
"21",70203,"0","0","0","0","0"
"21",70204,"0","0","0","0","0"
"21",70205,"0","0","0","0","0"
"21",70206,"0","0","0","0","0"
"21",70209,"0","0","0","0","0"
"21",70299,"","","","",""
"21",70300,"7","3","0","4","0"
"21",70400,"33","25","0","8","0"
"21",70500,"0","0","0","0","0"
"21",70600,"0","0","0","0","0"
"21",70900,"42","9","1","32","0"
"21",80100,"569","231","0","337","1"
"21",80101,"0","0","0","0","0"
"21",80102,"485","167","0","317","1"
"21",80103,"67","55","0","12","0"
"21",80104,"6","1","0","5","0"
"21",80105,"3","1","0","2","0"
"21",80106,"4","3","0","1","0"
"21",80107,"3","3","0","0","0"
"21",80109,"1","1","0","0","0"
"21",80199,"","","","",""
"21",80200,"41","25","0","16","0"
"21",80201,"0","0","0","0","0"
"21",80209,"41","25","0","16","0"
"21",80299,"","","","",""
"21",80300,"0","0","0","0","0"
"21",80400,"13","7","0","6","0"
"21",80900,"0","0","0","0","0"
"21",90100,"2054","1582","0","472","0"
"21",90200,"210","134","0","76","0"
"21",90300,"105","72","0","33","0"
"21",90400,"302","207","0","94","1"
"21",90500,"12","2","0","10","0"
"21",90501,"1","0","0","1","0"
"21",90502,"0","0","0","0","0"
"21",90503,"7","1","0","6","0"
"21",90509,"4","1","0","3","0"
"21",90599,"","","","",""
"21",90600,"81","13","0","68","0"
"21",90700,"0","0","0","0","0"
"21",90701,"0","0","0","0","0"
"21",90709,"0","0","0","0","0"
"21",90799,"","","","",""
"21",90800,"0","0","0","0","0"
"21",90900,"0","0","0","0","0"
"21",91000,"0","0","0","0","0"
"21",91100,"0","0","0","0","0"
"21",91200,"35","14","0","21","0"
"21",91300,"0","0","0","0","0"
"21",91400,"123","92","0","31","0"
"21",91500,"0","0","0","0","0"
"21",91600,"0","0","0","0","0"
"21",91900,"818","384","1","433","0"
"21",999999,"","","","",""
"22",10100,"471","117","19","305","30"
"22",10200,"0","0","0","0","0"
"22",10300,"11","6","0","5","0"
"22",10400,"4433","1179","1","3252","1"
"22",10900,"388","205","0","183","0"
"22",20100,"23","7","0","16","0"
"22",20200,"0","0","0","0","0"
"22",20300,"26","0","0","26","0"
"22",20400,"0","0","0","0","0"
"22",20500,"0","0","0","0","0"
"22",20600,"12","3","0","9","0"
"22",20601,"12","3","0","9","0"
"22",20602,"0","0","0","0","0"
"22",20603,"0","0","0","0","0"
"22",20604,"0","0","0","0","0"
"22",20609,"0","0","0","0","0"
"22",20699,"","","","",""
"22",20900,"1","0","0","1","0"
"22",30100,"289","97","0","192","0"
"22",30200,"37","24","0","13","0"
"22",30300,"0","0","0","0","0"
"22",30400,"270","102","6","151","11"
"22",30500,"43","5","0","38","0"
"22",30600,"21","9","0","12","0"
"22",30700,"0","0","0","0","0"
"22",30900,"0","0","0","0","0"
"22",40100,"22072","5959","82","15868","163"
"22",40101,"1102","511","0","591","0"
"22",40102,"3332","797","10","2484","41"
"22",40103,"4882","1322","9","3539","12"
"22",40104,"455","90","4","359","2"
"22",40105,"1741","462","12","1260","7"
"22",40106,"0","0","0","0","0"
"22",40107,"0","0","0","0","0"
"22",40108,"117","38","0","78","1"
"22",40109,"56","16","0","40","0"
"22",40110,"595","192","0","403","0"
"22",40111,"308","119","0","189","0"
"22",40112,"4","2","1","1","0"
"22",40113,"2649","670","19","1938","22"
"22",40114,"267","33","1","226","7"
"22",40115,"6","2","0","4","0"
"22",40116,"0","0","0","0","0"
"22",40119,"6558","1705","26","4756","71"
"22",40199,"","","","",""
"22",40200,"0","0","0","0","0"
"22",40300,"1807","742","3","1062","0"
"22",40400,"624","281","0","343","0"
"22",40500,"11","5","0","6","0"
"22",40501,"0","0","0","0","0"
"22",40509,"11","5","0","6","0"
"22",40599,"","","","",""
"22",40600,"3996","984","0","3012","0"
"22",40700,"551","225","2","324","0"
"22",40900,"19","10","0","9","0"
"22",50100,"1016","437","0","579","0"
"22",50200,"820","344","0","476","0"
"22",50900,"58","42","0","16","0"
"22",60100,"0","0","0","0","0"
"22",60101,"0","0","0","0","0"
"22",60102,"0","0","0","0","0"
"22",60103,"0","0","0","0","0"
"22",60104,"0","0","0","0","0"
"22",60105,"0","0","0","0","0"
"22",60106,"0","0","0","0","0"
"22",60109,"0","0","0","0","0"
"22",60199,"","","","",""
"22",60200,"8","2","0","6","0"
"22",60201,"4","0","0","4","0"
"22",60202,"0","0","0","0","0"
"22",60203,"0","0","0","0","0"
"22",60209,"4","2","0","2","0"
"22",60299,"","","","",""
"22",60300,"0","0","0","0","0"
"22",60400,"13","10","0","3","0"
"22",60900,"972","505","0","467","0"
"22",70100,"654","222","0","432","0"
"22",70101,"441","110","0","331","0"
"22",70102,"213","112","0","101","0"
"22",70103,"0","0","0","0","0"
"22",70104,"0","0","0","0","0"
"22",70109,"0","0","0","0","0"
"22",70199,"","","","",""
"22",70200,"0","0","0","0","0"
"22",70201,"0","0","0","0","0"
"22",70202,"0","0","0","0","0"
"22",70203,"0","0","0","0","0"
"22",70204,"0","0","0","0","0"
"22",70205,"0","0","0","0","0"
"22",70206,"0","0","0","0","0"
"22",70209,"0","0","0","0","0"
"22",70299,"","","","",""
"22",70300,"0","0","0","0","0"
"22",70400,"53","17","0","36","0"
"22",70500,"0","0","0","0","0"
"22",70600,"0","0","0","0","0"
"22",70900,"0","0","0","0","0"
"22",80100,"135","36","0","99","0"
"22",80101,"0","0","0","0","0"
"22",80102,"117","31","0","86","0"
"22",80103,"7","1","0","6","0"
"22",80104,"4","0","0","4","0"
"22",80105,"2","0","0","2","0"
"22",80106,"0","0","0","0","0"
"22",80107,"0","0","0","0","0"
"22",80109,"5","4","0","1","0"
"22",80199,"","","","",""
"22",80200,"64","32","0","32","0"
"22",80201,"0","0","0","0","0"
"22",80209,"64","32","0","32","0"
"22",80299,"","","","",""
"22",80300,"0","0","0","0","0"
"22",80400,"7","1","0","6","0"
"22",80900,"80","37","0","43","0"
"22",90100,"1761","493","0","1268","0"
"22",90200,"153","41","0","112","0"
"22",90300,"79","49","0","30","0"
"22",90400,"581","262","0","319","0"
"22",90500,"11","6","0","5","0"
"22",90501,"0","0","0","0","0"
"22",90502,"0","0","0","0","0"
"22",90503,"0","0","0","0","0"
"01",10100,"236","65","0","171","0"
"01",10200,"0","0","0","0","0"
"01",10300,"12","6","0","6","0"
"01",10400,"2602","917","0","1685","0"
"01",10900,"5","0","0","0","5"
"01",20100,"21","15","0","6","0"
"01",20200,"0","0","0","0","0"
"01",20300,"80","24","0","56","0"
"01",20400,"0","0","0","0","0"
"01",20500,"0","0","0","0","0"
"01",20600,"2","0","0","2","0"
"01",20601,"2","0","0","2","0"
"01",20602,"0","0","0","0","0"
"01",20603,"0","0","0","0","0"
"01",20604,"0","0","0","0","0"
"01",20609,"0","0","0","0","0"
"01",20699,"","","","",""
"01",20900,"0","0","0","0","0"
"01",30100,"0","0","0","0","0"
"01",30200,"0","0","0","0","0"
"01",30300,"3","1","0","2","0"
"01",30400,"96","32","0","64","0"
"01",30500,"48","17","0","31","0"
"01",30600,"20","8","0","12","0"
"01",30700,"1","1","0","0","0"
"01",30900,"227","90","0","137","0"
"01",40100,"11122","4166","17","6910","29"
"01",40101,"41","21","0","20","0"
"01",40102,"2459","886","0","1573","0"
"01",40103,"2598","858","0","1740","0"
"01",40104,"1181","545","0","636","0"
"01",40105,"1350","682","0","668","0"
"01",40106,"1","1","0","0","0"
"01",40107,"0","0","0","0","0"
"01",40108,"0","0","0","0","0"
"01",40109,"33","8","0","25","0"
"01",40110,"4","3","0","1","0"
"01",40111,"24","18","0","6","0"
"01",40112,"1","1","0","0","0"
"01",40113,"1396","557","0","839","0"
"01",40114,"170","55","0","115","0"
"01",40115,"3","1","0","2","0"
"01",40116,"0","0","0","0","0"
"01",40119,"1861","530","17","1285","29"
"01",40199,"","","","",""
"01",40200,"NA","NA","NA","NA","NA"
"01",40300,"614","260","0","354","0"
"01",40400,"385","181","0","204","0"
"01",40500,"93","30","14","42","7"
"01",40501,"0","0","0","0","0"
"01",40509,"93","30","14","42","7"
"01",40599,"","","","",""
"01",40600,"1323","456","0","867","0"
"01",40700,"126","55","0","71","0"
"01",40900,"0","0","0","0","0"
"01",50100,"622","241","0","381","0"
"01",50200,"102","45","0","57","0"
"01",50900,"0","0","0","0","0"
"01",60100,"62","26","0","36","0"
"01",60101,"55","23","0","32","0"
"01",60102,"0","0","0","0","0"
"01",60103,"7","3","0","4","0"
"01",60104,"0","0","0","0","0"
"01",60105,"0","0","0","0","0"
"01",60106,"0","0","0","0","0"
"01",60109,"0","0","0","0","0"
"01",60199,"","","","",""
"01",60200,"1","0","0","1","0"
"01",60201,"0","0","0","0","0"
"01",60202,"0","0","0","0","0"
"01",60203,"0","0","0","0","0"
"01",60209,"1","0","0","1","0"
"01",60299,"","","","",""
"01",60300,"0","0","0","0","0"
"01",60400,"5","3","0","2","0"
"01",60900,"0","0","0","0","0"
"01",70100,"429","190","0","239","0"
"01",70101,"307","149","0","158","0"
"01",70102,"4","1","0","3","0"
"01",70103,"113","38","0","75","0"
"01",70104,"5","2","0","3","0"
"01",70109,"0","0","0","0","0"
"01",70199,"","","","",""
"01",70200,"NA","NA","NA","NA","NA"
"01",70201,"NA","NA","NA","NA","NA"
"01",70202,"NA","NA","NA","NA","NA"
"01",70203,"NA","NA","NA","NA","NA"
"01",70204,"NA","NA","NA","NA","NA"
"01",70205,"NA","NA","NA","NA","NA"
"01",70206,"NA","NA","NA","NA","NA"
"01",70209,"NA","NA","NA","NA","NA"
"01",70299,"","","","",""
"01",70300,"1","1","0","0","0"
"01",70400,"0","0","0","0","0"
"01",70500,"NA","NA","NA","NA","NA"
"01",70600,"NA","NA","NA","NA","NA"
"01",70900,"0","0","0","0","0"
"01",80100,"76","22","0","54","0"
"01",80101,"31","4","0","27","0"
"01",80102,"37","13","0","24","0"
"01",80103,"7","4","0","3","0"
"01",80104,"1","1","0","0","0"
"01",80105,"0","0","0","0","0"
"01",80106,"0","0","0","0","0"
"01",80107,"0","0","0","0","0"
"01",80109,"0","0","0","0","0"
"01",80199,"","","","",""
"01",80200,"0","0","0","0","0"
"01",80201,"0","0","0","0","0"
"01",80209,"0","0","0","0","0"
"01",80299,"","","","",""
"01",80300,"5","2","0","3","0"
"01",80400,"14","5","0","9","0"
"01",80900,"0","0","0","0","0"
"01",90100,"823","231","0","592","0"
"01",90200,"114","37","0","77","0"
"01",90300,"54","30","0","24","0"
"01",90400,"230","112","0","118","0"
"01",90500,"1","0","0","1","0"
"01",90501,"0","0","0","0","0"
"01",90502,"0","0","0","0","0"
"01",90503,"0","0","0","0","0"
"01",90509,"1","0","0","1","0"
"01",90599,"","","","",""
"01",90600,"1","0","0","1","0"
"01",90700,"0","0","0","0","0"
"01",90701,"0","0","0","0","0"
"01",90709,"0","0","0","0","0"
"01",90799,"","","","",""
"01",90800,"0","0","0","0","0"
"01",90900,"0","0","0","0","0"
"01",91000,"0","0","0","0","0"
"01",91100,"0","0","0","0","0"
"01",91200,"0","0","0","0","0"
"01",91300,"0","0","0","0","0"
"01",91400,"158","108","0","50","0"
"01",91500,"0","0","0","0","0"
"01",91600,"1","1","0","0","0"
"01",91900,"3122","537","0","2585","0"
"01",999999,"","","","",""
"02",10100,"1552","497","40","1015","0"
"02",10200,"2","0","0","2","0"
"02",10300,"41","6","0","35","0"
"02",10400,"8962","2838","0","6124","0"
"02",10900,"495","63","0","432","0"
"02",20100,"587","139","11","437","0"
"02",20200,"0","0","0","0","0"
"02",20300,"329","72","2","255","0"
"02",20400,"0","0","0","0","0"
"02",20500,"0","0","0","0","0"
"02",20600,"15","9","1","5","0"
"02",20601,"15","9","1","5","0"
"02",20602,"0","0","0","0","0"
"02",20603,"0","0","0","0","0"
"02",20604,"0","0","0","0","0"
"02",20609,"0","0","0","0","0"
"02",20699,"","","","",""
"02",20900,"0","0","0","0","0"
"02",30100,"1011","267","0","744","0"
"02",30200,"0","0","0","0","0"
"02",30300,"78","21","0","57","0"
