entidad,mater_ja,prosoltt,prosol1,prosol2,prosol4,prosol5,prosol7,prosol8,prosol10,prosol11,prosolst,no_aplic
"15",1,"3756","NSS","NSS","3660","NSS","96","NSS","","","",""
"15",2,"1610","NSS","NSS","1509","NSS","101","NSS","","","",""
"15",3,"12487","NSS","NSS","11620","NSS","867","NSS","","","",""
"15",4,"399","NSS","NSS","102","NSS","297","NSS","","","",""
"15",5,"3","NSS","NSS","1","NSS","2","NSS","","","",""
"15",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"15",7,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"15",8,"2294","NSS","NSS","2292","NSS","2","NSS","","","",""
"16",1,"1625","0","0","1143","0","482","0","","","",""
"16",2,"426","0","0","327","0","99","0","","","",""
"16",3,"2184","0","0","1186","0","998","0","","","",""
"16",4,"321","0","0","0","0","321","0","","","",""
"16",5,"6","0","0","0","0","6","0","","","",""
"16",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"16",7,"0","0","0","0","0","0","0","","","",""
"16",8,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"17",1,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"17",2,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"17",3,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"17",4,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"17",5,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"17",6,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"17",7,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"17",8,"NA","NA","NA","NA","NA","NA","NA","","","","NA"
"18",1,"890","0","0","566","295","26","3","","","",""
"18",2,"845","0","0","488","281","74","2","","","",""
"18",3,"548","0","0","300","183","64","1","","","",""
"18",4,"0","0","0","0","0","0","0","","","",""
"18",5,"0","0","0","0","0","0","0","","","",""
"18",6,"0","0","0","0","0","0","0","","","",""
"18",7,"0","0","0","0","0","0","0","","","",""
"18",8,"0","0","0","0","0","0","0","","","",""
"19",1,"521","NSS","0","NSS","0","NSS","0","521","","521",""
"19",2,"297","NSS","0","NSS","0","NSS","0","297","","297",""
"19",3,"1609","NSS","0","NSS","0","NSS","0","1609","","1609",""
"19",4,"1602","NSS","0","NSS","0","NSS","0","1602","","1602",""
"19",5,"36","NSS","0","NSS","0","NSS","0","36","","36",""
"19",6,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"19",7,"0","0","0","0","0","0","0","","","",""
"19",8,"135","NSS","0","NSS","0","NSS","0","135","","135",""
"20",1,"404","0","0","403","1","0","0","","","",""
"20",2,"223","0","0","222","1","0","0","","","",""
"20",3,"792","0","0","791","1","0","0","","","",""
"20",4,"283","0","0","281","2","0","0","","","",""
"20",5,"26","0","0","26","0","0","0","","","",""
"20",6,"0","0","0","0","0","0","0","","","",""
"20",7,"0","0","0","0","0","0","0","","","",""
"20",8,"58","0","0","58","0","0","0","","","",""
"21",1,"2570","20","0","2550","0","0","0","","","",""
"21",2,"634","0","0","634","0","0","0","","","",""
"21",3,"3680","10","0","3670","0","0","0","","","",""
"21",4,"NA","NA","NA","NA","NA","NA","NA","","","","1"
"21",5,"NA","NA","NA","NA","NA","NA","NA","","","","1"
