entidad,ocupacio,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"24",9,"NSS","NSS","NSS","NSS","NSS"
"24",10,"NSS","NSS","NSS","NSS","NSS"
"24",11,"19859","1935","1963","7986","7975"
"25",1,"498","120","23","273","82"
"25",2,"4429","813","710","1553","1353"
"25",3,"58","9","9","22","18"
"25",4,"1800","411","160","808","421"
"25",5,"45","9","0","34","2"
"25",6,"865","177","9","650","29"
"25",7,"10","1","0","7","2"
"25",8,"380","107","7","249","17"
"25",9,"8936","1267","1324","3234","3111"
"25",10,"2471","836","321","913","401"
"25",11,"496","25","9","393","69"
"26",1,"454","153","59","188","54"
"26",2,"2140","355","262","986","537"
"26",3,"142","21","52","24","45"
"26",4,"2849","512","405","1213","719"
"26",5,"175","52","3","105","15"
"26",6,"1166","397","92","628","49"
"26",7,"125","15","5","86","19"
"26",8,"530","177","12","318","23"
"26",9,"11273","1614","1813","4505","3341"
"26",10,"8303","1038","2719","951","3595"
"26",11,"13175","997","759","7691","3728"
"27",1,"797","365","151","207","74"
"27",2,"2014","809","440","504","261"
"27",3,"232","54","73","48","57"
"27",4,"1430","559","388","300","183"
"27",5,"89","45","8","30","6"
"27",6,"941","192","7","711","31"
"27",7,"9","3","2","2","2"
"27",8,"709","400","10","293","6"
"27",9,"4565","379","1667","643","1876"
"27",10,"1715","653","617","265","180"
"27",11,"87288","7771","2870","49820","26827"
"28",1,"104","83","21","0","0"
"28",2,"1723","406","323","390","604"
"28",3,"5933","1482","772","1580","2099"
"28",4,"1004","604","341","34","25"
"28",5,"5562","48","3","2878","2633"
"28",6,"4186","177","9","1750","2250"
"28",7,"6178","0","0","2260","3918"
"28",8,"1115","211","7","463","434"
"28",9,"13282","2582","2210","4195","4295"
"28",10,"296","193","103","0","0"
"28",11,"6215","1146","399","2734","1936"
"29",1,"NSS","NSS","NSS","NSS","NSS"
"29",2,"NSS","NSS","NSS","NSS","NSS"
"29",3,"NSS","NSS","NSS","NSS","NSS"
"29",4,"NSS","NSS","NSS","NSS","NSS"
"29",5,"NSS","NSS","NSS","NSS","NSS"
"29",6,"NSS","NSS","NSS","NSS","NSS"
"29",7,"NSS","NSS","NSS","NSS","NSS"
"29",8,"NSS","NSS","NSS","NSS","NSS"
"29",9,"NSS","NSS","NSS","NSS","NSS"
"29",10,"NSS","NSS","NSS","NSS","NSS"
"29",11,"4698","1583","801","1555","759"
"30",1,"23","1","1","13","8"
"30",2,"2823","306","156","1399","962"
"30",3,"13036","1104","740","7063","4129"
"30",4,"3995","354","266","2108","1267"
"30",5,"7735","90","1189","465","5991"
"30",6,"3279","649","24","2486","120"
"30",7,"1461","213","20","1057","171"
"30",8,"1865","192","6","1625","42"
"30",9,"804","245","66","279","214"
"30",10,"4073","421","387","1762","1503"
"30",11,"10815","1009","420","6278","3108"
"31",1,"77","NA","NA","50","27"
"31",2,"1616","NA","NA","1403","213"
"31",3,"212","NA","NA","53","159"
"31",4,"2653","NA","NA","1599","1054"
