entidad,rangedae,sexostt,sexos1,sexos2
"26",1,"7","2","5"
"26",2,"21","8","13"
"26",3,"40","14","26"
"26",4,"49","19","30"
"26",5,"62","26","36"
"26",6,"46","23","23"
"26",7,"34","14","20"
"26",8,"15","9","6"
"26",9,"37","19","18"
"26",99,"","",""
"27",1,"35","18","17"
"27",2,"34","13","21"
"27",3,"68","39","29"
"27",4,"80","47","33"
"27",5,"57","34","23"
"27",6,"34","17","17"
"27",7,"16","11","5"
"27",8,"10","5","5"
"27",9,"15","9","6"
"27",99,"","",""
"28",1,"27","14","13"
"28",2,"95","41","54"
"28",3,"109","52","57"
"28",4,"77","44","33"
"28",5,"73","32","41"
"28",6,"69","36","33"
"28",7,"51","22","29"
"28",8,"30","18","12"
"28",9,"31","16","15"
"28",99,"","",""
"29",1,"4","3","1"
"29",2,"11","6","5"
"29",3,"18","9","9"
"29",4,"18","7","11"
"29",5,"23","10","13"
"29",6,"17","8","9"
"29",7,"14","9","5"
"29",8,"5","1","4"
"29",9,"10","8","2"
"29",99,"","",""
"30",1,"9","5","4"
"30",2,"35","19","16"
"30",3,"49","27","22"
"30",4,"68","40","28"
"30",5,"76","47","29"
"30",6,"51","22","29"
"30",7,"29","16","13"
"30",8,"31","12","19"
"30",9,"41","34","7"
"30",99,"","",""
"31",1,"5","4","1"
"31",2,"36","14","22"
"31",3,"66","29","37"
"31",4,"88","57","31"
"31",5,"77","48","29"
"31",6,"61","34","27"
"31",7,"35","13","22"
"31",8,"8","5","3"
"31",9,"11","7","4"
"31",99,"","",""
"32",1,"0","0","0"
"32",2,"6","6","0"
"32",3,"20","16","4"
"32",4,"31","16","15"
"32",5,"17","8","9"
"32",6,"26","13","13"
"32",7,"20","11","9"
"32",8,"6","3","3"
"32",9,"9","4","5"
"32",99,"","",""
