entidad,re_snn1,totalca1
"01",1,"1262"
"02",1,"9881"
"03",1,"1761"
"04",1,"62"
"05",1,"1301"
"06",1,"145"
"07",1,"1804"
"08",1,"23"
"09",2,"NA"
"10",1,"3164"
"12",1,"2282"
"13",1,"300"
"14",1,"4998"
"15",1,"14487"
"16",1,"1947"
"17",1,"652"
"18",1,"2427"
"19",1,"9258"
"20",1,"1075"
"21",1,"4158"
"22",1,"926"
"23",1,"756"
"24",1,"NSS"
"25",1,"1186"
"26",1,"6632"
"27",1,"2955"
"28",1,"2859"
"29",1,"552"
"30",1,"2365"
"31",1,"2"
"32",9,"NSS"
