entidad,delselec,edadse1,edadse2,edadse3,edadse4,edadse5,edadse6,edadse7,edadse8,edadse9,edadse10,edadse11,edadse12,edadse13,edadse14,edadse15,edadse16,edadse17,edadse18,edadse19,edadse20,edadse21,edadse22,edadse23,edadse24,edadse25,edadse26,edadse27,edadse28
"05",10101,"0","0","0","NSS","0","0","0","0","0","0","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","NSS","0","NSS","NSS","0","0","NSS","49","9"
"05",10102,"0","0","0","NSS","0","0","0","0","0","0","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","NSS","0","NSS","NSS","0","0","NSS","17","3"
"05",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"05",60299,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"05",999999,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06",10101,"0","0","0","0","0","0","0","0","NSS","0","0","0","0","0","NSS","0","0","0","0","0","NSS","0","0","0","0","0","0","0"
"06",10102,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60200,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60201,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60202,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60203,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60209,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06",60299,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"06",999999,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07",10101,"0","0","NSS","0","0","0","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","0","NSS","0","NSS","NSS","NSS","NSS"
"07",10102,"0","0","NSS","0","0","0","NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","0","NSS","0","NSS","NSS","NSS","NSS"
"07",60200,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60201,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60202,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60203,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60209,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS"
"07",60299,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"07",999999,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
