entidad,coansele,contentt,conten1,conten2
"01",1,"0","0","0"
"01",2,"0","0","0"
"01",3,"0","0","0"
"01",4,"0","0","0"
"01",5,"0","0","0"
"01",6,"0","0","0"
"01",7,"0","0","0"
"01",8,"0","0","0"
"01",9,"0","0","0"
"01",10,"0","0","0"
"01",11,"0","0","0"
"01",12,"0","0","0"
"01",13,"0","0","0"
"01",14,"0","0","0"
"01",15,"0","0","0"
"02",1,"1","1","0"
"02",2,"0","0","0"
"02",3,"0","0","0"
"02",4,"0","0","0"
"02",5,"0","0","0"
"02",6,"0","0","0"
"02",7,"0","0","0"
"02",8,"0","0","0"
"02",9,"0","0","0"
"02",10,"0","0","0"
"02",11,"2","2","0"
"02",12,"0","0","0"
"02",13,"0","0","0"
"02",14,"0","0","0"
"02",15,"0","0","0"
"03",1,"0","0","0"
"03",2,"0","0","0"
"03",3,"0","0","0"
"03",4,"0","0","0"
"03",5,"0","0","0"
"03",6,"0","0","0"
"03",7,"0","0","0"
"03",8,"0","0","0"
"03",9,"0","0","0"
"03",10,"0","0","0"
"03",11,"0","0","0"
"03",12,"0","0","0"
"03",13,"0","0","0"
"03",14,"0","0","0"
"03",15,"0","0","0"
"04",1,"4","4","0"
"04",2,"0","0","0"
"04",3,"0","0","0"
"04",4,"0","0","0"
"04",5,"0","0","0"
"04",6,"0","0","0"
"04",7,"0","0","0"
"04",8,"0","0","0"
"04",9,"0","0","0"
"04",10,"0","0","0"
"04",11,"0","0","0"
"04",12,"0","0","0"
"04",13,"0","0","0"
"04",14,"0","0","0"
"04",15,"0","0","0"
"05",1,"2","2","0"
"05",2,"1","1","0"
"05",3,"0","0","0"
"05",4,"3","3","0"
"05",5,"0","0","0"
"05",6,"0","0","0"
"05",7,"0","0","0"
"05",8,"0","0","0"
"05",9,"0","0","0"
"05",10,"0","0","0"
"05",11,"2","2","0"
"05",12,"0","0","0"
"05",13,"0","0","0"
"05",14,"0","0","0"
"05",15,"0","0","0"
"07",1,"1","1","0"
"07",2,"0","0","0"
"07",3,"0","0","0"
"07",4,"2","2","0"
"07",5,"0","0","0"
"07",6,"0","0","0"
"07",7,"0","0","0"
"07",8,"0","0","0"
"07",9,"0","0","0"
"07",10,"0","0","0"
"07",11,"0","0","0"
"07",12,"0","0","0"
"07",13,"0","0","0"
"07",14,"0","0","0"
"07",15,"0","0","0"
"08",1,"39","38","1"
"08",2,"7","7","0"
"08",3,"16","16","0"
"08",4,"5","5","0"
"08",5,"0","0","0"
"08",6,"0","0","0"
"08",7,"0","0","0"
"08",8,"0","0","0"
"08",9,"0","0","0"
"08",10,"0","0","0"
"08",11,"15","12","3"
"08",12,"0","0","0"
"08",13,"0","0","0"
"08",14,"0","0","0"
"08",15,"0","0","0"
"09",1,"6","6","0"
"09",2,"0","0","0"
"09",3,"2","2","0"
"09",4,"50","50","0"
"09",5,"0","0","0"
"09",6,"0","0","0"
"09",7,"0","0","0"
"09",8,"5","5","0"
"09",9,"0","0","0"
"09",10,"0","0","0"
"09",11,"0","0","0"
"09",12,"0","0","0"
"09",13,"0","0","0"
"09",14,"0","0","0"
"09",15,"1","1","0"
"10",1,"0","0","0"
"10",2,"18","18","0"
"10",3,"5","5","0"
"10",4,"18","18","0"
"10",5,"0","0","0"
"10",6,"0","0","0"
"10",7,"0","0","0"
"10",8,"0","0","0"
"10",9,"0","0","0"
"10",10,"0","0","0"
"10",11,"18","18","0"
"10",12,"0","0","0"
"10",13,"0","0","0"
"10",14,"0","0","0"
"10",15,"0","0","0"
"11",1,"7","7","0"
"11",2,"2","2","0"
"11",3,"4","4","0"
"11",4,"3","3","0"
"11",5,"0","0","0"
"11",6,"0","0","0"
"11",7,"0","0","0"
"11",8,"0","0","0"
"11",9,"0","0","0"
"11",10,"0","0","0"
"11",11,"7","7","0"
"11",12,"0","0","0"
"11",13,"0","0","0"
"11",14,"0","0","0"
"11",15,"32","31","1"
"12",1,"7","7","0"
"12",2,"1","1","0"
"12",3,"0","0","0"
"12",4,"1","1","0"
"12",5,"0","0","0"
"12",6,"0","0","0"
"12",7,"0","0","0"
"12",8,"0","0","0"
"12",9,"0","0","0"
"12",10,"0","0","0"
"12",11,"0","0","0"
"12",12,"0","0","0"
"12",13,"0","0","0"
"12",14,"0","0","0"
"12",15,"0","0","0"
"13",1,"0","0","0"
"13",2,"0","0","0"
"13",3,"0","0","0"
"13",4,"0","0","0"
"13",5,"0","0","0"
"13",6,"0","0","0"
"13",7,"0","0","0"
"13",8,"0","0","0"
"13",9,"0","0","0"
"13",10,"0","0","0"
"13",11,"0","0","0"
"13",12,"0","0","0"
"13",13,"0","0","0"
"13",14,"0","0","0"
"13",15,"0","0","0"
"14",1,"1","0","1"
"14",2,"0","0","0"
"14",3,"0","0","0"
"14",4,"0","0","0"
"14",5,"0","0","0"
"14",6,"0","0","0"
"14",7,"0","0","0"
"14",8,"0","0","0"
"14",9,"0","0","0"
"14",10,"0","0","0"
"14",11,"0","0","0"
"14",12,"0","0","0"
"14",13,"0","0","0"
"14",14,"0","0","0"
"14",15,"0","0","0"
"15",1,"1","1","0"
"15",2,"4","4","0"
"15",3,"5","5","0"
"15",4,"0","0","0"
"15",5,"0","0","0"
"15",6,"0","0","0"
"15",7,"0","0","0"
"15",8,"4","4","0"
"15",9,"0","0","0"
"15",10,"0","0","0"
"15",11,"0","0","0"
"15",12,"0","0","0"
"15",13,"0","0","0"
"15",14,"0","0","0"
"15",15,"1","1","0"
"16",1,"NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS"
"16",8,"NSS","NSS","NSS"
"16",9,"NSS","NSS","NSS"
"16",10,"NSS","NSS","NSS"
"16",11,"NSS","NSS","NSS"
