entidad,rangedad,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"22",5,"827","189","74","399","165"
"22",6,"638","164","51","315","108"
"22",7,"424","108","35","194","87"
"22",8,"227","59","22","108","38"
"22",9,"313","66","30","160","57"
"22",10,"14716","760","207","10255","3494"
"23",1,"345","235","110","NSS","NSS"
"23",2,"229","130","99","NSS","NSS"
"23",3,"336","221","115","NSS","NSS"
"23",4,"221","121","100","NSS","NSS"
"23",5,"225","150","75","NSS","NSS"
"23",6,"219","180","39","NSS","NSS"
"23",7,"118","80","38","NSS","NSS"
"23",8,"92","60","32","NSS","NSS"
"23",9,"121","76","45","NSS","NSS"
"23",10,"13600","NSS","NSS","9748","3852"
"24",1,"770","250","24","395","101"
"24",2,"725","194","26","417","88"
"24",3,"777","161","37","470","109"
"24",4,"661","180","27","372","82"
"24",5,"497","118","21","293","65"
"24",6,"401","99","31","215","56"
"24",7,"215","35","8","140","32"
"24",8,"167","40","7","92","28"
"24",9,"139","51","6","49","33"
"24",10,"10363","1463","442","6668","1790"
"25",1,"1359","352","44","844","119"
"25",2,"1266","333","52","744","137"
"25",3,"1350","337","96","755","162"
"25",4,"1291","322","70","772","127"
"25",5,"1168","275","70","681","142"
"25",6,"712","168","38","431","75"
"25",7,"553","137","42","300","74"
"25",8,"344","61","34","194","55"
"25",9,"476","147","38","237","54"
"25",10,"2750","1333","437","754","226"
"26",1,"3028","1966","188","751","123"
"26",2,"2452","1474","159","708","111"
"26",3,"2268","1346","192","636","94"
"26",4,"1991","1207","132","561","91"
"26",5,"1562","869","99","515","79"
"26",6,"960","564","75","282","39"
"26",7,"678","364","76","200","38"
"26",8,"369","203","18","127","21"
"26",9,"417","247","35","110","25"
"26",10,"27747","3501","67","22534","1645"
"27",1,"1280","514","82","636","48"
"27",2,"1207","524","78","554","51"
"27",3,"1156","484","86","515","71"
"27",4,"1108","443","105","487","73"
"27",5,"877","382","88","353","54"
"27",6,"636","265","86","244","41"
"27",7,"442","190","38","176","38"
"27",8,"309","161","24","100","24"
"27",9,"343","126","28","158","31"
"27",10,"81151","12946","1333","62166","4706"
"28",1,"1035","342","57","471","165"
"28",2,"2046","204","53","1371","418"
"28",3,"985","224","45","567","149"
"28",4,"844","180","49","482","133"
"28",5,"654","173","37","352","92"
"28",6,"474","119","45","241","69"
"28",7,"330","100","31","164","35"
"28",8,"218","69","18","105","26"
"28",9,"260","84","35","101","40"
"28",10,"22657","3125","738","13624","5170"
"29",1,"NSS","NSS","NSS","NSS","NSS"
"29",2,"NSS","NSS","NSS","NSS","NSS"
"29",3,"NSS","NSS","NSS","NSS","NSS"
