entidad,carpinpe,totalca1
"01",1,"10949"
"01",2,"0"
"01",3,"0"
"01",4,"0"
"01",9,""
"02",1,"36583"
"02",2,"16459"
"02",3,"0"
"02",4,"0"
"02",9,""
"03",1,"6737"
"03",2,"4780"
"03",3,"NSS"
"03",4,"192"
"03",9,""
"04",1,"590"
"04",2,"62"
"04",3,"0"
"04",4,"0"
"04",9,""
"05",1,"22075"
"05",2,"7295"
"05",3,"0"
"05",4,"0"
"05",9,""
"06",1,"1410"
"06",2,"1527"
"06",3,"266"
"06",4,"3429"
"06",9,""
"07",1,"7423"
"07",2,"9849"
"07",3,"0"
"07",4,"0"
"07",9,""
"08",1,"33910"
"08",2,"11602"
"08",3,"1233"
"08",4,"0"
"08",9,""
"09",1,"49073"
"09",2,"0"
"09",3,"0"
"09",4,"0"
"09",9,""
"10",1,"18257"
"10",2,"5087"
"10",3,"0"
"10",4,"245"
"10",9,""
"11",1,"5508"
"11",2,"40839"
"11",3,"1074"
"11",4,"0"
"11",9,""
"12",1,"12692"
"12",2,"465"
"12",3,"382"
"12",4,"0"
"12",9,""
"13",1,"17225"
"13",2,"4287"
"13",3,"84"
"13",4,"257"
"13",9,""
"14",1,"37232"
"14",2,"3253"
"14",3,"3"
"14",4,"0"
"14",9,""
"15",1,"50246"
"15",2,"25497"
"15",3,"218"
"15",4,"0"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",4,"NSS"
"16",9,""
"17",1,"17242"
"17",2,"18438"
"17",3,"274"
"17",4,"831"
"17",9,""
"18",1,"654"
"18",2,"0"
"18",3,"0"
"18",4,"0"
"18",9,""
"19",1,"33953"
"19",2,"442"
"19",3,"34"
"19",4,"279"
"19",9,""
"20",1,"374"
"20",2,"4895"
"20",3,"170"
"20",4,"0"
"20",9,""
"21",1,"NSS"
"21",2,"NSS"
"21",3,"NSS"
"21",4,"NSS"
"21",9,""
"22",1,"1759"
"22",2,"15541"
"22",3,"250"
"22",4,"0"
"22",9,""
"23",1,"10637"
"23",2,"586"
"23",3,"15"
"23",4,"71"
"23",9,""
"24",1,"17203"
"24",2,"3499"
"24",3,"0"
"24",4,"0"
"24",9,""
"25",1,"8805"
"25",2,"0"
"25",3,"0"
"25",4,"0"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",4,"NSS"
"26",9,""
"27",1,"23633"
"27",2,"3705"
"27",3,"345"
"27",4,"0"
"27",9,""
"28",1,"17694"
"28",2,"0"
"28",3,"1545"
"28",4,"355"
"28",9,""
"29",1,"2897"
"29",2,"0"
"29",3,"0"
"29",4,"0"
"29",9,""
"30",1,"32777"
"30",2,"0"
"30",3,"0"
"30",4,"0"
"30",9,""
"31",1,"22348"
"31",2,"8374"
"31",3,"0"
"31",4,"0"
"31",9,""
"32",1,"5909"
"32",2,"5924"
"32",3,"28"
"32",4,"0"
"32",9,""
