entidad,edadcump,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"24",6,"0","0","0","0","0",""
"24",7,"0","0","0","0","0",""
"24",9,"","","","","",""
"25",1,"NSS","0","0","NSS","NSS",""
"25",2,"NSS","0","0","NSS","NSS",""
"25",3,"NSS","0","0","NSS","NSS",""
"25",4,"NSS","0","0","NSS","NSS",""
"25",5,"NSS","0","0","NSS","NSS",""
"25",6,"NSS","0","0","NSS","NSS",""
"25",7,"NSS","0","0","NSS","NSS",""
"25",9,"39","","","","","39"
"26",1,"NSS","NSS","NSS","0","0",""
"26",2,"NSS","NSS","NSS","0","0",""
"26",3,"NSS","NSS","NSS","0","0",""
"26",4,"NSS","NSS","NSS","0","0",""
"26",5,"NSS","NSS","NSS","0","0",""
"26",6,"NSS","NSS","NSS","0","0",""
"26",7,"436","410","26","0","0",""
"26",9,"","","","","",""
"27",1,"0","0","0","0","0",""
"27",2,"0","0","0","0","0",""
"27",3,"0","0","0","0","0",""
"27",4,"0","0","0","0","0",""
"27",5,"0","0","0","0","0",""
"27",6,"0","0","0","0","0",""
"27",7,"42","0","0","41","1",""
"27",9,"","","","","",""
"28",1,"NSS","NSS","NSS","0","0",""
"28",2,"NSS","NSS","NSS","0","0",""
"28",3,"NSS","NSS","NSS","0","0",""
"28",4,"NSS","NSS","NSS","0","0",""
"28",5,"NSS","NSS","NSS","0","0",""
"28",6,"NSS","NSS","NSS","0","0",""
"28",7,"NSS","NSS","NSS","0","0",""
"28",9,"","","","","",""
"29",1,"0","0","0","0","0",""
"29",2,"0","0","0","0","0",""
"29",3,"0","0","0","0","0",""
"29",4,"2","2","0","0","0",""
"29",5,"4","4","0","0","0",""
"29",6,"6","6","0","0","0",""
"29",7,"11","11","0","0","0",""
"29",9,"","","","","",""
"30",1,"0","0","0","0","0",""
"30",2,"0","0","0","0","0",""
"30",3,"0","0","0","0","0",""
"30",4,"2","0","0","1","1",""
"30",5,"0","0","0","0","0",""
"30",6,"1","0","0","1","0",""
"30",7,"44","0","0","43","1",""
"30",9,"","","","","",""
"31",1,"0","0","0","0","0",""
"31",2,"1","0","0","1","0",""
"31",3,"2","0","0","1","1",""
"31",4,"0","0","0","0","0",""
"31",5,"1","0","0","1","0",""
"31",6,"0","0","0","0","0",""
"31",7,"17","0","0","16","1",""
"31",9,"","","","","",""
"32",1,"0","0","0","0","0",""
"32",2,"1","0","0","1","0",""
"32",3,"0","0","0","0","0",""
"32",4,"3","0","0","3","0",""
"32",5,"5","0","0","5","0",""
"32",6,"2","0","0","2","0",""
"32",7,"9","0","0","8","1",""
"32",9,"","","","","",""
