entidad,delitos,cecccd1,cecccd2,cecccd3,cecccd4,cecccd5,cecccd6,cecccd7,cecccd8,cecccd9,cecccd10,cecccd11,cecccd12,cecccd13,cecccd14,cecccd15,cecccd16,cecccd17,cecccd18,cecccd19,cecccd20,cecccd21,cecccd22,cecccd23,cecccd24,cecccd25,cecccd26,cecccd27,cecccd28,cecccd29,cecccd30,cecccd31,cecccd32,cecccd33,cecccd34,cecccd35,cecccd36,cecccd37,cecccd38,cecccd39,cecccd40,cecccd41,cecccd42,cecccd43,cecccd44,cecccd45,cecccd46,cecccd47,cecccd48,cecccd49,cecccd50,cecccd51,cecccd52,cecccd53,cecccd54,cecccd55,cecccd56,cecccd57,cecccd58
"32",10400,"23","NSS","167","NSS","51","","23","NSS","8","NSS","210","","216","NSS","1","NSS","NSS","NSS","24","","195","NSS","37","NSS","9","","154","NSS","22","NSS","65","","140","NSS","2","NSS","7","NSS","30","NSS","1","NSS","61","","8","NSS","12","NSS","73","NSS","31","NSS","4","NSS","NSS","NSS","113",""
"32",10900,"6","NSS","8","NSS","3","1","NSS","NSS","2","NSS","15","1","13","1","NSS","0","1","0","3","","16","1","NSS","0","1","","4","1","8","0","5","","9","NSS","NSS","NSS","2","NSS","NSS","NSS","NSS","NSS","6","1","1","0","1","0","9","1","NSS","0","2","0","NSS","0","4",""
"32",20100,"3","0","0","0","","","NSS","0","NSS","0","3","","3","0","0","0","0","0","","","3","0","0","0","","","3","0","0","0","","","NSS","0","NSS","0","1","0","NSS","0","NSS","0","2","","3","0","0","0","0","0","0","0","0","0","0","0","",""
"32",20200,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"32",20300,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"32",20400,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"32",20500,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"32",20600,"29","NSS","0","NSS","","","NSS","NSS","NSS","NSS","29","","7","NSS","14","NSS","8","NSS","","","29","NSS","0","NSS","","","17","NSS","NSS","NSS","12","","10","NSS","0","NSS","18","NSS","1","NSS","0","NSS","","","2","NSS","NSS","NSS","1","NSS","NSS","NSS","NSS","NSS","NSS","NSS","26",""
"32",20601,"NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","NSS","NSS","NSS","NSS","","","NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"32",20602,"NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","NSS","NSS","NSS","NSS","","","NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"32",20603,"NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","NSS","NSS","NSS","NSS","","","NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"32",20604,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"32",20609,"NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","NSS","NSS","NSS","NSS","","","NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","","","NSS","NSS","0","NSS","NSS","NSS","NSS","NSS","0","NSS","","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","",""
"32",20699,"29","","","","","","","","","","29","","7","","14","","8","","","","29","","","","","","17","","","","12","","10","","","","18","","1","","","","","","2","","","","1","","","","","","","","26",""
"25",30100,"0","0","0","1","","","0","NSS","0","NSS","","1","0","NSS","0","NSS","0","NSS","","1","0","1","0","0","","","0","1","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","1","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","1"
"25",30200,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"25",30300,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"25",30400,"1","0","0","4","","","NSS","NSS","NSS","NSS","1","4","NSS","NSS","NSS","NSS","NSS","NSS","1","4","1","4","0","0","","","NSS","4","NSS","0","1","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1","4","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1","4"
"25",30500,"0","0","0","2","","","0","NSS","0","NSS","","2","0","NSS","0","NSS","0","NSS","","2","0","2","0","0","","","0","2","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","2","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","2"
"25",30600,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"25",30700,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"25",30900,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"25",40100,"0","11","1","56","","","NSS","NSS","NSS","NSS","1","67","NSS","NSS","NSS","NSS","NSS","NSS","1","67","1","67","0","0","","","NSS","67","NSS","0","1","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1","67","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1","67"
"25",40101,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40102,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40103,"0","4","1","17","","","NSS","NSS","NSS","NSS","1","21","NSS","NSS","NSS","NSS","NSS","NSS","1","21","1","21","0","0","","","NSS","21","NSS","0","1","","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1","21","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1","21"
"25",40104,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40105,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40106,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
"25",40107,"0","NSS","0","NSS","","","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","","","0","NSS","0","0","","","0","NSS","0","0","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","","","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","NSS","",""
