entidad,vict_del,stpvnitt,stpvni1,stpvni2,stpvni3,stpvni4,stpvni5,stpvni6,stpvni7,stpvni8,stpvni9,stpvni10,stpvni11,stpvni12,stpvni13,stpvni14,stpvni15,stpvni16,stpvni17,stpvni18
"10",1,"2989","36","30","2","8","0","0","0","0","0","964","922","187","233","437","168","0","0","2"
"10",2,"646","1","4","0","2","0","0","0","0","0","212","374","33","12","4","2","0","0","2"
"10",3,"43","1","0","0","0","0","0","0","0","0","16","20","6","0","0","0","0","0","0"
"10",4,"13","1","0","0","0","0","0","0","0","0","5","7","0","0","0","0","0","0","0"
"10",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10",9,"3","","","","","","","","","","","3","","","","","","",""
"12",1,"2676","963","1187","48","144","79","0","0","0","6","105","88","30","13","9","0","0","0","4"
"12",2,"335","122","143","1","5","1","0","0","0","0","40","15","5","2","1","0","0","0","0"
"12",3,"45","23","22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",4,"2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",6,"2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12",9,"2","","1","","","","","","","","","1","","","","","","",""
"13",1,"3338","991","1044","2","209","10","0","0","0","13","398","397","71","63","58","0","0","0","82"
"13",2,"260","59","47","0","9","0","0","0","0","0","77","55","3","8","1","0","0","0","1"
"13",3,"11","3","2","0","0","0","0","0","0","0","2","3","0","0","1","0","0","0","0"
"13",4,"1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13",9,"","","","","","","","","","","","","","","","","","",""
"14",1,"4970","1161","937","550","578","878","23","0","0","525","119","78","28","18","64","0","0","0","11"
"14",2,"729","233","237","33","25","64","2","0","0","39","27","50","6","6","7","0","0","0","0"
"14",3,"127","28","59","2","3","12","0","0","0","5","9","5","0","0","3","0","0","0","1"
"14",4,"39","17","8","0","2","8","1","0","0","1","1","0","0","0","1","0","0","0","0"
"14",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14",6,"5","3","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"14",9,"99","49","50","","","","","","","","","","","","","","","",""
"15",1,"12835","NSS","NSS","394","NSS","NSS","NSS","NSS","NSS","405","5091","3683","491","950","125","1265","0","0","431"
"15",2,"493","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","238","152","16","11","3","57","0","0","16"
