entidad,delitos,cecccd1,cecccd2,cecccd3,cecccd4,cecccd5,cecccd6,cecccd7,cecccd8,cecccd9,cecccd10,cecccd11,cecccd12,cecccd13,cecccd14,cecccd15,cecccd16,cecccd17,cecccd18,cecccd19,cecccd20,cecccd21,cecccd22,cecccd23,cecccd24,cecccd25,cecccd26,cecccd27,cecccd28,cecccd29,cecccd30,cecccd31,cecccd32,cecccd33,cecccd34,cecccd35,cecccd36,cecccd37,cecccd38,cecccd39,cecccd40,cecccd41,cecccd42,cecccd43,cecccd44,cecccd45,cecccd46,cecccd47,cecccd48,cecccd49,cecccd50,cecccd51,cecccd52,cecccd53,cecccd54,cecccd55,cecccd56,cecccd57,cecccd58
"03",40400,"0","0","2","0","","","NSS","0","NSS","0","2","","NSS","0","NSS","0","1","0","1","","NSS","0","NSS","0","2","","NSS","0","1","0","1","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","2","","0","0","0","0","0","0","0","0","2","0","0","0","",""
"03",40500,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",40501,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",40509,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",40599,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"03",40600,"5","0","0","0","","","NSS","0","NSS","0","5","","4","0","NSS","0","NSS","0","1","","NSS","0","NSS","0","5","","NSS","0","4","0","1","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","5","","0","0","0","0","0","0","4","0","1","0","0","0","",""
"03",40700,"3","0","0","0","","","NSS","0","NSS","0","3","","1","0","0","0","2","0","","","NSS","0","NSS","0","3","","0","0","3","0","","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","3","","0","0","0","0","2","0","1","0","0","0","0","0","",""
"03",40900,"0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","","","0","0","0","0","","","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","",""
"03",50100,"0","0","4","0","","","NSS","0","NSS","0","4","","1","0","NSS","0","1","0","2","","NSS","0","NSS","0","4","","3","0","NSS","0","1","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","4","","0","0","0","0","2","0","0","0","2","0","0","0","",""
"03",50200,"0","0","10","0","","","NSS","0","NSS","0","10","","1","0","0","0","9","0","","","NSS","0","NSS","0","10","","NSS","0","8","0","2","","NSS","0","NSS","0","NSS","0","NSS","0","NSS","0","10","","NSS","0","NSS","0","6","0","NSS","0","2","0","NSS","0","2",""
