entidad,gdoestue,magjuett,magjue1,magjue2,magjue4,magjue5
"19",6,"130","11","3","70","46"
"19",7,"0","0","0","0","0"
"19",8,"0","0","0","0","0"
"19",9,"","","","",""
"20",1,"0","0","0","0","0"
"20",2,"0","0","0","0","0"
"20",3,"0","0","0","0","0"
"20",4,"0","0","0","0","0"
"20",5,"0","0","0","0","0"
"20",6,"149","16","6","73","54"
"20",7,"17","4","1","7","5"
"20",8,"1","0","1","0","0"
"20",9,"","","","",""
"21",1,"0","0","0","0","0"
"21",2,"0","0","0","0","0"
"21",3,"0","0","0","0","0"
"21",4,"0","0","0","0","0"
"21",5,"0","0","0","0","0"
"21",6,"67","13","2","39","13"
"21",7,"24","3","2","10","9"
"21",8,"0","0","0","0","0"
"21",9,"","","","",""
"22",1,"0","0","0","0","0"
"22",2,"0","0","0","0","0"
"22",3,"0","0","0","0","0"
"22",4,"0","0","0","0","0"
"22",5,"0","0","0","0","0"
"22",6,"54","5","0","28","21"
"22",7,"29","1","4","12","12"
"22",8,"4","1","1","2","0"
"22",9,"","","","",""
"23",1,"0","0","0","0","0"
"23",2,"0","0","0","0","0"
"23",3,"0","0","0","0","0"
"23",4,"0","0","0","0","0"
"23",5,"0","0","0","0","0"
"23",6,"66","8","4","28","26"
"23",7,"7","1","1","1","4"
"23",8,"1","1","0","0","0"
"23",9,"","","","",""
"24",1,"0","0","0","0","0"
"24",2,"0","0","0","0","0"
"24",3,"0","0","0","0","0"
"24",4,"0","0","0","0","0"
"24",5,"0","0","0","0","0"
"24",6,"46","2","2","34","8"
"24",7,"27","3","7","13","4"
"24",8,"1","1","0","0","0"
"24",9,"","","","",""
"25",1,"0","0","0","0","0"
"25",2,"18","0","0","13","5"
"25",3,"17","0","0","12","5"
"25",4,"16","0","0","14","2"
"25",5,"0","0","0","0","0"
"25",6,"115","8","5","60","42"
"25",7,"3","1","0","1","1"
"25",8,"2","1","0","1","0"
"25",9,"","","","",""
"26",1,"0","0","0","0","0"
"26",2,"0","0","0","0","0"
"26",3,"0","0","0","0","0"
"26",4,"0","0","0","0","0"
"26",5,"0","0","0","0","0"
"26",6,"94","10","5","55","24"
"26",7,"16","2","2","8","4"
"26",8,"1","0","1","0","0"
"26",9,"","","","",""
"27",1,"0","0","0","0","0"
"27",2,"0","0","0","0","0"
"27",3,"0","0","0","0","0"
"27",4,"0","0","0","0","0"
"27",5,"0","0","0","0","0"
"27",6,"10","3","0","2","5"
"27",7,"77","9","4","24","40"
"27",8,"26","2","2","10","12"
"27",9,"","","","",""
"28",1,"0","0","0","0","0"
"28",2,"0","0","0","0","0"
"28",3,"0","0","0","0","0"
"28",4,"0","0","0","0","0"
"28",5,"0","0","0","0","0"
"28",6,"57","8","3","27","19"
"28",7,"58","1","0","43","14"
"28",8,"3","1","0","2","0"
"28",9,"","","","",""
"29",1,"0","0","0","0","0"
"29",2,"0","0","0","0","0"
"29",3,"0","0","0","0","0"
"29",4,"0","0","0","0","0"
"29",5,"0","0","0","0","0"
"29",6,"29","0","0","14","15"
"29",7,"4","1","2","0","1"
"29",8,"5","3","2","0","0"
"29",9,"","","","",""
"30",1,"0","0","0","0","0"
"30",2,"5","0","0","5","0"
"30",3,"7","0","0","6","1"
"30",4,"14","0","0","6","8"
"30",5,"0","0","0","0","0"
"30",6,"229","16","2","127","84"
"30",7,"65","4","2","35","24"
"30",8,"27","3","1","8","15"
"30",9,"","","","",""
"31",1,"0","0","0","0","0"
"31",2,"0","0","0","0","0"
"31",3,"0","0","0","0","0"
"31",4,"0","0","0","0","0"
"31",5,"0","0","0","0","0"
"31",6,"42","3","4","11","24"
"31",7,"14","0","0","4","10"
"31",8,"5","3","1","1","0"
"31",9,"","","","",""
"32",1,"0","0","0","0","0"
"32",2,"0","0","0","0","0"
"32",3,"0","0","0","0","0"
"32",4,"0","0","0","0","0"
"32",5,"0","0","0","0","0"
"32",6,"27","3","1","12","11"
"32",7,"55","2","6","19","28"
"32",8,"27","1","0","16","10"
"32",9,"","","","",""
