entidad,mater_ja,tietaptt,tietap1,tietap2,tietap3,tietap4,tietapne,no_aplic
"22",4,"0","0","0","0","0","",""
"22",5,"NA","NA","NA","NA","NA","","1"
"22",6,"NA","NA","NA","NA","NA","","1"
"22",7,"0","0","0","0","0","",""
"22",8,"NA","NA","NA","NA","NA","","1"
"23",1,"27","0","20","0","7","",""
"23",2,"0","0","0","0","0","",""
"23",3,"40","0","34","0","6","",""
"23",4,"0","0","0","0","0","",""
"23",5,"0","0","0","0","0","",""
"23",6,"NA","NA","NA","NA","NA","","1"
"23",7,"NSS","NSS","NSS","NSS","NSS","",""
"23",8,"NA","NA","NA","NA","NA","","1"
"24",1,"NA","NA","NA","NA","NA","","NA"
"24",2,"NA","NA","NA","NA","NA","","NA"
"24",3,"NA","NA","NA","NA","NA","","NA"
"24",4,"NA","NA","NA","NA","NA","","NA"
"24",5,"NA","NA","NA","NA","NA","","NA"
"24",6,"NA","NA","NA","NA","NA","","NA"
"24",7,"NA","NA","NA","NA","NA","","NA"
"24",8,"NA","NA","NA","NA","NA","","NA"
"25",1,"NA","NA","NA","NA","NA","","1"
"25",2,"NA","NA","NA","NA","NA","","1"
"25",3,"44","0","25","11","8","",""
"25",4,"NA","NA","NA","NA","NA","","1"
"25",5,"NA","NA","NA","NA","NA","","1"
"25",6,"NA","NA","NA","NA","NA","","1"
"25",7,"NA","NA","NA","NA","NA","","1"
"25",8,"NA","NA","NA","NA","NA","","1"
"26",1,"27","0","0","0","27","",""
"26",2,"240","0","0","0","240","",""
"26",3,"619","0","0","0","619","",""
"26",4,"125","0","0","0","125","",""
"26",5,"0","0","0","0","0","",""
"26",6,"0","0","0","0","0","",""
"26",7,"0","0","0","0","0","",""
"26",8,"0","0","0","0","0","",""
"27",1,"NSS","0","NSS","0","0","",""
"27",2,"NSS","0","NSS","0","0","",""
"27",3,"NSS","0","NSS","0","0","",""
"27",4,"NA","NA","NA","NA","NA","","1"
"27",5,"NA","NA","NA","NA","NA","","1"
"27",6,"NA","NA","NA","NA","NA","","1"
"27",7,"77","0","77","0","0","",""
"27",8,"NA","NA","NA","NA","NA","","1"
"28",1,"NSS","NSS","NSS","NSS","NSS","",""
"28",2,"NSS","NSS","NSS","NSS","NSS","",""
"28",3,"NSS","NSS","NSS","NSS","NSS","",""
"28",4,"NSS","NSS","NSS","NSS","NSS","",""
"28",5,"NSS","NSS","NSS","NSS","NSS","",""
"28",6,"NA","NA","NA","NA","NA","","1"
"28",7,"0","0","0","0","0","",""
