entidad,modalcur,magjuett,magjue1,magjue2,magjue4,magjue5,no_reali
"22",6,"4","1","0","1","2",""
"23",1,"NA","NA","NA","NA","NA","1"
"23",2,"NA","NA","NA","NA","NA","1"
"23",3,"NA","NA","NA","NA","NA","1"
"23",4,"NA","NA","NA","NA","NA","1"
"23",5,"NA","NA","NA","NA","NA","1"
"23",6,"NA","NA","NA","NA","NA","1"
"24",1,"NA","NA","NA","NA","NA","1"
"24",2,"NA","NA","NA","NA","NA","1"
"24",3,"NA","NA","NA","NA","NA","1"
"24",4,"36","4","5","21","6",""
"24",5,"14","2","2","7","3",""
"24",6,"NA","NA","NA","NA","NA","1"
"25",1,"NA","NA","NA","NA","NA","1"
"25",2,"NA","NA","NA","NA","NA","1"
"25",3,"8","1","0","4","3",""
"25",4,"93","10","5","45","33",""
"25",5,"36","4","4","10","18",""
"25",6,"84","11","5","38","30",""
"26",1,"NA","NA","NA","NA","NA","1"
"26",2,"30","4","0","23","3",""
"26",3,"NA","NA","NA","NA","NA","1"
"26",4,"69","0","0","58","11",""
"26",5,"119","38","27","38","16",""
"26",6,"13","3","3","5","2",""
"27",1,"NA","NA","NA","NA","NA","1"
"27",2,"NA","NA","NA","NA","NA","1"
"27",3,"NA","NA","NA","NA","NA","1"
"27",4,"62","25","12","11","14",""
"27",5,"82","23","13","19","27",""
"27",6,"NA","NA","NA","NA","NA","1"
"28",1,"NA","NA","NA","NA","NA","1"
"28",2,"13","1","0","9","3",""
"28",3,"27","1","1","18","7",""
"28",4,"54","8","4","22","20",""
"28",5,"35","7","4","16","8",""
"28",6,"10","1","0","7","2",""
"29",1,"NA","NA","NA","NA","NA","1"
"29",2,"NA","NA","NA","NA","NA","1"
"29",3,"2","0","0","2","0",""
"29",4,"26","3","2","7","14",""
"29",5,"34","2","2","15","15",""
"29",6,"29","2","2","13","12",""
"30",1,"NA","NA","NA","NA","NA","1"
"30",2,"NA","NA","NA","NA","NA","1"
"30",3,"12","2","1","4","5",""
"30",4,"108","16","6","53","33",""
"30",5,"12","0","0","10","2",""
"30",6,"129","18","9","69","33",""
"31",1,"NA","NA","NA","NA","NA","1"
"31",2,"NA","NA","NA","NA","NA","1"
"31",3,"NA","NA","NA","NA","NA","1"
"31",4,"39","1","3","8","27",""
"31",5,"7","0","0","3","4",""
"31",6,"50","5","5","12","28",""
"32",1,"NA","NA","NA","NA","NA","1"
"32",2,"NA","NA","NA","NA","NA","1"
"32",3,"27","2","1","11","13",""
"32",4,"NA","NA","NA","NA","NA","1"
"32",5,"NA","NA","NA","NA","NA","1"
"32",6,"NA","NA","NA","NA","NA","1"
