entidad,tipomate,sexodptt,sexodp1,sexodp2,sexodpna,sexoajtt,sexoaj1,sexoaj2,sexoajna
"11",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"11",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"11",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"11",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"11",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"11",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"11",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"11",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"11",99,"","","","","","","",""
"12",1,"10","6","4","","NA","NA","NA","1"
"12",2,"NA","NA","NA","1","NA","NA","NA","1"
"12",3,"12","8","4","","NA","NA","NA","1"
"12",4,"72","37","35","","NA","NA","NA","1"
"12",5,"4","1","3","","NA","NA","NA","1"
"12",6,"NA","NA","NA","1","NA","NA","NA","1"
"12",7,"NA","NA","NA","1","NA","NA","NA","1"
"12",8,"NA","NA","NA","1","NA","NA","NA","1"
"12",9,"NA","NA","NA","1","NA","NA","NA","1"
"12",10,"NA","NA","NA","1","NA","NA","NA","1"
"12",99,"","","","","","","",""
"13",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"13",99,"","","","","","","",""
"14",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"14",99,"","","","","","","",""
"15",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"15",99,"","","","","","","",""
"16",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"16",99,"","","","","","","",""
"17",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"17",99,"","","","","","","",""
"18",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"18",99,"","","","","","","",""
"19",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"19",99,"","","","","","","",""
"20",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"20",99,"","","","","","","",""
"21",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",6,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",7,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",8,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",9,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",10,"NA","NA","NA","NA","NA","NA","NA","NA"
"21",99,"","","","","","","",""
"22",1,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",2,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",3,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",4,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",5,"NA","NA","NA","NA","NA","NA","NA","NA"
"22",6,"NA","NA","NA","NA","NA","NA","NA","NA"
