entidad,mat_alte,seguimtt,seguim1,seguim2,seguim3,seguim4,seguim5,seguim6,seguim7,seguimne
"01",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"01",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"01",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
"02",1,"15108","0","0","15108","0","0","0","0",""
"02",2,"0","0","0","0","0","0","0","0",""
"02",3,"0","0","0","0","0","0","0","0",""
"03",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"03",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"03",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
"04",1,"0","0","0","0","0","0","0","0",""
"04",2,"0","0","0","0","0","0","0","0",""
"04",3,"0","0","0","0","0","0","0","0",""
"05",1,"1530","0","0","977","359","194","0","0",""
"05",2,"0","0","0","0","0","0","0","0",""
"05",3,"0","0","0","0","0","0","0","0",""
"06",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"06",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"06",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
"07",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"07",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"07",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
"08",1,"3153","1542","741","325","545","0","0","0",""
"08",2,"0","0","0","0","0","0","0","0",""
"08",3,"0","0","0","0","0","0","0","0",""
"09",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"09",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"09",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
"10",1,"NSS","0","NSS","NSS","0","NSS","0","0",""
"10",2,"NSS","0","0","NSS","0","NSS","0","0",""
"10",3,"0","0","0","0","0","0","0","0",""
"11",1,"18667","0","0","0","0","0","0","18667",""
"11",2,"0","0","0","0","0","0","0","0",""
"11",3,"0","0","0","0","0","0","0","0",""
"12",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"12",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"12",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
"13",1,"275","0","0","0","0","0","0","275",""
"13",2,"41","0","0","0","0","41","0","0",""
"13",3,"0","0","0","0","0","0","0","0",""
"14",1,"145","0","0","145","0","0","0","0",""
"14",2,"0","0","0","0","0","0","0","0",""
"14",3,"0","0","0","0","0","0","0","0",""
"15",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"15",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"15",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
"16",1,"611","0","71","20","450","70","0","0",""
"16",2,"0","0","0","0","0","0","0","0",""
"16",3,"0","0","0","0","0","0","0","0",""
"17",1,"1481","0","0","0","0","1481","0","0",""
"17",2,"0","0","0","0","0","0","0","0",""
"17",3,"0","0","0","0","0","0","0","0",""
"18",1,"562","0","230","103","0","229","0","0",""
"18",2,"0","0","0","0","0","0","0","0",""
"18",3,"0","0","0","0","0","0","0","0",""
"19",1,"4005","0","0","4005","0","0","0","0",""
"19",2,"70","0","0","70","0","0","0","0",""
"19",3,"0","0","0","0","0","0","0","0",""
"20",1,"942","48","0","628","109","0","157","0",""
"20",2,"179","2","0","115","27","0","35","0",""
"20",3,"1096","104","0","828","164","0","0","0",""
"21",1,"4288","0","NSS","NSS","0","0","0","4288",""
"21",2,"0","0","0","0","0","0","0","0",""
"21",3,"0","0","0","0","0","0","0","0",""
"22",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"22",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"22",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
"23",1,"2580","300","400","680","400","800","0","0",""
"23",2,"383","60","15","192","36","80","0","0",""
"23",3,"0","0","0","0","0","0","0","0",""
"24",1,"576","20","0","42","385","115","0","14",""
"24",2,"19","0","0","0","5","14","0","0",""
"24",3,"0","0","0","0","0","0","0","0",""
"25",1,"1033","0","0","0","1033","0","0","0",""
"25",2,"13","0","0","0","13","0","0","0",""
"25",3,"0","0","0","0","0","0","0","0",""
"26",1,"1276","NSS","NSS","NSS","NSS","NSS","NSS","NSS","1276"
"26",2,"75","NSS","NSS","NSS","NSS","NSS","NSS","NSS","75"
"26",3,"0","0","0","0","0","0","0","0",""
"27",1,"1261","NSS","NSS","NSS","NSS","NSS","NSS","0","1261"
"27",2,"0","0","0","0","0","0","0","0",""
"27",3,"0","0","0","0","0","0","0","0",""
"28",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"28",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"28",3,"0","0","0","0","0","0","0","0",""
"29",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"29",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"29",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
"30",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"30",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"30",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
"31",1,"525","0","350","25","100","50","0","0",""
"31",2,"10","0","5","5","0","0","0","0",""
"31",3,"0","0","0","0","0","0","0","0",""
"32",1,"NA","NA","NA","NA","NA","NA","NA","NA",""
"32",2,"NA","NA","NA","NA","NA","NA","NA","NA",""
"32",3,"NA","NA","NA","NA","NA","NA","NA","NA",""
