entidad,gdo_estu,avcahmtt,avcahm1,avcahm2,avcahm4,avcahm5
"15",6,"7588","NA","NA","5845","1743"
"15",7,"750","NA","NA","730","20"
"15",8,"223","NA","NA","214","9"
"15",9,"147461","NA","NA","93456","54005"
"16",1,"NSS","NSS","NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS","NSS","NSS"
"16",4,"NSS","NSS","NSS","NSS","NSS"
"16",5,"NSS","NSS","NSS","NSS","NSS"
"16",6,"NSS","NSS","NSS","NSS","NSS"
"16",7,"NSS","NSS","NSS","NSS","NSS"
"16",8,"NSS","NSS","NSS","NSS","NSS"
"16",9,"NSS","NSS","NSS","NSS","NSS"
"17",1,"NSS","NA","NA","NSS","NSS"
"17",2,"NSS","NA","NA","NSS","NSS"
"17",3,"NSS","NA","NA","NSS","NSS"
"17",4,"NSS","NA","NA","NSS","NSS"
"17",5,"NSS","NA","NA","NSS","NSS"
"17",6,"NSS","NA","NA","NSS","NSS"
"17",7,"NSS","NA","NA","NSS","NSS"
"17",8,"NSS","NA","NA","NSS","NSS"
"17",9,"NSS","NA","NA","NSS","NSS"
"18",1,"23","17","4","2","NSS"
"18",2,"528","271","61","188","8"
"18",3,"501","308","44","137","12"
"18",4,"319","183","34","91","11"
"18",5,"32","22","1","7","2"
"18",6,"424","235","52","127","10"
"18",7,"15","4","9","2","NSS"
"18",8,"8","4","1","2","1"
"18",9,"2030","744","112","1076","98"
"19",1,"2352","6","0","1949","397"
"19",2,"15312","6","6","12367","2933"
"19",3,"24038","13","2","19484","4539"
"19",4,"11375","9","1","9438","1927"
"19",5,"18958","63","22","15392","3481"
"19",6,"9717","26","0","8424","1267"
"19",7,"243","2","1","183","57"
"19",8,"0","0","0","0","0"
"19",9,"0","0","0","0","0"
"20",1,"NSS","NSS","NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS","NSS","NSS"
"20",4,"NSS","NSS","NSS","NSS","NSS"
"20",5,"NSS","NSS","NSS","NSS","NSS"
"20",6,"NSS","NSS","NSS","NSS","NSS"
"20",7,"NSS","NSS","NSS","NSS","NSS"
"20",8,"NSS","NSS","NSS","NSS","NSS"
"20",9,"NSS","NSS","NSS","NSS","NSS"
"21",1,"NSS","NSS","NSS","NSS","NSS"
"21",2,"NSS","NSS","NSS","NSS","NSS"
"21",3,"NSS","NSS","NSS","NSS","NSS"
"21",4,"NSS","NSS","NSS","NSS","NSS"
"21",5,"NSS","NSS","NSS","NSS","NSS"
"21",6,"NSS","NSS","NSS","NSS","NSS"
"21",7,"NSS","NSS","NSS","NSS","NSS"
"21",8,"NSS","NSS","NSS","NSS","NSS"
"21",9,"4176","2038","226","1746","166"
"22",1,"102","36","12","43","11"
"22",2,"723","371","91","227","34"
"22",3,"1211","706","145","306","54"
"22",4,"704","394","124","163","23"
"22",5,"105","62","22","12","9"
"22",6,"582","326","139","83","34"
"22",7,"44","32","9","1","2"
"22",8,"1","NSS","NSS","NSS","1"
"22",9,"18915","779","210","13289","4637"
"23",1,"NSS","NSS","NSS","NSS","NSS"
"23",2,"NSS","NSS","NSS","NSS","NSS"
"23",3,"NSS","NSS","NSS","NSS","NSS"
"23",4,"NSS","NSS","NSS","NSS","NSS"
"23",5,"NSS","NSS","NSS","NSS","NSS"
"23",6,"NSS","NSS","NSS","NSS","NSS"
"23",7,"NSS","NSS","NSS","NSS","NSS"
"23",8,"NSS","NSS","NSS","NSS","NSS"
"23",9,"15506","1253","653","9748","3852"
"24",1,"NSS","NSS","NSS","NSS","NSS"
"24",2,"NSS","NSS","NSS","NSS","NSS"
"24",3,"NSS","NSS","NSS","NSS","NSS"
"24",4,"NSS","NSS","NSS","NSS","NSS"
"24",5,"NSS","NSS","NSS","NSS","NSS"
"24",6,"NSS","NSS","NSS","NSS","NSS"
"24",7,"NSS","NSS","NSS","NSS","NSS"
"24",8,"NSS","NSS","NSS","NSS","NSS"
"24",9,"14715","2591","629","9111","2384"
"25",1,"133","26","6","86","15"
"25",2,"1217","269","50","791","107"
"25",3,"1554","365","55","998","136"
"25",4,"1219","382","65","670","102"
"25",5,"118","30","27","44","17"
"25",6,"720","253","85","309","73"
"25",7,"14","8","2","2","2"
"25",8,"16","3","7","6","0"
"25",9,"6278","2129","624","2806","719"
"26",1,"715","124","12","557","22"
"26",2,"2088","1295","93","639","61"
"26",3,"5753","3510","302","1741","200"
"26",4,"2719","1670","222","726","101"
"26",5,"374","174","81","96","23"
"26",6,"1486","857","184","371","74"
"26",7,"74","40","5","20","9"
"26",8,"8","NSS","NSS","6","2"
"26",9,"28255","4071","142","22268","1774"
"27",1,"5646","39","7","5074","526"
"27",2,"1007","419","79","457","52"
"27",3,"1950","945","110","814","81"
"27",4,"1794","866","167","686","75"
"27",5,"0","0","0","0","0"
"27",6,"1341","734","226","315","66"
"27",7,"123","57","35","27","4"
"27",8,"18","16","1","1","0"
"27",9,"76630","12959","1323","58015","4333"
"28",1,"131","108","23","0","0"
"28",2,"1454","284","58","866","246"
"28",3,"2014","493","105","1103","313"
"28",4,"1000","183","52","579","186"
"28",5,"4890","3266","756","556","312"
"28",6,"1033","244","88","508","193"
"28",7,"40","8","2","21","9"
"28",8,"77","5","0","55","17"
"28",9,"18864","29","24","13790","5021"
"29",1,"NSS","NSS","NSS","NSS","NSS"
"29",2,"NSS","NSS","NSS","NSS","NSS"
"29",3,"NSS","NSS","NSS","NSS","NSS"
"29",4,"NSS","NSS","NSS","NSS","NSS"
"29",5,"NSS","NSS","NSS","NSS","NSS"
"29",6,"NSS","NSS","NSS","NSS","NSS"
"29",7,"NSS","NSS","NSS","NSS","NSS"
"29",8,"NSS","NSS","NSS","NSS","NSS"
"29",9,"1227","646","115","415","51"
"30",1,"147","30","4","95","18"
"30",2,"1334","370","44","805","115"
"30",3,"1563","438","55","956","114"
