entidad,tipomult,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"26",8,"2","0","0","","2","0",""
"26",9,"3","3","0","","0","0",""
"26",10,"1","0","0","","1","0",""
"26",11,"1","1","0","","0","0",""
"26",99,"26","6","2","","17","1",""
"27",1,"39","37","2","","NSS","NSS",""
"27",2,"51","51","0","","NSS","NSS",""
"27",3,"29","29","0","","NSS","NSS",""
"27",4,"6","6","0","","NSS","NSS",""
"27",5,"9","8","1","","NSS","NSS",""
"27",6,"2","2","0","","NSS","NSS",""
"27",7,"1","1","0","","NSS","NSS",""
"27",8,"1","1","0","","NSS","NSS",""
"27",9,"5","5","0","","NSS","NSS",""
"27",10,"1","1","0","","NSS","NSS",""
"27",11,"33","32","1","","NSS","NSS",""
"27",99,"79","50","4","2","15","8",""
"28",1,"40","37","3","","0","0",""
"28",2,"3","3","NSS","","0","0",""
"28",3,"NSS","0","NSS","","0","0",""
"28",4,"NSS","0","NSS","","0","0",""
"28",5,"NSS","0","NSS","","0","0",""
"28",6,"NSS","0","NSS","","0","0",""
"28",7,"NSS","0","NSS","","0","0",""
"28",8,"NSS","0","NSS","","0","0",""
"28",9,"NSS","0","NSS","","0","0",""
"28",10,"NSS","0","NSS","","0","0",""
"28",11,"NSS","0","NSS","","0","0",""
"28",99,"1245","115","3","1127","","",""
"29",1,"200","169","31","","0","0",""
"29",2,"27","26","1","","0","0",""
"29",3,"7","6","1","","0","0",""
"29",4,"9","9","0","","0","0",""
"29",5,"9","9","0","","0","0",""
"29",6,"9","8","1","","0","0",""
"29",7,"0","0","0","","0","0",""
"29",8,"2","2","0","","0","0",""
"29",9,"0","0","0","","0","0",""
"29",10,"0","0","0","","0","0",""
"29",11,"6","5","1","","0","0",""
"29",99,"91","65","9","17","","",""
"30",1,"130","90","10","","27","3",""
"30",2,"3","2","NSS","","1","0",""
"30",3,"1","0","0","","1","0",""
"30",4,"0","0","0","","0","0",""
"30",5,"0","0","0","","0","0",""
"30",6,"0","0","0","","0","0",""
"30",7,"0","0","0","","0","0",""
"30",8,"1","1","NSS","","0","0",""
"30",9,"0","0","0","","0","0",""
"30",10,"0","0","0","","0","0",""
"30",11,"1","1","NSS","","0","0",""
"30",99,"47","32","2","10","3","",""
"31",1,"68","NSS","0","","65","3",""
"31",2,"21","NSS","0","","20","1",""
"31",3,"8","NSS","0","","8","0",""
"31",4,"4","NSS","0","","4","0",""
"31",5,"2","NSS","0","","2","0",""
"31",6,"NSS","NSS","0","","0","0",""
"31",7,"1","NSS","0","","1","0",""
"31",8,"NSS","NSS","0","","0","0",""
"31",9,"NSS","NSS","0","","0","0",""
"31",10,"2","NSS","0","","2","0",""
"31",11,"3","NSS","0","","3","0",""
"31",99,"65","5","","","54","6",""
"32",1,"233","160","35","","33","5",""
"32",2,"80","56","6","","17","1",""
"32",3,"53","24","6","","23","0",""
"32",4,"27","20","2","","4","1",""
"32",5,"23","19","1","","3","0",""
"32",6,"0","0","0","","0","0",""
"32",7,"4","3","0","","1","0",""
"32",8,"0","0","0","","0","0",""
"32",9,"0","0","0","","0","0",""
"32",10,"1","0","0","","1","0",""
"32",11,"32","16","2","","13","1",""
"32",99,"89","25","5","58","1","",""
