entidad,org_mate,sexostt,sexos1,sexos2,no_aplic
"07",24,"64","28","36",""
"07",25,"NA","NA","NA","1"
"07",26,"NA","NA","NA","1"
"07",27,"NA","NA","NA","1"
"07",28,"16","9","7",""
"07",99,"","","",""
"08",1,"NA","NA","NA","1"
"08",2,"NA","NA","NA","1"
"08",3,"NA","NA","NA","1"
"08",4,"471","150","321",""
"08",5,"NA","NA","NA","1"
"08",6,"NA","NA","NA","1"
"08",7,"279","86","193",""
"08",8,"NA","NA","NA","1"
"08",9,"47","16","31",""
"08",10,"NA","NA","NA","1"
"08",11,"NA","NA","NA","1"
"08",12,"50","14","36",""
"08",13,"337","117","220",""
"08",14,"15","6","9",""
"08",15,"115","52","63",""
"08",16,"NA","NA","NA","1"
"08",17,"NA","NA","NA","1"
"08",18,"135","53","82",""
"08",19,"133","49","84",""
"08",20,"NA","NA","NA","1"
"08",21,"NA","NA","NA","1"
"08",22,"32","10","22",""
"08",23,"10","4","6",""
"08",24,"27","11","16",""
"08",25,"NA","NA","NA","1"
"08",26,"80","26","54",""
"08",27,"NA","NA","NA","1"
"08",28,"327","153","174",""
"08",99,"","","",""
"09",1,"452","201","251",""
"09",2,"196","82","114",""
"09",3,"NA","NA","NA","1"
"09",4,"1883","805","1078",""
"09",5,"1112","550","562",""
"09",6,"188","101","87",""
"09",7,"1079","386","693",""
"09",8,"NA","NA","NA","1"
"09",9,"104","43","61",""
"09",10,"NA","NA","NA","1"
"09",11,"NA","NA","NA","1"
"09",12,"NA","NA","NA","1"
"09",13,"0","0","0",""
"09",14,"NA","NA","NA","1"
"09",15,"90","47","43",""
"09",16,"43","23","20",""
"09",17,"0","0","0",""
"09",18,"614","252","362",""
"09",19,"655","275","380",""
"09",20,"NA","NA","NA","1"
"09",21,"NA","NA","NA","1"
"09",22,"308","134","174",""
"09",23,"62","24","38",""
"09",24,"NA","NA","NA","1"
"09",25,"NA","NA","NA","1"
"09",26,"0","0","0",""
"09",27,"NA","NA","NA","1"
"09",28,"0","0","0",""
"09",99,"","","",""
"10",1,"NA","NA","NA","1"
"10",2,"NA","NA","NA","1"
"10",3,"23","5","18",""
"10",4,"69","19","50",""
"10",5,"66","15","51",""
"10",6,"141","61","80",""
"10",7,"66","21","45",""
"10",8,"43","13","30",""
"10",9,"NA","NA","NA","1"
"10",10,"NA","NA","NA","1"
"10",11,"NA","NA","NA","1"
"10",12,"102","38","64",""
"10",13,"NA","NA","NA","1"
"10",14,"NA","NA","NA","1"
"10",15,"NA","NA","NA","1"
"10",16,"3","1","2",""
"10",17,"4","0","4",""
"10",18,"38","5","33",""
"10",19,"42","7","35",""
"10",20,"NA","NA","NA","1"
"10",21,"12","3","9",""
"10",22,"NA","NA","NA","1"
"10",23,"NA","NA","NA","1"
"10",24,"17","7","10",""
"10",25,"NA","NA","NA","1"
"10",26,"NA","NA","NA","1"
"10",27,"NA","NA","NA","1"
"10",28,"NA","NA","NA","1"
"10",99,"","","",""
"11",1,"177","51","126",""
"11",2,"13","5","8",""
"11",3,"235","56","179",""
"11",4,"613","163","450",""
"11",5,"253","94","159",""
"11",6,"299","107","192",""
"11",7,"194","63","131",""
"11",8,"24","8","16",""
"11",9,"42","11","31",""
"11",10,"NA","NA","NA","1"
"11",11,"NA","NA","NA","1"
"11",12,"NA","NA","NA","1"
"11",13,"NA","NA","NA","1"
"11",14,"84","19","65",""
"11",15,"NA","NA","NA","1"
"11",16,"NA","NA","NA","1"
"11",17,"NA","NA","NA","1"
"11",18,"124","34","90",""
"11",19,"133","43","90",""
"11",20,"NA","NA","NA","1"
"11",21,"NA","NA","NA","1"
"11",22,"NA","NA","NA","1"
"11",23,"13","1","12",""
"11",24,"NA","NA","NA","1"
"11",25,"NA","NA","NA","1"
"11",26,"NA","NA","NA","1"
"11",27,"NA","NA","NA","1"
"11",28,"455","153","302",""
"11",99,"","","",""
"12",1,"17","4","13",""
"12",2,"14","4","10",""
"12",3,"227","85","142",""
"12",4,"241","83","158",""
"12",5,"290","97","193",""
"12",6,"NA","NA","NA","1"
"12",7,"142","31","111",""
"12",8,"NA","NA","NA","1"
"12",9,"24","7","17",""
"12",10,"NA","NA","NA","1"
"12",11,"NA","NA","NA","1"
"12",12,"66","26","40",""
"12",13,"141","71","70",""
"12",14,"NA","NA","NA","1"
"12",15,"NA","NA","NA","1"
"12",16,"21","6","15",""
"12",17,"NA","NA","NA","1"
"12",18,"44","6","38",""
"12",19,"NA","NA","NA","1"
"12",20,"205","67","138",""
"12",21,"6","2","4",""
"12",22,"39","7","32",""
"12",23,"14","8","6",""
"12",24,"NA","NA","NA","1"
"12",25,"4","2","2",""
"12",26,"NA","NA","NA","1"
"12",27,"NA","NA","NA","1"
"12",28,"NA","NA","NA","1"
"12",99,"","","",""
"13",1,"NA","NA","NA","1"
"13",2,"NA","NA","NA","1"
"13",3,"NA","NA","NA","1"
"13",4,"66","17","49",""
"13",5,"229","61","168",""
"13",6,"185","69","116",""
"13",7,"54","11","43",""
"13",8,"33","11","22",""
"13",9,"19","4","15",""
"13",10,"NA","NA","NA","1"
"13",11,"NA","NA","NA","1"
"13",12,"91","32","59",""
"13",13,"NA","NA","NA","1"
"13",14,"13","7","6",""
"13",15,"NA","NA","NA","1"
"13",16,"NA","NA","NA","1"
"13",17,"247","54","193",""
"13",18,"NA","NA","NA","1"
"13",19,"103","33","70",""
"13",20,"NA","NA","NA","1"
"13",21,"NA","NA","NA","1"
"13",22,"NA","NA","NA","1"
"13",23,"9","2","7",""
"13",24,"NA","NA","NA","1"
"13",25,"79","18","61",""
"13",26,"NA","NA","NA","1"
"13",27,"NA","NA","NA","1"
"13",28,"NA","NA","NA","1"
"13",99,"","","",""
"14",1,"NA","NA","NA","1"
"14",2,"NA","NA","NA","1"
"14",3,"82","58","24",""
"14",4,"427","156","271",""
"14",5,"410","196","214",""
"14",6,"NA","NA","NA","1"
"14",7,"216","76","140",""
"14",8,"303","152","151",""
"14",9,"102","72","30",""
"14",10,"NA","NA","NA","1"
"14",11,"NA","NA","NA","1"
"14",12,"174","58","116",""
"14",13,"209","138","71",""
"14",14,"17","13","4",""
"14",15,"NA","NA","NA","1"
"14",16,"NA","NA","NA","1"
"14",17,"NA","NA","NA","1"
"14",18,"265","80","185",""
"14",19,"150","73","77",""
"14",20,"NA","NA","NA","1"
"14",21,"NA","NA","NA","1"
"14",22,"NA","NA","NA","1"
"14",23,"112","48","64",""
"14",24,"NA","NA","NA","1"
"14",25,"NA","NA","NA","1"
"14",26,"NA","NA","NA","1"
"14",27,"NA","NA","NA","1"
"14",28,"NA","NA","NA","1"
"14",99,"","","",""
"15",1,"NA","NA","NA","1"
"15",2,"NA","NA","NA","1"
"15",3,"NA","NA","NA","1"
"15",4,"933","306","627",""
"15",5,"177","63","114",""
"15",6,"NA","NA","NA","1"
"15",7,"744","249","495",""
"15",8,"206","68","138",""
"15",9,"47","22","25",""
"15",10,"NA","NA","NA","1"
"15",11,"53","17","36",""
"15",12,"136","45","91",""
"15",13,"994","512","482",""
"15",14,"NA","NA","NA","1"
"15",15,"72","28","44",""
"15",16,"24","10","14",""
"15",17,"88","50","38",""
"15",18,"186","79","107",""
"15",19,"NA","NA","NA","1"
"15",20,"NA","NA","NA","1"
"15",21,"322","129","193",""
"15",22,"88","36","52",""
"15",23,"0","0","0",""
