entidad,org_mate,sexostt,sexos1,sexos2,no_aplic
"31",2,"NA","NA","NA","1"
"31",3,"NA","NA","NA","1"
"31",4,"40","9","31",""
"31",5,"60","25","35",""
"31",6,"NA","NA","NA","1"
"31",7,"94","32","62",""
"31",8,"47","12","35",""
"31",9,"17","6","11",""
"31",10,"NA","NA","NA","1"
"31",11,"NA","NA","NA","1"
"31",12,"87","36","51",""
"31",13,"93","45","48",""
"31",14,"31","15","16",""
"31",15,"NA","NA","NA","1"
"31",16,"NA","NA","NA","1"
"31",17,"NA","NA","NA","1"
"31",18,"52","14","38",""
"31",19,"NA","NA","NA","1"
"31",20,"57","23","34",""
"31",21,"NSS","NSS","NSS",""
"31",22,"NA","NA","NA","1"
"31",23,"11","7","4",""
"31",24,"59","15","44",""
"31",25,"NA","NA","NA","1"
"31",26,"15","3","12",""
"31",27,"NA","NA","NA","1"
"31",28,"NA","NA","NA","1"
"31",99,"","","",""
"32",1,"NA","NA","NA","1"
"32",2,"NA","NA","NA","1"
"32",3,"NA","NA","NA","1"
"32",4,"58","14","44",""
"32",5,"37","5","32",""
"32",6,"NA","NA","NA","1"
"32",7,"63","20","43",""
"32",8,"45","8","37",""
"32",9,"29","12","17",""
"32",10,"NA","NA","NA","1"
"32",11,"NA","NA","NA","1"
"32",12,"214","70","144",""
"32",13,"179","93","86",""
"32",14,"NA","NA","NA","1"
"32",15,"NA","NA","NA","1"
"32",16,"21","10","11",""
"32",17,"NA","NA","NA","1"
"32",18,"41","15","26",""
"32",19,"43","16","27",""
"32",20,"NA","NA","NA","1"
"32",21,"NA","NA","NA","1"
"32",22,"NA","NA","NA","1"
"32",23,"NA","NA","NA","1"
"32",24,"NA","NA","NA","1"
"32",25,"NA","NA","NA","1"
"32",26,"NA","NA","NA","1"
"32",27,"3","0","3",""
"32",28,"53","22","31",""
"32",99,"","","",""
