entidad,vic_deli,vicfuett,vicfue1,vicfue2,vicfue3,vicfue4,vicfue5,vicfue6,vicfue7,vicfue8,vicfue9,vicfue10,vicfue11,vicfue12,vicfue13,vicfue14,vicfue15,vicfue16,vicfue17,vicfue18,vicfuene
"10",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"10",9,"","","","","","","","","","","","","","","","","","","",""
"11",1,"112330","7227","5226","34","NSS","NSS","NSS","NSS","NSS","1584","45770","39738","718","NSS","NSS","NSS","NSS","NSS","12033",""
"11",2,"2041","219","136","NSS","NSS","NSS","NSS","NSS","NSS","53","950","554","NSS","NSS","NSS","NSS","NSS","NSS","129",""
"11",3,"152","3","11","0","0","NSS","NSS","NSS","NSS","0","82","41","NSS","NSS","NSS","NSS","NSS","NSS","15",""
"11",4,"18","2","0","0","0","NSS","NSS","NSS","NSS","0","12","1","NSS","NSS","NSS","NSS","NSS","NSS","3",""
"11",5,"1","1","0","0","0","NSS","NSS","NSS","NSS","0","0","0","0","NSS","NSS","NSS","NSS","NSS","0",""
"11",6,"NSS","0","0","0","0","NSS","NSS","NSS","NSS","0","0","0","0","NSS","NSS","NSS","NSS","NSS","0",""
"11",9,"","","","","","","","","","","","","","","","","","","",""
"12",1,"26973","2844","1748","1582","331","253","1","13","0","1471","7165","4314","3937","936","170","19","129","80","1980",""
"12",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"12",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"12",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"12",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"12",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"12",9,"","","","","","","","","","","","","","","","","","","",""
"13",1,"22507","1511","985","249","34","5","78","0","0","0","10714","8018","231","524","13","145","0","0","0",""
"13",2,"6619","0","0","0","0","0","0","0","0","0","3290","2992","10","185","3","139","0","0","0",""
"13",3,"493","0","0","0","0","0","0","0","0","0","482","5","0","5","0","1","0","0","0",""
"13",4,"67","0","0","0","0","0","0","0","0","0","65","2","0","0","0","0","0","0","0",""
"13",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"13",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"13",9,"","","","","","","","","","","","","","","","","","","",""
"14",1,"106709","6392","8485","14370","1791","47","206","2322","0","2898","19992","17146","26428","2000","33","250","2468","0","1881",""
"14",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"14",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"14",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"14",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"14",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"14",9,"","","","","","","","","","","","","","","","","","","",""
"15",1,"222025","NA","NA","NA","NA","NA","NA","NA","NA","NA","151474","69654","659","67","77","94","0","0","0",""
"15",2,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"15",3,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"15",4,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"15",5,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"15",6,"0","NA","NA","NA","NA","NA","NA","NA","NA","NA","0","0","0","0","0","0","0","0","0",""
"15",9,"","","","","","","","","","","","","","","","","","","",""
"16",1,"36645","NSS","NSS","781","NSS","NSS","NSS","NSS","NSS","1855","NSS","9","9434","NSS","NSS","NSS","NSS","NSS","24566",""
"16",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"16",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"16",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"16",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"16",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"16",9,"","","","","","","","","","","","","","","","","","","",""
