entidad,gdoestue,puesextt,puesex1,puesex2,puesex3,puesex4,puesex5,puesex6,puesex7,puesex8,puesex9,puesex10,puesex11,puesex12
"11",9,"","","","","","","","","","","","",""
"12",1,"193","3","3","1","1","0","0","0","0","56","129","0","0"
"12",2,"15","0","0","0","0","0","0","0","0","4","11","0","0"
"12",3,"64","0","0","0","1","0","0","0","0","16","47","0","0"
"12",4,"143","2","4","1","2","0","0","0","1","31","102","0","0"
"12",5,"128","0","0","0","0","0","0","0","0","7","121","0","0"
"12",6,"753","98","134","28","46","38","54","2","16","101","236","0","0"
"12",7,"16","0","5","0","1","3","0","0","1","0","6","0","0"
"12",8,"3","1","0","0","0","1","0","0","0","1","0","0","0"
"12",9,"","","","","","","","","","","","",""
"13",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"13",2,"14","0","0","0","0","0","0","0","0","4","10","0","0"
"13",3,"42","0","0","0","0","0","0","0","0","10","32","0","0"
"13",4,"120","0","0","0","0","0","0","0","0","35","85","0","0"
"13",5,"103","0","0","0","0","0","0","0","0","3","100","0","0"
"13",6,"666","17","38","25","49","14","9","16","61","120","317","0","0"
"13",7,"99","7","26","5","8","5","14","5","17","6","6","0","0"
"13",8,"2","0","1","0","0","1","0","0","0","0","0","0","0"
"13",9,"","","","","","","","","","","","",""
"14",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"14",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"14",3,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"14",4,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"14",5,"619","0","0","0","0","0","0","78","375","133","33","0","0"
"14",6,"1489","194","166","39","62","63","77","147","294","224","223","0","0"
"14",7,"67","21","20","2","2","0","0","11","1","4","6","0","0"
"14",8,"10","3","7","0","0","0","0","0","0","0","0","0","0"
"14",9,"","","","","","","","","","","","",""
"15",1,"13","0","0","0","0","0","0","0","0","7","6","0","0"
"15",2,"74","0","0","0","0","0","0","1","6","34","33","0","0"
"15",3,"172","0","0","0","0","0","0","11","25","99","37","0","0"
"15",4,"348","0","0","0","0","0","1","38","198","76","35","0","0"
"15",5,"218","0","0","0","0","0","0","9","123","43","43","0","0"
"15",6,"2477","135","230","0","0","23","41","602","1228","117","101","0","0"
"15",7,"279","57","87","0","0","15","20","43","40","7","10","0","0"
"15",8,"36","3","9","0","0","0","2","9","11","0","2","0","0"
"15",9,"","","","","","","","","","","","",""
"16",1,"38","2","5","0","2","0","1","1","10","9","8","0","0"
"16",2,"10","0","1","0","0","0","0","1","1","2","5","0","0"
"16",3,"40","1","4","0","2","0","0","3","10","11","9","0","0"
"16",4,"161","12","11","0","14","1","0","41","56","20","6","0","0"
"16",5,"87","1","9","7","8","0","5","0","47","4","6","0","0"
"16",6,"1196","97","155","94","138","69","145","123","269","35","71","0","0"
"16",7,"25","2","4","0","2","4","7","3","0","2","1","0","0"
"16",8,"1","0","1","0","0","0","0","0","0","0","0","0","0"
"16",9,"","","","","","","","","","","","",""
"17",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"17",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"17",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"17",4,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"17",5,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"17",6,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"17",7,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"17",8,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"17",9,"","57","152","45","80","21","37","","","272","493","",""
"18",1,"2","0","0","0","0","0","0","0","0","1","1","0","0"
"18",2,"5","0","0","0","0","0","0","0","0","0","5","0","0"
"18",3,"23","0","0","0","0","0","0","0","0","8","15","0","0"
"18",4,"79","0","0","0","0","0","0","0","0","17","62","0","0"
"18",5,"55","0","0","0","0","0","0","0","0","1","54","0","0"
"18",6,"400","25","69","17","98","17","10","8","16","26","114","0","0"
"18",7,"67","13","9","0","6","11","16","5","4","0","3","0","0"
"18",8,"2","0","0","0","0","0","2","0","0","0","0","0","0"
"18",9,"","","","","","","","","","","","",""
"19",1,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"19",2,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"19",3,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"19",4,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"19",5,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"19",6,"965","164","180","14","7","0","0","139","231","71","159","0","0"
"19",7,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"19",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"19",9,"","","","","","","","","","","","",""
"20",1,"NSS","NSS","0","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"20",2,"22","NSS","0","NSS","NSS","NSS","NSS","0","0","12","10","0","0"
"20",3,"113","NSS","0","NSS","1","NSS","NSS","0","1","40","71","0","0"
"20",4,"143","NSS","0","3","NSS","NSS","NSS","0","0","66","74","0","0"
"20",5,"76","NSS","0","NSS","1","NSS","NSS","0","1","14","60","0","0"
"20",6,"1038","85","96","60","97","14","46","11","13","266","350","0","0"
"20",7,"7","2","1","NSS","1","NSS","1","0","0","2","NSS","0","0"
"20",8,"NSS","NSS","0","NSS","NSS","NSS","NSS","0","0","NSS","NSS","0","0"
"20",9,"","4","","4","3","2","11","","","37","59","",""
"21",1,"25","0","0","0","0","0","0","0","0","4","21","0","0"
"21",2,"22","0","0","0","0","0","0","0","0","8","14","0","0"
"21",3,"148","0","0","0","0","0","0","0","0","14","134","0","0"
"21",4,"134","0","0","1","1","0","0","0","0","40","92","0","0"
"21",5,"104","0","0","2","1","0","0","0","0","11","90","0","0"
"21",6,"819","49","78","67","54","37","69","0","0","168","297","0","0"
"21",7,"57","4","7","3","2","8","17","0","0","4","12","0","0"
"21",8,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"21",9,"","","","","","","","","","","","",""
"22",1,"5","0","0","0","0","0","0","1","1","2","1","0","0"
"22",2,"2","0","0","0","0","0","0","0","0","2","0","0","0"
"22",3,"24","0","0","0","0","0","0","5","1","14","4","0","0"
"22",4,"78","0","0","0","0","0","2","18","49","5","4","0","0"
"22",5,"15","0","0","0","0","0","0","4","10","1","0","0","0"
"22",6,"727","15","54","34","56","29","97","115","320","5","2","0","0"
"22",7,"61","1","11","0","0","6","22","5","16","0","0","0","0"
