entidad,nacional,oemsextt,oemsex1,oemsex2,oemsex4,oemsex5,oemsex6
"10",3,"NSS","0","0","NSS","0",""
"10",4,"NSS","0","0","NSS","0",""
"10",5,"NSS","0","0","NSS","0",""
"10",6,"NSS","0","0","NSS","0",""
"10",7,"NSS","0","0","NSS","0",""
"10",8,"NSS","0","0","NSS","0",""
"10",9,"NSS","0","0","NSS","0",""
"10",10,"NSS","0","0","NSS","0",""
"10",11,"NSS","0","0","NSS","0",""
"10",12,"NSS","0","0","NSS","0",""
"10",13,"NSS","0","0","NSS","0",""
"10",14,"NSS","0","0","NSS","0",""
"10",15,"NSS","0","0","NSS","0",""
"10",16,"NSS","0","0","NSS","0",""
"10",17,"NSS","0","0","NSS","0",""
"10",18,"NSS","0","0","NSS","0",""
"10",19,"NSS","0","0","NSS","0",""
"10",20,"1","0","0","1","0",""
"12",1,"5","0","0","4","1",""
"12",2,"0","0","0","0","0",""
"12",3,"0","0","0","0","0",""
"12",4,"0","0","0","0","0",""
"12",5,"0","0","0","0","0",""
"12",6,"0","0","0","0","0",""
"12",7,"0","0","0","0","0",""
"12",8,"0","0","0","0","0",""
"12",9,"0","0","0","0","0",""
"12",10,"0","0","0","0","0",""
"12",11,"0","0","0","0","0",""
"12",12,"0","0","0","0","0",""
"12",13,"0","0","0","0","0",""
"12",14,"0","0","0","0","0",""
"12",15,"0","0","0","0","0",""
"12",16,"0","0","0","0","0",""
"12",17,"0","0","0","0","0",""
"12",18,"0","0","0","0","0",""
"12",19,"0","0","0","0","0",""
"12",20,"0","0","0","0","0",""
"13",1,"11","9","2","0","0",""
"13",2,"0","0","0","0","0",""
"13",3,"0","0","0","0","0",""
"13",4,"0","0","0","0","0",""
"13",5,"0","0","0","0","0",""
"13",6,"0","0","0","0","0",""
"13",7,"0","0","0","0","0",""
"13",8,"0","0","0","0","0",""
"13",9,"0","0","0","0","0",""
"13",10,"0","0","0","0","0",""
"13",11,"0","0","0","0","0",""
"13",12,"0","0","0","0","0",""
"13",13,"0","0","0","0","0",""
"13",14,"0","0","0","0","0",""
"13",15,"0","0","0","0","0",""
"13",16,"0","0","0","0","0",""
