entidad,repadano,stpsextt,stpsex1,stpsex2,stpsex3,stpsex4,stpsex5,stpsex6
"14",4,"32","29","3","","0","0",""
"14",5,"10","9","0","","1","0",""
"14",6,"7","7","0","","0","0",""
"14",7,"7","6","1","","0","0",""
"14",8,"6","4","0","","2","0",""
"14",9,"7","6","0","","1","0",""
"14",10,"7","7","0","","0","0",""
"14",11,"142","125","14","","3","0",""
"14",99,"1082","909","58","99","16","",""
"15",1,"42","NSS","NSS","","39","3",""
"15",2,"23","NSS","NSS","","22","1",""
"15",3,"7","NSS","NSS","","6","1",""
"15",4,"13","NSS","NSS","","10","3",""
"15",5,"3","NSS","NSS","","2","1",""
"15",6,"2","NSS","NSS","","2","0",""
"15",7,"15","NSS","NSS","","15","0",""
"15",8,"6","NSS","NSS","","6","0",""
"15",9,"NSS","NSS","NSS","","0","0",""
"15",10,"7","NSS","NSS","","7","0",""
"15",11,"126","NSS","NSS","","114","12",""
"15",99,"1726","151","18","119","1313","118","7"
"16",1,"168","156","12","","NSS","NSS",""
"16",2,"16","16","0","","NSS","NSS",""
"16",3,"2","2","0","","NSS","NSS",""
"16",4,"1","1","0","","NSS","NSS",""
"16",5,"NSS","NSS","NSS","","NSS","NSS",""
"16",6,"1","1","0","","NSS","NSS",""
"16",7,"1","1","0","","NSS","NSS",""
"16",8,"NSS","NSS","NSS","","NSS","NSS",""
"16",9,"NSS","NSS","NSS","","NSS","NSS",""
"16",10,"1","1","0","","NSS","NSS",""
"16",11,"3","3","0","","NSS","NSS",""
"16",99,"204","143","15","","43","3",""
"17",1,"9","0","0","","8","1",""
"17",2,"3","0","0","","3","0",""
"17",3,"2","0","0","","2","0",""
"17",4,"5","0","0","","5","0",""
"17",5,"1","0","0","","1","0",""
"17",6,"0","0","0","","0","0",""
"17",7,"1","0","0","","1","0",""
"17",8,"0","0","0","","0","0",""
"17",9,"15","0","0","","12","3",""
"17",10,"14","0","0","","12","2",""
"17",11,"42","0","0","","37","5",""
"17",99,"71","","","","59","6","6"
"18",1,"68","14","1","","49","4",""
"18",2,"15","5","NSS","","9","1",""
"18",3,"5","1","0","","4","0",""
"18",4,"5","1","0","","4","0",""
"18",5,"0","0","0","","0","0",""
"18",6,"3","1","NSS","","1","1",""
"18",7,"4","0","0","","3","1",""
"18",8,"2","0","0","","2","0",""
"18",9,"0","0","0","","0","0",""
"18",10,"1","0","0","","1","0",""
"18",11,"20","4","NSS","","15","1",""
"18",99,"342","94","6","24","202","15","1"
"19",1,"5","5","0","","NSS","NSS",""
"19",2,"NSS","NSS","NSS","","NSS","NSS",""
"19",3,"NSS","NSS","NSS","","NSS","NSS",""
"19",4,"NSS","NSS","NSS","","NSS","NSS",""
"19",5,"NSS","NSS","NSS","","NSS","NSS",""
"19",6,"NSS","NSS","NSS","","NSS","NSS",""
"19",7,"NSS","NSS","NSS","","NSS","NSS",""
"19",8,"NSS","NSS","NSS","","NSS","NSS",""
"19",9,"NSS","NSS","NSS","","NSS","NSS",""
"19",10,"NSS","NSS","NSS","","NSS","NSS",""
"19",11,"NSS","NSS","NSS","","NSS","NSS",""
"19",99,"543","34","2","503","2","","2"
"20",1,"NSS","NSS","NSS","","0","0",""
"20",2,"NSS","NSS","NSS","","0","0",""
"20",3,"NSS","NSS","NSS","","0","0",""
"20",4,"NSS","NSS","NSS","","0","0",""
"20",5,"NSS","NSS","NSS","","0","0",""
"20",6,"NSS","NSS","NSS","","0","0",""
"20",7,"NSS","NSS","NSS","","0","0",""
"20",8,"NSS","NSS","NSS","","0","0",""
"20",9,"NSS","NSS","NSS","","0","0",""
"20",10,"NSS","NSS","NSS","","0","0",""
"20",11,"NSS","NSS","NSS","","0","0",""
"20",99,"102","","","102","","",""
"21",1,"135","124","9","","2","NSS",""
"21",2,"48","42","1","","5","NSS",""
"21",3,"16","16","0","","0","NSS",""
"21",4,"4","4","0","","0","NSS",""
"21",5,"2","2","0","","0","NSS",""
"21",6,"NSS","0","0","","0","NSS",""
"21",7,"NSS","0","0","","0","NSS",""
"21",8,"NSS","0","0","","0","NSS",""
"21",9,"NSS","0","0","","0","NSS",""
"21",10,"NSS","0","0","","0","NSS",""
"21",11,"10","9","1","","0","NSS",""
"21",99,"426","385","34","3","3","1",""
"22",1,"26","22","3","","1","0",""
"22",2,"7","6","0","","1","0",""
"22",3,"8","8","0","","0","0",""
"22",4,"5","4","0","","1","0",""
"22",5,"4","3","1","","0","0",""
"22",6,"4","2","0","","2","0",""
"22",7,"4","4","0","","0","0",""
"22",8,"0","0","0","","0","0",""
"22",9,"0","0","0","","0","0",""
"22",10,"0","0","0","","0","0",""
"22",11,"20","14","0","","6","0",""
"22",99,"","","","","","",""
"23",1,"16","4","1","","11","0",""
"23",2,"3","1","1","","1","0",""
"23",3,"0","0","0","","0","0",""
"23",4,"0","0","0","","0","0",""
"23",5,"1","0","0","","1","0",""
"23",6,"2","0","0","","1","1",""
"23",7,"0","0","0","","0","0",""
"23",8,"2","0","0","","2","0",""
"23",9,"0","0","0","","0","0",""
"23",10,"0","0","0","","0","0",""
"23",11,"14","1","0","","13","0",""
"23",99,"65","16","1","","47","1",""
"24",1,"239","221","15","","3","0",""
"24",2,"83","80","2","","1","0",""
"24",3,"77","73","2","","2","0",""
"24",4,"48","43","4","","1","0",""
"24",5,"7","5","NSS","","1","1",""
"24",6,"28","27","NSS","","1","0",""
"24",7,"NSS","NSS","NSS","","NSS","0",""
"24",8,"2","2","NSS","","NSS","0",""
"24",9,"2","2","NSS","","NSS","0",""
"24",10,"23","19","4","","NSS","0",""
"24",11,"198","184","10","","4","0",""
"24",99,"","","","","","",""
"25",1,"22","20","2","","NSS","NSS",""
"25",2,"5","5","0","","NSS","NSS",""
"25",3,"4","4","0","","NSS","NSS",""
"25",4,"2","2","0","","NSS","NSS",""
"25",5,"5","5","0","","NSS","NSS",""
"25",6,"2","2","0","","NSS","NSS",""
"25",7,"1","1","0","","NSS","NSS",""
"25",8,"9","8","1","","NSS","NSS",""
"25",9,"6","6","0","","NSS","NSS",""
"25",10,"3","3","0","","NSS","NSS",""
"25",11,"32","27","5","","NSS","NSS",""
"25",99,"1008","265","18","717","3","","5"
"26",1,"120","69","10","","40","1",""
"26",2,"29","21","2","","6","0",""
"26",3,"15","10","0","","5","0",""
"26",4,"14","8","0","","6","0",""
"26",5,"11","9","1","","1","0",""
"26",6,"7","3","0","","4","0",""
"26",7,"5","3","0","","2","0",""
"26",8,"1","0","0","","1","0",""
"26",9,"1","1","0","","0","0",""
"26",10,"1","1","0","","0","0",""
"26",11,"17","11","1","","4","1",""
"26",99,"1574","1362","55","","145","12",""
"27",1,"24","23","1","","NSS","NSS",""
"27",2,"27","27","0","","NSS","NSS",""
