ENTIDAD,RANKING
1,357
2,566
3,289
4,281
5,275
6,275
7,418
8,622
9,289
10,529
11,649
12,268
13,288
14,291
15,335
16,401
17,404
18,298
19,579
20,337
21,404
22,412
23,314
24,368
25,341
26,260
27,417
28,308
29,286
30,368
31,567
32,409
