ENTIDAD,RANKING
1,247
2,643
3,188
4,191
5,305
6,255
7,363
8,672
9,239
10,373
11,569
12,240
13,210
14,251
15,239
16,303
17,368
18,248
19,497
20,387
21,328
22,408
23,294
24,359
25,291
26,283
27,410
28,318
29,146
30,357
31,427
32,305
