ENTIDAD,CL_VEHI,TIPO_VEH,ESTRUCTU,TT_VEHI,EST_TTVE
"18",1,3,2390,9,
"18",2,3,2390,5,
"19",1,3,2390,993,
"19",2,3,2390,775,
"20",1,3,2390,8,
"20",2,3,2390,0,
"21",1,3,2390,204,
"21",2,3,2390,242,
"22",1,3,2390,95,
"22",2,3,2390,355,
"23",1,3,2390,0,
"23",2,3,2390,0,
"24",1,3,2390,41,
"24",2,3,2390,61,
"25",1,3,2390,70,
"25",2,3,2390,35,
"26",1,3,2390,48,
"26",2,3,2390,29,
"27",1,3,2390,58,
"27",2,3,2390,7,
"28",1,3,2390,,2
"28",2,3,2390,,2
"29",1,3,2390,27,
"29",2,3,2390,20,
"30",1,3,2390,,2
"30",2,3,2390,,2
"31",1,3,2390,4,
"31",2,3,2390,3,
"32",1,3,2390,334,
"32",2,3,2390,222,
"01",1,4,2390,307,
"01",2,4,2390,43,
"02",1,4,2390,347,
"02",2,4,2390,96,
"03",1,4,2390,100,
"03",2,4,2390,39,
"04",1,4,2390,424,
"04",2,4,2390,90,
"05",1,4,2390,16,
"05",2,4,2390,0,
"06",1,4,2390,,2
"06",2,4,2390,,2
"07",1,4,2390,478,
"07",2,4,2390,41,
"08",1,4,2390,246,
"08",2,4,2390,100,
"09",1,4,2390,1495,
"09",2,4,2390,233,
"10",1,4,2390,335,
"10",2,4,2390,146,
"11",1,4,2390,2218,
"11",2,4,2390,987,
"12",1,4,2390,966,
"12",2,4,2390,84,
"13",1,4,2390,191,
"13",2,4,2390,202,
"14",1,4,2390,,2
"14",2,4,2390,,2
"15",1,4,2390,3050,
"15",2,4,2390,161,
"16",1,4,2390,1437,
"16",2,4,2390,140,
"17",1,4,2390,593,
"17",2,4,2390,25,
"18",1,4,2390,223,
"18",2,4,2390,92,
"19",1,4,2390,0,
"19",2,4,2390,0,
"20",1,4,2390,0,
"20",2,4,2390,0,
"21",1,4,2390,297,
"21",2,4,2390,117,
"22",1,4,2390,239,
"22",2,4,2390,82,
"23",1,4,2390,774,
"23",2,4,2390,83,
"24",1,4,2390,317,
"24",2,4,2390,55,
"25",1,4,2390,1568,
"25",2,4,2390,386,
"26",1,4,2390,440,
"26",2,4,2390,73,
