ENTIDAD,CL_VEHI,TIPO_VREC,ESTATUS,TT_VEHI
"27","2","1","","453"
"27","2","2","","178"
"27","2","4","","36"
"28","1","1","","8618"
"28","1","2","","5668"
"28","1","3","","529"
"28","1","4","","147"
"28","1","5","","1085"
"28","2","1","","2494"
"28","2","2","","1351"
"28","2","3","","163"
"28","2","4","","9"
"28","2","5","","237"
"29","1","1","","345"
"29","1","2","","237"
"29","1","3","","132"
"29","1","4","","66"
"29","1","5","","7"
"29","2","1","","74"
"29","2","2","","43"
"29","2","3","","72"
"29","2","4","","4"
"29","2","5","","1"
"30","1","1","","2382"
"30","1","2","","1426"
"30","1","3","","304"
"30","1","4","","1404"
"30","1","5","","1583"
"30","2","1","","1331"
"30","2","2","","1052"
"30","2","3","","718"
"30","2","4","","233"
"30","2","5","","1043"
"31","1","1","","244"
"31","1","2","","45"
"31","1","4","","497"
"31","2","1","","134"
"31","2","4","","152"
"32","1","1","","1348"
"32","1","2","","1298"
"32","1","3","","68"
"32","1","4","","113"
"32","1","5","","228"
"32","2","1","","491"
"32","2","2","","322"
"32","2","3","","82"
"32","2","4","","13"
"32","2","5","","37"
